scrip,company,headline,summary,published_date,source,url
TDPOWERSYS,TD Power Systems Limited,TD Power Systems Limited's (NSE:TDPOWERSYS) 27% Share Price Surge Not Quite Adding Up - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQZGxpNUxzeGp6WlFTRHQ2b2ZHQ0R2RjRoNWdyQ01aYTQ5OFBxMk5JRTJGdkFEYWZWczQzVkJXeTRodjkxUTdkSjR4UFBVbm5mZWpCcXQybVF1Qk45SUh1NGNoaHM1S3ItMXdJb3lwSTFMZGxybkY1QTIxWmNpVjJ3cWZEc3o0aTVqYjJxeDUwOHFNQ0dUaHhhTEJhVk4wZ2dYVUtNbVgzdDYtektBT3h4X0JycFk3WEl2anJnZTc0Q2ZaaVUtcy14TERZTzhZbUtYenFGTW0tTnhpd09yMjBIMjJjeTbSAeoBQVVfeXFMTnVtMDlBRFpFdmZLMDh1SlhfVk90dTRJUVF2MWNRRGVEb25udVhmOU1YdllXRkxRbmZVSGRuXzNyalR0XzlSVk1LcnNsLTd6ZThNWDVVSThwc2E3WlJqVF9SeXhqNjhlUXpTeUlJaGVJd0QyMmZCSTJRdHlhVkVJXzlPMFUweXBVVXhxTUQxUVM4Y2Y2OGI2dUplX0tqMzhYdWJXVVFVVzhOVHBVakJqX1J2NnotS2R6OFBlSVVCcDRPdElQZ18talhqRnVGbUJzMndZVVpaNTUyaVo4SHBqRmtENHZwYjl2RW1n?oc=5"" target=""_blank"">TD Power Systems Limited's (NSE:TDPOWERSYS) 27% Share Price Surge Not Quite Adding Up</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-11 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQZGxpNUxzeGp6WlFTRHQ2b2ZHQ0R2RjRoNWdyQ01aYTQ5OFBxMk5JRTJGdkFEYWZWczQzVkJXeTRodjkxUTdkSjR4UFBVbm5mZWpCcXQybVF1Qk45SUh1NGNoaHM1S3ItMXdJb3lwSTFMZGxybkY1QTIxWmNpVjJ3cWZEc3o0aTVqYjJxeDUwOHFNQ0dUaHhhTEJhVk4wZ2dYVUtNbVgzdDYtektBT3h4X0JycFk3WEl2anJnZTc0Q2ZaaVUtcy14TERZTzhZbUtYenFGTW0tTnhpd09yMjBIMjJjeTbSAeoBQVVfeXFMTnVtMDlBRFpFdmZLMDh1SlhfVk90dTRJUVF2MWNRRGVEb25udVhmOU1YdllXRkxRbmZVSGRuXzNyalR0XzlSVk1LcnNsLTd6ZThNWDVVSThwc2E3WlJqVF9SeXhqNjhlUXpTeUlJaGVJd0QyMmZCSTJRdHlhVkVJXzlPMFUweXBVVXhxTUQxUVM4Y2Y2OGI2dUplX0tqMzhYdWJXVVFVVzhOVHBVakJqX1J2NnotS2R6OFBlSVVCcDRPdElQZ18talhqRnVGbUJzMndZVVpaNTUyaVo4SHBqRmtENHZwYjl2RW1n?oc=5
TDPOWERSYS,TD Power Systems Limited,TD Power Systems Shares Hit ₹768 on 46% YoY Profit Surge in Q2FY26 - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE1IZXJwbWljWWdFVVV2NGFISG02MUZxRy1sVnJpY2dfR3NOQnhZWEdwZ1pYRWVUeUdfeU42VktMelhzVl9PWTktWllWMUlJWFVpbUtZMkM4MklrVmJuQkstT21zRks0YmdhblI0STE0dHVmUQ?oc=5"" target=""_blank"">TD Power Systems Shares Hit ₹768 on 46% YoY Profit Surge in Q2FY26</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-31 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMickFVX3lxTE1IZXJwbWljWWdFVVV2NGFISG02MUZxRy1sVnJpY2dfR3NOQnhZWEdwZ1pYRWVUeUdfeU42VktMelhzVl9PWTktWllWMUlJWFVpbUtZMkM4MklrVmJuQkstT21zRks0YmdhblI0STE0dHVmUQ?oc=5
TDPOWERSYS,TD Power Systems Limited,TD Power Systems Limited's (NSE:TDPOWERSYS) institutional investors lost 10% over the past week but have profited from longer-term gains - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPeDFMbTlwUGY2SjB4MmhzY0Z5d2xtM2tMLWpQbDlrcjlFbWkzS2diLVFXN3paS1RKQUpNT21ZaXVtOWl0V1FBakoxUUd2bjVlNUFLQmtTU3BlR2ZuU3paSWpPVzZKMnYwU3hoVTVzazF6NlQ4ZkdwZklVdHgxdkRpMmJoR3czWnVFTGE4M3R3SGhYMzg5U3NTVVhvUXNJRnBRMGZuUHBrSnpXcjJYUGw5b29iSHRFa09XNjQyM1NlQ2NyT1UyQlAzMlVHNTl1SnBsbV8xdEkycjYwd0tRYThwYUdlLU9ycjg?oc=5"" target=""_blank"">TD Power Systems Limited's (NSE:TDPOWERSYS) institutional investors lost 10% over the past week but have profited from longer-term gains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-08 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxPeDFMbTlwUGY2SjB4MmhzY0Z5d2xtM2tMLWpQbDlrcjlFbWkzS2diLVFXN3paS1RKQUpNT21ZaXVtOWl0V1FBakoxUUd2bjVlNUFLQmtTU3BlR2ZuU3paSWpPVzZKMnYwU3hoVTVzazF6NlQ4ZkdwZklVdHgxdkRpMmJoR3czWnVFTGE4M3R3SGhYMzg5U3NTVVhvUXNJRnBRMGZuUHBrSnpXcjJYUGw5b29iSHRFa09XNjQyM1NlQ2NyT1UyQlAzMlVHNTl1SnBsbV8xdEkycjYwd0tRYThwYUdlLU9ycjg?oc=5
TDPOWERSYS,TD Power Systems Limited,Bulk & Block deals: Goldman Sachs India Equity Portfolio purchases 0.7% stake in TD Power on May 22 - TradingView,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxNQWF5Um1naXVPZWlKcFRlZUMtVVNLV2NGTGNzNVZFNDRpRkFTU1BkOVplU2tGbVB6b2s5bHRaRXVSdW9samFCRV9CeFMtSUpfWV93Skp2ZE5yb3VxbFFxSXpsOXoyZ3VJYno3dll6Z1c3eVdDUGFNSXVlWDNiamhBNDlvdmVCdW9vSW02SGtPSmY2VUpIdHBTNHNHaG5CU1JJUk1IQ1Z5dFRoS2lsY0ZDdldxbHpZUnd3dkMtZWhmRDN1S3VYYWZ1LXNVYXAycFNrVWRULUdJWVRUTldGU2lndTlFUTNzWGM2TGE3Ny1VVQ?oc=5"" target=""_blank"">Bulk & Block deals: Goldman Sachs India Equity Portfolio purchases 0.7% stake in TD Power on May 22</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2025-05-22 07:00:00,TradingView,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNQWF5Um1naXVPZWlKcFRlZUMtVVNLV2NGTGNzNVZFNDRpRkFTU1BkOVplU2tGbVB6b2s5bHRaRXVSdW9samFCRV9CeFMtSUpfWV93Skp2ZE5yb3VxbFFxSXpsOXoyZ3VJYno3dll6Z1c3eVdDUGFNSXVlWDNiamhBNDlvdmVCdW9vSW02SGtPSmY2VUpIdHBTNHNHaG5CU1JJUk1IQ1Z5dFRoS2lsY0ZDdldxbHpZUnd3dkMtZWhmRDN1S3VYYWZ1LXNVYXAycFNrVWRULUdJWVRUTldGU2lndTlFUTNzWGM2TGE3Ny1VVQ?oc=5
TDPOWERSYS,TD Power Systems Limited,Is TD Power Systems (NSE:TDPOWERSYS) A Risky Investment? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxOcWRJSGpyWHJJSTc0UVI2MlNZanpHMEI3bVYxNThESjBoMTlwYjA5Q2JYckYtcTlwcnhHbUpLZlVwZ01LdFFFV0drUWtHaklkZlBCVUJfZ2F6Qm5GdHB1Tmp0OWVmRUZxZ1NnSFdxV0ZYZmpWcFlHSTcwVDVVa0Vxblhwb3U5bDBYUmNjSXJkbkpHZ3ZDN29mUXAyLXEybWpyY09Cd2QtOUM0aTBSSlREWXlCQmswNjY5WkpoZXV3NVBrb25Ia28yODJ3ZzJFOXA3eVE0Ry1UUUc4d9IB3wFBVV95cUxQek5OTlIxZEhBcGpSeTlBMlJpZVdCY2h2eTUzTmVzRTNwNmp5R0NyVkVudk1vU29hMl9VcHZVX0w2YjBILWFja3J4cGMzcnhqWUxXNmpSWGpnc3VPQ1pHdVV1c2VtbGJKSHNBSmV0ZmZqVTdVTDZSanJwWGlEOGRYeFVfN001Wi16NGo2YjBwOEFoY2RNdThhdlBBaWpjek1xRW9PbVZpblRRb2VCY1REOWN2WmtMQWFXZ2lTNTVmS25HRTRyZnF0dDVsLXM4R2R0Z0JHaElzdGw4Ymw1NUxJ?oc=5"" target=""_blank"">Is TD Power Systems (NSE:TDPOWERSYS) A Risky Investment?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-08 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOcWRJSGpyWHJJSTc0UVI2MlNZanpHMEI3bVYxNThESjBoMTlwYjA5Q2JYckYtcTlwcnhHbUpLZlVwZ01LdFFFV0drUWtHaklkZlBCVUJfZ2F6Qm5GdHB1Tmp0OWVmRUZxZ1NnSFdxV0ZYZmpWcFlHSTcwVDVVa0Vxblhwb3U5bDBYUmNjSXJkbkpHZ3ZDN29mUXAyLXEybWpyY09Cd2QtOUM0aTBSSlREWXlCQmswNjY5WkpoZXV3NVBrb25Ia28yODJ3ZzJFOXA3eVE0Ry1UUUc4d9IB3wFBVV95cUxQek5OTlIxZEhBcGpSeTlBMlJpZVdCY2h2eTUzTmVzRTNwNmp5R0NyVkVudk1vU29hMl9VcHZVX0w2YjBILWFja3J4cGMzcnhqWUxXNmpSWGpnc3VPQ1pHdVV1c2VtbGJKSHNBSmV0ZmZqVTdVTDZSanJwWGlEOGRYeFVfN001Wi16NGo2YjBwOEFoY2RNdThhdlBBaWpjek1xRW9PbVZpblRRb2VCY1REOWN2WmtMQWFXZ2lTNTVmS25HRTRyZnF0dDVsLXM4R2R0Z0JHaElzdGw4Ymw1NUxJ?oc=5
TDPOWERSYS,TD Power Systems Limited,TDPS Gains on ₹67 Cr Export Order Win - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE5EUUFYaTd6OV9OMnYtd29pR1pGSGpaUHJ3eFllM2pWV0tCVHo2YkFOQ05TRzd3WUw3OVIzdW4zdlhXNVRJOWw1ak1zS1JGRlRTdVdUbTdfcTMzRlNVUVRBdnJXRi03VEdvMkhsTWRwb0hEdw?oc=5"" target=""_blank"">TDPS Gains on ₹67 Cr Export Order Win</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-06-20 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMickFVX3lxTE5EUUFYaTd6OV9OMnYtd29pR1pGSGpaUHJ3eFllM2pWV0tCVHo2YkFOQ05TRzd3WUw3OVIzdW4zdlhXNVRJOWw1ak1zS1JGRlRTdVdUbTdfcTMzRlNVUVRBdnJXRi03VEdvMkhsTWRwb0hEdw?oc=5
TDPOWERSYS,TD Power Systems Limited,TDPOWERSYS Share Price | TD Power Systems Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTFA4UE5QblVxV0F4b0d4SGtWSjEyUnNkbHI4LVdjYVJYOEtZanZwY1VCcmpWWVNyTnUxcWNhVUdNNkpfNVh2Z2kyZmF1NU84VE52WU43ZzVhTGRMbS1MYVQ4YVNfQnhkZFhyak1VZjhzV21YbmVZOFNhUQ?oc=5"" target=""_blank"">TDPOWERSYS Share Price | TD Power Systems Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-19 04:13:22,Markets Mojo,https://news.google.com/rss/articles/CBMieEFVX3lxTFA4UE5QblVxV0F4b0d4SGtWSjEyUnNkbHI4LVdjYVJYOEtZanZwY1VCcmpWWVNyTnUxcWNhVUdNNkpfNVh2Z2kyZmF1NU84VE52WU43ZzVhTGRMbS1MYVQ4YVNfQnhkZFhyak1VZjhzV21YbmVZOFNhUQ?oc=5
TDPOWERSYS,TD Power Systems Limited,TD Power Systems (NSE:TDPOWERSYS) Will Pay A Larger Dividend Than Last Year At ₹1.00 - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPaklTM004X19jUDJEczh5Q0d5TF85bnJ0TFlJSkdMRHlzLWE2amNyZkVwdklhVDUwbGR2eGNreWFWMzFjcFQyMGRnMTJGS0ZMMXRwZmhBMVlGUUdEZ0I5Tm85MGhWOTlxeV9jN25nSzJpdXNMSzNJczBUQjB2RGlzazRKUGZEX1FGRE50NE1zMlM5VWVlcE1iZEEySWNHeGZLckF6TUpWTW5ZMGdXZHRYNGhXMjdiTmJfZE1NSUNjd1pYZ1JjRlVQZHZkSzNYMzFhTjZ6ZFZsQkFRMkxndVhROEhIZTnSAeoBQVVfeXFMTUs3bzl6RzZ0VXRuelB1NW9GeUNxclk2QXdJQlpaNTk5SDVlMG5yMXVQQlZLemRvRjJxXzgzdzR6RjY1NmxRR3pDakI5Y0YzcTdIbm1admRsUG82S2NfRkQyNDBNampBNmJYVWxqQktFRmZUMzczS3p3cDJUYVdFRUVxTGZLZXF2OWVkV3JsSmxvQmFubVZoNTBMNGNvVDBHYVVSSXU3RmZLb3RWUnZJRWRuQUJkUlByYnhoSDBnQ1c4eEtqUTBJT3VSdk9PSG5rall1WDhjYk1pdjY1dHg2SWppMFYwR2Nvd2J3?oc=5"" target=""_blank"">TD Power Systems (NSE:TDPOWERSYS) Will Pay A Larger Dividend Than Last Year At ₹1.00</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-02 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPaklTM004X19jUDJEczh5Q0d5TF85bnJ0TFlJSkdMRHlzLWE2amNyZkVwdklhVDUwbGR2eGNreWFWMzFjcFQyMGRnMTJGS0ZMMXRwZmhBMVlGUUdEZ0I5Tm85MGhWOTlxeV9jN25nSzJpdXNMSzNJczBUQjB2RGlzazRKUGZEX1FGRE50NE1zMlM5VWVlcE1iZEEySWNHeGZLckF6TUpWTW5ZMGdXZHRYNGhXMjdiTmJfZE1NSUNjd1pYZ1JjRlVQZHZkSzNYMzFhTjZ6ZFZsQkFRMkxndVhROEhIZTnSAeoBQVVfeXFMTUs3bzl6RzZ0VXRuelB1NW9GeUNxclk2QXdJQlpaNTk5SDVlMG5yMXVQQlZLemRvRjJxXzgzdzR6RjY1NmxRR3pDakI5Y0YzcTdIbm1admRsUG82S2NfRkQyNDBNampBNmJYVWxqQktFRmZUMzczS3p3cDJUYVdFRUVxTGZLZXF2OWVkV3JsSmxvQmFubVZoNTBMNGNvVDBHYVVSSXU3RmZLb3RWUnZJRWRuQUJkUlByYnhoSDBnQ1c4eEtqUTBJT3VSdk9PSG5rall1WDhjYk1pdjY1dHg2SWppMFYwR2Nvd2J3?oc=5
TDPOWERSYS,TD Power Systems Limited,TD Power Systems Starts Commercial Operations at New Tumkur Unit-3 Plant - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNTmRidXNaZEJ2TWJIWC15eVBoMzJiS25RdEFub1BoeHJ6RU5UaWJfcUlMQjRFeGFXWHNGNmliekJTSTNXbWE1Q0VyWmc0OXY2Y1M3WUhxYlozZDZPbGVpQWFORktnaUxtRDQ5UkJSQmxXWEtvbU45VkE1ZmRNOHRLbmxwMUQ4ZUFxbm9nUWVxak43SzlGYzduZ0IxbjE3Nkp0VjY3cEgzN2xSbXh6dnBiQjd2WUg3SDRQMXFVUzR6MU83Zw?oc=5"" target=""_blank"">TD Power Systems Starts Commercial Operations at New Tumkur Unit-3 Plant</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2025-12-18 08:00:00,TipRanks,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNTmRidXNaZEJ2TWJIWC15eVBoMzJiS25RdEFub1BoeHJ6RU5UaWJfcUlMQjRFeGFXWHNGNmliekJTSTNXbWE1Q0VyWmc0OXY2Y1M3WUhxYlozZDZPbGVpQWFORktnaUxtRDQ5UkJSQmxXWEtvbU45VkE1ZmRNOHRLbmxwMUQ4ZUFxbm9nUWVxak43SzlGYzduZ0IxbjE3Nkp0VjY3cEgzN2xSbXh6dnBiQjd2WUg3SDRQMXFVUzR6MU83Zw?oc=5
TDPOWERSYS,TD Power Systems Limited,"TD Power Q2 net profit surges 45% on strong revenue, export orders; declares dividend - CNBC TV18","<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxPbnZMNzZtX2F0T2xNSmtkU2tvR25VNHFqa2t2NWFHVkpNQ2JCSUMxVm9lQTJFWVRSLTZvSmZZRVU1WlI5U0dSWmFmZDdwSG5LSjM4ZkJqX0htSV80cWtjLUwzcFBYMDNFOHAxeHlJcDJ0WDZSMGJzbkF5SUV2OXBiNHV0TmhXal82NjJrX3Q2MVY5MGlweTVGQ1pQNVFZRjk1SHUxYVk4TDBQck9PeTk2eEF5UG9wM1pLcFNsUTVVVnJpOUg5LUxuWlpMLUVSOUtubUVIWExOcGZRZEpRa2hNSWw2U0RZX2FTTUHSAe8BQVVfeXFMTW5xVHA2Znh1V2RDMHpMdzMtaTN6TWFSbXlvaVJ2WV9xVnp4dlNLTDYxSTJzbUJQaWVWVlBrSkhrcmYxTC0wWGlqZWhvTGRERGhxQTJtbGxwQWo5NndfbHBwXzgzamFTZmNIWVZ3RmhTVTlpS1l6Y1pwYTNaaWwwc2M1X1R0NGhLOGkwc1k3MU52NF95ckhiNnBWTkRiN0x5ejB6TXVoTEtyZGZsVWZJRi00cWpVdmdCV3hDSjdXRU9FVDRjY0VpWEFsMUVPMjlnVlRIVmpBTVROZVBkcjRVc0w5SUo2bWtwaWFCUXJ3bGc?oc=5"" target=""_blank"">TD Power Q2 net profit surges 45% on strong revenue, export orders; declares dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2025-10-30 07:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPbnZMNzZtX2F0T2xNSmtkU2tvR25VNHFqa2t2NWFHVkpNQ2JCSUMxVm9lQTJFWVRSLTZvSmZZRVU1WlI5U0dSWmFmZDdwSG5LSjM4ZkJqX0htSV80cWtjLUwzcFBYMDNFOHAxeHlJcDJ0WDZSMGJzbkF5SUV2OXBiNHV0TmhXal82NjJrX3Q2MVY5MGlweTVGQ1pQNVFZRjk1SHUxYVk4TDBQck9PeTk2eEF5UG9wM1pLcFNsUTVVVnJpOUg5LUxuWlpMLUVSOUtubUVIWExOcGZRZEpRa2hNSWw2U0RZX2FTTUHSAe8BQVVfeXFMTW5xVHA2Znh1V2RDMHpMdzMtaTN6TWFSbXlvaVJ2WV9xVnp4dlNLTDYxSTJzbUJQaWVWVlBrSkhrcmYxTC0wWGlqZWhvTGRERGhxQTJtbGxwQWo5NndfbHBwXzgzamFTZmNIWVZ3RmhTVTlpS1l6Y1pwYTNaaWwwc2M1X1R0NGhLOGkwc1k3MU52NF95ckhiNnBWTkRiN0x5ejB6TXVoTEtyZGZsVWZJRi00cWpVdmdCV3hDSjdXRU9FVDRjY0VpWEFsMUVPMjlnVlRIVmpBTVROZVBkcjRVc0w5SUo2bWtwaWFCUXJ3bGc?oc=5
