scrip,company,headline,summary,published_date,source,url
TEXINFRA,Texmaco Infrastructure & Holdings Limited,Texmaco Infrastructure & Holdings Limited (NSE:TEXINFRA) Stock Goes Ex-Dividend In Just Three Days - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMilwJBVV95cUxQUGdQaGYxZHFnMk5GUkNSNnEwek12b21odzVpSzVPYVdhVGhqZ1FLdk1qT1pZb0Z1YTFQWmJ5UGVJVVRhV0FhMDNsTUp0WXR0WExyRHVuMG5KR2NaSlhBVHRfZUVTTWtZU1F2MnB0VjVlaTA5bWpWc0xYMWxtR1NwNFktb3JSYTBzU2Z2cTBhd2RhMTU2QW01NTE3RnB4RkRSc1FNYk1EaDNMMUVHV2haOFB5alpROU5BajNlMkRLVFFjZlhMckNjaXAzWmJFNHc2Z0F2T2lyd2QwaXJuc1l4LXRlTjFwLW53SE5FTEJnM21qdTViN0NxUFpaZEZoNWUzSEZ6cFpUaThlRERxUjNlQWRhWUU2ZFnSAZwCQVVfeXFMTV9rSW5WS0pNYTRNYXhsZ1k1bnZEcGlwQzdMMVVZNE54ZVN0SUVIVEF0ZlBqaXhjY1VTeHJPanlINFE2V2hfeWVocnVXXy01Q2VUWkNwVlAzTWxMd2daelpuODYtQkRuYkdCYUZ5M2had1pUaFpZTzhSQzVzVnVGWmRoaVowcDdKZjBoNV9oa05RaWV5eVlNdm5nN0FNVWFUNlJnaVhrTWNwQ0VPemcwZUhTMm1oQ19SdV9oSTZQVzhWTmpTd2EyanNZQUx0dzhDS1VFdzlCYnBmSTdwUnVjQ1ZxWFN3ZFZoYkRSNGxOTlBudHRjT0lRYVNyTXNUY1NtU1RJQWdlcjRCSE1sUks1U2dxMERleUJsTjcwdnE?oc=5"" target=""_blank"">Texmaco Infrastructure & Holdings Limited (NSE:TEXINFRA) Stock Goes Ex-Dividend In Just Three Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-08 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMilwJBVV95cUxQUGdQaGYxZHFnMk5GUkNSNnEwek12b21odzVpSzVPYVdhVGhqZ1FLdk1qT1pZb0Z1YTFQWmJ5UGVJVVRhV0FhMDNsTUp0WXR0WExyRHVuMG5KR2NaSlhBVHRfZUVTTWtZU1F2MnB0VjVlaTA5bWpWc0xYMWxtR1NwNFktb3JSYTBzU2Z2cTBhd2RhMTU2QW01NTE3RnB4RkRSc1FNYk1EaDNMMUVHV2haOFB5alpROU5BajNlMkRLVFFjZlhMckNjaXAzWmJFNHc2Z0F2T2lyd2QwaXJuc1l4LXRlTjFwLW53SE5FTEJnM21qdTViN0NxUFpaZEZoNWUzSEZ6cFpUaThlRERxUjNlQWRhWUU2ZFnSAZwCQVVfeXFMTV9rSW5WS0pNYTRNYXhsZ1k1bnZEcGlwQzdMMVVZNE54ZVN0SUVIVEF0ZlBqaXhjY1VTeHJPanlINFE2V2hfeWVocnVXXy01Q2VUWkNwVlAzTWxMd2daelpuODYtQkRuYkdCYUZ5M2had1pUaFpZTzhSQzVzVnVGWmRoaVowcDdKZjBoNV9oa05RaWV5eVlNdm5nN0FNVWFUNlJnaVhrTWNwQ0VPemcwZUhTMm1oQ19SdV9oSTZQVzhWTmpTd2EyanNZQUx0dzhDS1VFdzlCYnBmSTdwUnVjQ1ZxWFN3ZFZoYkRSNGxOTlBudHRjT0lRYVNyTXNUY1NtU1RJQWdlcjRCSE1sUks1U2dxMERleUJsTjcwdnE?oc=5
TEXINFRA,Texmaco Infrastructure & Holdings Limited,Texmaco Infrastructure appoints Anish Choudhury as MD for three-year term - ET Infra,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxPUHEtbDlPQS04WHdkMnRSbm9IVjAzaUF3TWFVLWdmR3ZoWFRYOXVoR1pFNmFWcV9tT1BXYUtRdlZiZ2JLcXFYZjNnMHRPTi01QUlHQzExZ21FYUJXX2pQT0VqSVdsYjdwRGJVcDJURGdTMWxxcGhha3FjbHFPb0xid196S0hTc3JydXJ3aWZzVTFJLWtyNEF2YzVpRTlBWUVrT19nTU1Kdldfb2o0bmxTVXJUclVUb0h2ajcxNHIwNXQ5SUdDc0R6d0lKaHVQbHpqMFRiUFRZZmptOVRscU5rcHln0gHnAUFVX3lxTE1qaFlieWJtVEgwOGp6cW0tczlUYklESDBsUks4UHdyc0N2SnRIYkxud3RBRUZXYWxKR2JENF9wakFUNFRiaG9WVktuQjNtYWNvV2J3ZjRIX2JQRU92S0otOExSSVFzeGJJcTFPSjZfYkFRTS1BUHNucnh6djJObF8td2RHSFhEcGdZeWJJbmNHUGFUWW9PRUdXWmN3RS15M0ZrUXBUVEJSZ0JsZ29xYUJac1I3OFFSNk5vcGlZU3MwRzA1ZTBHRS04a2dHUXpoSWlvX3lZQTZWaUwxM0RrWHYyRUx0THcycw?oc=5"" target=""_blank"">Texmaco Infrastructure appoints Anish Choudhury as MD for three-year term</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ET Infra</font>",2025-11-10 08:00:00,ET Infra,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPUHEtbDlPQS04WHdkMnRSbm9IVjAzaUF3TWFVLWdmR3ZoWFRYOXVoR1pFNmFWcV9tT1BXYUtRdlZiZ2JLcXFYZjNnMHRPTi01QUlHQzExZ21FYUJXX2pQT0VqSVdsYjdwRGJVcDJURGdTMWxxcGhha3FjbHFPb0xid196S0hTc3JydXJ3aWZzVTFJLWtyNEF2YzVpRTlBWUVrT19nTU1Kdldfb2o0bmxTVXJUclVUb0h2ajcxNHIwNXQ5SUdDc0R6d0lKaHVQbHpqMFRiUFRZZmptOVRscU5rcHln0gHnAUFVX3lxTE1qaFlieWJtVEgwOGp6cW0tczlUYklESDBsUks4UHdyc0N2SnRIYkxud3RBRUZXYWxKR2JENF9wakFUNFRiaG9WVktuQjNtYWNvV2J3ZjRIX2JQRU92S0otOExSSVFzeGJJcTFPSjZfYkFRTS1BUHNucnh6djJObF8td2RHSFhEcGdZeWJJbmNHUGFUWW9PRUdXWmN3RS15M0ZrUXBUVEJSZ0JsZ29xYUJac1I3OFFSNk5vcGlZU3MwRzA1ZTBHRS04a2dHUXpoSWlvX3lZQTZWaUwxM0RrWHYyRUx0THcycw?oc=5
TEXINFRA,Texmaco Infrastructure & Holdings Limited,Texmaco Infrastructure and Holdings soars 19% after 10x rise in Q4 PAT at ₹1.07 crore - Upstox,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQRkJ0eHZ3WWpnQjdwY3RuV01Na3VqOUk5QW5seWQyT3NicldKUWs1SVc4S29VNmRTLWN1WTVBNnZ0NUYzV1hLVU5obzQ5ckllSS0zeFNpcWdvTUp4NmNsVzFnRDBhTWlwa0t1eE9qdmdhMjFQYkpNckMyME55VGhiR1k5WU5vY0R4MVdrY1Q2VkJMc0tjRkVTWWN0ckp2dkxjOUZzYkVsOEswdGFKaFhZYndxRkg4UmQ3bDVvUHBfWjZHOXVHZkJiREU0ZGZyNzdPNFE?oc=5"" target=""_blank"">Texmaco Infrastructure and Holdings soars 19% after 10x rise in Q4 PAT at ₹1.07 crore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2024-05-14 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQRkJ0eHZ3WWpnQjdwY3RuV01Na3VqOUk5QW5seWQyT3NicldKUWs1SVc4S29VNmRTLWN1WTVBNnZ0NUYzV1hLVU5obzQ5ckllSS0zeFNpcWdvTUp4NmNsVzFnRDBhTWlwa0t1eE9qdmdhMjFQYkpNckMyME55VGhiR1k5WU5vY0R4MVdrY1Q2VkJMc0tjRkVTWWN0ckp2dkxjOUZzYkVsOEswdGFKaFhZYndxRkg4UmQ3bDVvUHBfWjZHOXVHZkJiREU0ZGZyNzdPNFE?oc=5
TEXINFRA,Texmaco Infrastructure & Holdings Limited,"Texmaco, Hines, Conscient, HDFC Partner for Delhi Realty Project - Rediff","<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQdkZ0NzZFb2NfY1JtZ3JWeFBtSVk2TURsRjRYWnI5YVNyN0J0YnZyRlZjRmtVRXc5bVpWa2pCVFJCM3djdFUtVlhXQVlGUXdza3BNVFE4Nm5vVkltbUFtZ1EtcnpsTjRMc1h1amYtWm9VcTlwbFNIY2JpWEktQi15azFGNl9iMlpFbV93dm5nazBHTjl5MnhCYzF5aHlhV1lZeEpXeEdUcUJCa05yaXRjcENoWdIBuAFBVV95cUxNYU9nV0hWdVZHME40VnhoWVQ0dVBsUkhpb0UwbDFKT0UzdVVuaXJqaHY5MldRZzdOcFQxR0J2MEZIU2RBWEdHVXhTX3J4alBRZG9seHBXNWdneUJoZE0wVGp2ZWxvZ0doVjk1N3J4ZXdPbHFJcDlnTTRMMWd0bC1ObnBkemRNMXJJckkxMURQWmxOZnR4UFZ0NVdTV2RDd3ZVY1dGUldyVGhfQVMwTUphZ3pzN3d2NVIy?oc=5"" target=""_blank"">Texmaco, Hines, Conscient, HDFC Partner for Delhi Realty Project</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rediff</font>",2025-01-31 08:00:00,Rediff,https://news.google.com/rss/articles/CBMiswFBVV95cUxQdkZ0NzZFb2NfY1JtZ3JWeFBtSVk2TURsRjRYWnI5YVNyN0J0YnZyRlZjRmtVRXc5bVpWa2pCVFJCM3djdFUtVlhXQVlGUXdza3BNVFE4Nm5vVkltbUFtZ1EtcnpsTjRMc1h1amYtWm9VcTlwbFNIY2JpWEktQi15azFGNl9iMlpFbV93dm5nazBHTjl5MnhCYzF5aHlhV1lZeEpXeEdUcUJCa05yaXRjcENoWdIBuAFBVV95cUxNYU9nV0hWdVZHME40VnhoWVQ0dVBsUkhpb0UwbDFKT0UzdVVuaXJqaHY5MldRZzdOcFQxR0J2MEZIU2RBWEdHVXhTX3J4alBRZG9seHBXNWdneUJoZE0wVGp2ZWxvZ0doVjk1N3J4ZXdPbHFJcDlnTTRMMWd0bC1ObnBkemRNMXJJckkxMURQWmxOZnR4UFZ0NVdTV2RDd3ZVY1dGUldyVGhfQVMwTUphZ3pzN3d2NVIy?oc=5
TEXINFRA,Texmaco Infrastructure & Holdings Limited,Technical Analysis of Texmaco Infrastructure & Holdings Limited (NSE:TEXINFRA) - TradingView,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE5hRXJpS01nMXZscWFmVFd2N1IycXd4SnpDXzVEdVdqT2V0TlB6MVYyTlQ2bzhybkRFU21ZbS1xSlNEREpiUmpHZFVFY3RtaFRvSHpzd3NvTG04eG10Ym8yQnc1Sk9VY1RxNzRvSQ?oc=5"" target=""_blank"">Technical Analysis of Texmaco Infrastructure & Holdings Limited (NSE:TEXINFRA)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2018-02-14 21:31:59,TradingView,https://news.google.com/rss/articles/CBMibEFVX3lxTE5hRXJpS01nMXZscWFmVFd2N1IycXd4SnpDXzVEdVdqT2V0TlB6MVYyTlQ2bzhybkRFU21ZbS1xSlNEREpiUmpHZFVFY3RtaFRvSHpzd3NvTG04eG10Ym8yQnc1Sk9VY1RxNzRvSQ?oc=5
TEXINFRA,Texmaco Infrastructure & Holdings Limited,Texmaco Infrastructure & Holdings Ltd is Rated Strong Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNbjdTdHBOVXBfcFkweDBWZHZWUC1ncGtqR3JZd0tnMWZrU1ZzNXhvS1VLaEoyYkg2RFJSNUgwZkI3M0NBMW9qc002cTZwVVVPMEZvdjFveFFCUjM2RG01c3dNQ09sdGxUdllUV2dQNGxDMnZaRW5oX2NMa0xsZGE2ajVqWDFGU21UOVAxNjJiZFBhSFVJMHNETHZheUVpdEp2R0xMSE9jckdZSVljQXhWTDk1RjhLSmRvcVE?oc=5"" target=""_blank"">Texmaco Infrastructure & Holdings Ltd is Rated Strong Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-02 05:47:50,Markets Mojo,https://news.google.com/rss/articles/CBMiugFBVV95cUxNbjdTdHBOVXBfcFkweDBWZHZWUC1ncGtqR3JZd0tnMWZrU1ZzNXhvS1VLaEoyYkg2RFJSNUgwZkI3M0NBMW9qc002cTZwVVVPMEZvdjFveFFCUjM2RG01c3dNQ09sdGxUdllUV2dQNGxDMnZaRW5oX2NMa0xsZGE2ajVqWDFGU21UOVAxNjJiZFBhSFVJMHNETHZheUVpdEp2R0xMSE9jckdZSVljQXhWTDk1RjhLSmRvcVE?oc=5
TEXINFRA,Texmaco Infrastructure & Holdings Limited,"Texmaco Infra Standalone December 2025 Net Sales at Rs 2.37 crore, up 1.45% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPSjFPYUdZN0JhcDZWVS1VOW1yeDdXQ09sMHdEU0ZWZkVmZFZ5TmtvRTNpZHpWVlNYUl9jQTBTb3JKSGRYcEM4YWdyNS01YjFHVS1qUF96T1pXeDU5eXlBYjUxZmdjVUJFUEZwaHdFd2IxdE9SU3F3ejZkT0FRVFFJTzlLaDhpX3RKZ2xNclBTeTJRSTRCYmFKdk5LTlo4eU5zZlozQW5aSGJlR2tORkxwY0JkZXN3ejZxWFdtZmEtUGdlWEI5dGZTdHRMX0NPNDdQNFI1dElVQkVRckhQX3fSAeMBQVVfeXFMTkp6TmVSU0E2TUZabDhHX0V3MTluYTJkMDFrRkFYVkFDNWFubXAtZWt2YldqYWxoc1RGZTc2MmhIT2dLM3pVWXhmNDNkS2xEVDFBR2xBbGVGaU53M2VpZ1VQdW9Wd093ay1leFFxU182dnd5Q0Q0dUl2am55SDlTY1ZBSVhQSzhQZWlJTGQ1R25jbGJBRjFvLUxnM1ZRcHU2MktobU9PRjdiSHBhLUFHZW1RSndLR0ZJWTVDR0tGS0hqZGNuYjA0UkxFZ3RRcXVYNzZyVFVXY19vS0VNdGVXTmNKa2c?oc=5"" target=""_blank"">Texmaco Infra Standalone December 2025 Net Sales at Rs 2.37 crore, up 1.45% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-16 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPSjFPYUdZN0JhcDZWVS1VOW1yeDdXQ09sMHdEU0ZWZkVmZFZ5TmtvRTNpZHpWVlNYUl9jQTBTb3JKSGRYcEM4YWdyNS01YjFHVS1qUF96T1pXeDU5eXlBYjUxZmdjVUJFUEZwaHdFd2IxdE9SU3F3ejZkT0FRVFFJTzlLaDhpX3RKZ2xNclBTeTJRSTRCYmFKdk5LTlo4eU5zZlozQW5aSGJlR2tORkxwY0JkZXN3ejZxWFdtZmEtUGdlWEI5dGZTdHRMX0NPNDdQNFI1dElVQkVRckhQX3fSAeMBQVVfeXFMTkp6TmVSU0E2TUZabDhHX0V3MTluYTJkMDFrRkFYVkFDNWFubXAtZWt2YldqYWxoc1RGZTc2MmhIT2dLM3pVWXhmNDNkS2xEVDFBR2xBbGVGaU53M2VpZ1VQdW9Wd093ay1leFFxU182dnd5Q0Q0dUl2am55SDlTY1ZBSVhQSzhQZWlJTGQ1R25jbGJBRjFvLUxnM1ZRcHU2MktobU9PRjdiSHBhLUFHZW1RSndLR0ZJWTVDR0tGS0hqZGNuYjA0UkxFZ3RRcXVYNzZyVFVXY19vS0VNdGVXTmNKa2c?oc=5
TEXINFRA,Texmaco Infrastructure & Holdings Limited,"18 Stocks to watch: Reliance, Yes Bank, RVNL, Texmaco, Reliance Infra & Lupin - BusinessLine","<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxPczQzQlZRem9PMi1RTDZ5SUp1ZGxkaUdMa2FOd1RfdEx5RGxpbUdtbWhVNEhvT2pMU01tWU1lX0pyRkVXbnh6X01sZm1Ubk45QlkzVW9PV1VQYjNJWEszRUl6NGNwbTJpcFN1SjczYmxOeDNWWWx5a1BadVo4bkZzLWU1MGo1bGxfeHB1RzhfMkdmNmp4M1czX1lSNEgwU0wyZk5wVE5WSmRmWU5VVk80NjRrSUUwckQwcGc5RnRfdUJOZnphek1Xb2N1bVlkZ3dwUXk2ampucmdfamhtQkZRQndiLTAtNm91RXJhR29pTzltRkhrV3c5a3R5c9IBggJBVV95cUxQeFhsTzg5OXNjRnNyTDVLQ0psMHJ0ajBtZHB4TGhnVFJkbGF1WG1iVWVRNXRzc0ptRHdvY2JjbU5rLVBucDVmYUxXMk1aOWhzblNXRGFEdnVxOHNTa05qUnFObkVRQlhheWR3Ujk4SmpuRlNzeEhhLUhaWk9MaXg5eFRQNFRyQVp5QllqWUNKdGhTQ0toaVBSVUIyY1JEejlBWDZxbURidjZuSmkxeW0tSHk2emdsVDBMMXpTSzFwN250WVY1THl3M3NPb1hILXpRUWkxSWotWmZ4UE52MVRJTUNscE1JNHlNOTVwMXh3LU1PNHJoeDZrUV9WNUJlZHBfLVE?oc=5"" target=""_blank"">18 Stocks to watch: Reliance, Yes Bank, RVNL, Texmaco, Reliance Infra & Lupin</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BusinessLine</font>",2026-02-26 01:12:26,BusinessLine,https://news.google.com/rss/articles/CBMi-wFBVV95cUxPczQzQlZRem9PMi1RTDZ5SUp1ZGxkaUdMa2FOd1RfdEx5RGxpbUdtbWhVNEhvT2pMU01tWU1lX0pyRkVXbnh6X01sZm1Ubk45QlkzVW9PV1VQYjNJWEszRUl6NGNwbTJpcFN1SjczYmxOeDNWWWx5a1BadVo4bkZzLWU1MGo1bGxfeHB1RzhfMkdmNmp4M1czX1lSNEgwU0wyZk5wVE5WSmRmWU5VVk80NjRrSUUwckQwcGc5RnRfdUJOZnphek1Xb2N1bVlkZ3dwUXk2ampucmdfamhtQkZRQndiLTAtNm91RXJhR29pTzltRkhrV3c5a3R5c9IBggJBVV95cUxQeFhsTzg5OXNjRnNyTDVLQ0psMHJ0ajBtZHB4TGhnVFJkbGF1WG1iVWVRNXRzc0ptRHdvY2JjbU5rLVBucDVmYUxXMk1aOWhzblNXRGFEdnVxOHNTa05qUnFObkVRQlhheWR3Ujk4SmpuRlNzeEhhLUhaWk9MaXg5eFRQNFRyQVp5QllqWUNKdGhTQ0toaVBSVUIyY1JEejlBWDZxbURidjZuSmkxeW0tSHk2emdsVDBMMXpTSzFwN250WVY1THl3M3NPb1hILXpRUWkxSWotWmZ4UE52MVRJTUNscE1JNHlNOTVwMXh3LU1PNHJoeDZrUV9WNUJlZHBfLVE?oc=5
TEXINFRA,Texmaco Infrastructure & Holdings Limited,"Texmaco, RVNL ink JV to boost global rail mfg and Infra - Indian Transport & Logistics","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxNUFFmQ2tOSHczTzNKejFISGZlN3d4akhFSWd1OE4xbFNyb0hScnpqc1dNQmhCU3BBZ2pGMlVJVDEycEtacjFpc1Y0Y3lPd3Q2RFRpMlh4blVWdUVyZU5CdHVvWEpFcDVJRVJiRnByTWt5aDd5ZkZuRWxxRHhPcS1kRzdaZE5XQ0lkcHZUV3hBWl9SM3B20gGaAUFVX3lxTE5jdWktUVN2MExrRUpzRWM3QXRSMUFyajNBWkFhM3FONzZRR0JTZS1mMjdtYy05ZzAyclNqSElpSHJkYjJ1cjNUaTRUYWRyVUpkREcwQ1RJVlhzdDFCS0hVcWd2RTBTendoNFhHQjNheC1QTVU5NTZrM1d1WGg1bGJiNDRFMzFra0wwMWNsZldfYjdlbldjeXlNNkE?oc=5"" target=""_blank"">Texmaco, RVNL ink JV to boost global rail mfg and Infra</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indian Transport & Logistics</font>",2026-02-21 04:30:20,Indian Transport & Logistics,https://news.google.com/rss/articles/CBMilAFBVV95cUxNUFFmQ2tOSHczTzNKejFISGZlN3d4akhFSWd1OE4xbFNyb0hScnpqc1dNQmhCU3BBZ2pGMlVJVDEycEtacjFpc1Y0Y3lPd3Q2RFRpMlh4blVWdUVyZU5CdHVvWEpFcDVJRVJiRnByTWt5aDd5ZkZuRWxxRHhPcS1kRzdaZE5XQ0lkcHZUV3hBWl9SM3B20gGaAUFVX3lxTE5jdWktUVN2MExrRUpzRWM3QXRSMUFyajNBWkFhM3FONzZRR0JTZS1mMjdtYy05ZzAyclNqSElpSHJkYjJ1cjNUaTRUYWRyVUpkREcwQ1RJVlhzdDFCS0hVcWd2RTBTendoNFhHQjNheC1QTVU5NTZrM1d1WGg1bGJiNDRFMzFra0wwMWNsZldfYjdlbldjeXlNNkE?oc=5
TEXINFRA,Texmaco Infrastructure & Holdings Limited,"Stocks in Focus: Texmaco, Highway Infra, DMR Engineering, Infinity Infoway bag new orders - Trade Brains","<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxNWU1KNklTcVZTalRJM0s5TFNOTmxNa21UdU05b1Z0eHJyTGdQSXlaYmhBZ3JKUndjYTE3OWhSZTdtNXlGWjhfSmg5SjlkS0tBcDFhWU5vcDVDdnFjal9NblNjV0h0OGFaSjNCRUZDR1NBNWg3aF93VEpxWG1uRzJERFBtdEFmOWFUd1BzdVhPa0FIeG1LTzRLRmp5VHludkdLRlFxSnowNmNWNnhiZ2c?oc=5"" target=""_blank"">Stocks in Focus: Texmaco, Highway Infra, DMR Engineering, Infinity Infoway bag new orders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trade Brains</font>",2026-02-26 10:31:00,Trade Brains,https://news.google.com/rss/articles/CBMirgFBVV95cUxNWU1KNklTcVZTalRJM0s5TFNOTmxNa21UdU05b1Z0eHJyTGdQSXlaYmhBZ3JKUndjYTE3OWhSZTdtNXlGWjhfSmg5SjlkS0tBcDFhWU5vcDVDdnFjal9NblNjV0h0OGFaSjNCRUZDR1NBNWg3aF93VEpxWG1uRzJERFBtdEFmOWFUd1BzdVhPa0FIeG1LTzRLRmp5VHludkdLRlFxSnowNmNWNnhiZ2c?oc=5
