scrip,company,headline,summary,published_date,source,url
TIJARIA,Tijaria Polypipes Limited,Tijaria Polypipes Ltd Surges to Upper Circuit Amid Strong Buying Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNY0pKQzNRNTNxSkljbnRYU0pFZnFNRjR6d0h1WHg4UUNZM3VabW4zRjhua2U0a3JlVGNMLTdtV18wRG1SUmV0cEFuWU9SOGhhTW1FcE5BZGNiX1RnMS1yNld0OEx5VnctQmJ5NUJTS3dFOGhVeWN2dW1xbUx1WF9OWFMwVVlEQzR1bjBiejNHUHBVbjV4dTZrN0taZ25fSWt5dEk2NkdGMFYyc21yYTRYLXdRRjBxTTM0VUI2blRhTS1aTHZpRnRFRlFmdw?oc=5"" target=""_blank"">Tijaria Polypipes Ltd Surges to Upper Circuit Amid Strong Buying Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-04 09:40:24,Markets Mojo,https://news.google.com/rss/articles/CBMiywFBVV95cUxNY0pKQzNRNTNxSkljbnRYU0pFZnFNRjR6d0h1WHg4UUNZM3VabW4zRjhua2U0a3JlVGNMLTdtV18wRG1SUmV0cEFuWU9SOGhhTW1FcE5BZGNiX1RnMS1yNld0OEx5VnctQmJ5NUJTS3dFOGhVeWN2dW1xbUx1WF9OWFMwVVlEQzR1bjBiejNHUHBVbjV4dTZrN0taZ25fSWt5dEk2NkdGMFYyc21yYTRYLXdRRjBxTTM0VUI2blRhTS1aTHZpRnRFRlFmdw?oc=5
TIJARIA,Tijaria Polypipes Limited,Tijaria Polypipes Ltd Hits Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxPRDR4U3lFSS1fWU1USFczb2NfSXVaaVBKWHBSRzBCWWYxZ2JPaVJRNDl2eEh2X2JkUTBLQTNjcEVjT1duZHFHeU8xbVR0NGFsZk1vR25Ua2hwOFZENXdweDNVc0FoYmNHMS1JaEVPWmwtVURST3NGdXBEbjllRFdYRFVQU3pDTWU1X01WbFV6MUZicTNlM2dkWlYzME10VEpSWE55M1BxbXdkYzRCM0Q4Rkx4Q0pYc09sNk9KM0d4aG1pV2hF?oc=5"" target=""_blank"">Tijaria Polypipes Ltd Hits Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-02 20:36:28,Markets Mojo,https://news.google.com/rss/articles/CBMixAFBVV95cUxPRDR4U3lFSS1fWU1USFczb2NfSXVaaVBKWHBSRzBCWWYxZ2JPaVJRNDl2eEh2X2JkUTBLQTNjcEVjT1duZHFHeU8xbVR0NGFsZk1vR25Ua2hwOFZENXdweDNVc0FoYmNHMS1JaEVPWmwtVURST3NGdXBEbjllRFdYRFVQU3pDTWU1X01WbFV6MUZicTNlM2dkWlYzME10VEpSWE55M1BxbXdkYzRCM0Q4Rkx4Q0pYc09sNk9KM0d4aG1pV2hF?oc=5
TIJARIA,Tijaria Polypipes Limited,Tijaria Polypipes Ltd leads gainers in 'B' group - Business Standard,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxOaUtrWkxBSk95NVZEQ28zczBQRkROQWFWMVkyYm1FT0tNN2dEcS1Kbi1LUDRxZlFnRmk0QWtScGdRTldDZGZIMU1NejBPMl85N21DWGRjajZkcXVKUFpCRXVSZEtYbUhadTRMNU5nbVI0SWtnLTh5WThhN0s5RkJUNHpJMFVzRTM3UWhfQWpCcG0wanRkX0JiQ2NQd24tbFNwRnk3aTFfZnVPcnZ6YUZfU1NlTm1yMS1tVWNTMkdwLWNJcFJUUzdN0gHMAUFVX3lxTE9Nc0tscmZsY1pnR21tNjFGaTNMLU9BQzhEdk1la1BfQmMtb0lLeXFMejg0RzFhbzVZV2R6RVl3My1sOTZNMmFhUHRPWW5Qa1UxMjN6YnJHeThsVmxOYnh2T2lkQzJIQngzeXlLdzNXdUh1Y1ZsQzNaOTZTaVpURkpLRkZZVm82bGNQdVJGbXRJa0pBVDVyMTdjQUxkV2tjdmZMLUpyblk4TGZlQXE4UjY0WUFlSzRveU5QOXk1dERTR0V2UVZXcFI0SG1VZw?oc=5"" target=""_blank"">Tijaria Polypipes Ltd leads gainers in 'B' group</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2026-02-05 08:00:00,Business Standard,https://news.google.com/rss/articles/CBMixwFBVV95cUxOaUtrWkxBSk95NVZEQ28zczBQRkROQWFWMVkyYm1FT0tNN2dEcS1Kbi1LUDRxZlFnRmk0QWtScGdRTldDZGZIMU1NejBPMl85N21DWGRjajZkcXVKUFpCRXVSZEtYbUhadTRMNU5nbVI0SWtnLTh5WThhN0s5RkJUNHpJMFVzRTM3UWhfQWpCcG0wanRkX0JiQ2NQd24tbFNwRnk3aTFfZnVPcnZ6YUZfU1NlTm1yMS1tVWNTMkdwLWNJcFJUUzdN0gHMAUFVX3lxTE9Nc0tscmZsY1pnR21tNjFGaTNMLU9BQzhEdk1la1BfQmMtb0lLeXFMejg0RzFhbzVZV2R6RVl3My1sOTZNMmFhUHRPWW5Qa1UxMjN6YnJHeThsVmxOYnh2T2lkQzJIQngzeXlLdzNXdUh1Y1ZsQzNaOTZTaVpURkpLRkZZVm82bGNQdVJGbXRJa0pBVDVyMTdjQUxkV2tjdmZMLUpyblk4TGZlQXE4UjY0WUFlSzRveU5QOXk1dERTR0V2UVZXcFI0SG1VZw?oc=5
TIJARIA,Tijaria Polypipes Limited,Tijaria Polypipes Ltd Hits Lower Circuit Amid Intense Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNNGpXTzFTekpMMm5pMHlUUk1HckdfY1MtMFBiVjRYWHRkdHRjOVlBcF9XZEpBSURmWFU4djNGR0txVGlCWGFJQ1B6eHlOclBJXzZFaExzNTVudDBndEVvZkF4YXpVbEtVZ0tUZnA0WjNaQ3JFMVlBVllhSG8tZFJRYjZaS1gyVVZ0c1ItbWIxZlZmdzRZZ3FsR0d2TVc2SzQ1LUZ6VGxpckNtOE9pMFBTdUN6ZHY2TWdISm5wbTQ4azR1N3VVZUU4?oc=5"" target=""_blank"">Tijaria Polypipes Ltd Hits Lower Circuit Amid Intense Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 04:47:44,Markets Mojo,https://news.google.com/rss/articles/CBMixwFBVV95cUxNNGpXTzFTekpMMm5pMHlUUk1HckdfY1MtMFBiVjRYWHRkdHRjOVlBcF9XZEpBSURmWFU4djNGR0txVGlCWGFJQ1B6eHlOclBJXzZFaExzNTVudDBndEVvZkF4YXpVbEtVZ0tUZnA0WjNaQ3JFMVlBVllhSG8tZFJRYjZaS1gyVVZ0c1ItbWIxZlZmdzRZZ3FsR0d2TVc2SzQ1LUZ6VGxpckNtOE9pMFBTdUN6ZHY2TWdISm5wbTQ4azR1N3VVZUU4?oc=5
TIJARIA,Tijaria Polypipes Limited,Tijaria Polypipes Ltd Hits Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxNWWkyY0NUUUtuVFlaZ0xyRFBYekFYT2hNeDh5WHYxNFdjOXJZdTJ1SWhybW80eU1BaFk4ejBpcGJmWDRySjNLUl9lZlBsN3hNS1pCZFNBT1VWZVRFMm9xNGY2akJDS2tuZENIN2RkeDk2R1hiRXp6Y3dqa3Z6TnhLa0pMenItS3hxd2dEQzN3MXpwdFFWVzFtbDNfczFQYjB1ZklQU0xqNUdHZ0trUWdPWFJWM2xsUUw3ZXB5ZXhoNlVPUnp0?oc=5"" target=""_blank"">Tijaria Polypipes Ltd Hits Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-18 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMixAFBVV95cUxNWWkyY0NUUUtuVFlaZ0xyRFBYekFYT2hNeDh5WHYxNFdjOXJZdTJ1SWhybW80eU1BaFk4ejBpcGJmWDRySjNLUl9lZlBsN3hNS1pCZFNBT1VWZVRFMm9xNGY2akJDS2tuZENIN2RkeDk2R1hiRXp6Y3dqa3Z6TnhLa0pMenItS3hxd2dEQzN3MXpwdFFWVzFtbDNfczFQYjB1ZklQU0xqNUdHZ0trUWdPWFJWM2xsUUw3ZXB5ZXhoNlVPUnp0?oc=5
TIJARIA,Tijaria Polypipes Limited,Tijaria Polypipes Ltd Hits Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxOLU05UmF4N1JDcUFPWEZOV3JseVdwTHlGYl9ON2pxYWRfMldpYks2eTY2RnVSUjZ2ZjdBcV9vZlBESDY1cGwwdDdUekltUjk5RXVMNHRzV1Z2RFZjeE1Sdml0SHVYb3dQZDJYV3VXclRKMUg1eDkyQmdKb21IZ3h0Ni16UXdoN2hQTUZiWVZTSXNZMXJFcFlEV0pGSnM5bUMydmN1cTR6ZDZvSDdMNU1GZnAtdmhzekxyNkJQLXVFMTJqZWV3?oc=5"" target=""_blank"">Tijaria Polypipes Ltd Hits Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-13 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMixAFBVV95cUxOLU05UmF4N1JDcUFPWEZOV3JseVdwTHlGYl9ON2pxYWRfMldpYks2eTY2RnVSUjZ2ZjdBcV9vZlBESDY1cGwwdDdUekltUjk5RXVMNHRzV1Z2RFZjeE1Sdml0SHVYb3dQZDJYV3VXclRKMUg1eDkyQmdKb21IZ3h0Ni16UXdoN2hQTUZiWVZTSXNZMXJFcFlEV0pGSnM5bUMydmN1cTR6ZDZvSDdMNU1GZnAtdmhzekxyNkJQLXVFMTJqZWV3?oc=5
TIJARIA,Tijaria Polypipes Limited,Tijaria Polypipes Ltd Hits Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxOZWYyQWhqOHRYTERfYjVRbVROXy1MNEtyUG1rcFQzbllNYTJMR2szNFFid0FIYmtSbjVUQmdBZnlCQ08xTktRWVZ6aWRLYjdSR1BxNjJLN3Nzem11cnJ2cmI5V3A0RlBKdThiejhHYVlrTUJqMEJXcy1wNEJGZ2tGUElDcWhLVnFaYng3Mkg0NGdLQVlYRXR6SGkyV29JN2YtWWI4S0RCWE9za01RbF9yTGhFUmJGN1R4S2IwX0JQTUtvYXlX?oc=5"" target=""_blank"">Tijaria Polypipes Ltd Hits Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-20 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMixAFBVV95cUxOZWYyQWhqOHRYTERfYjVRbVROXy1MNEtyUG1rcFQzbllNYTJMR2szNFFid0FIYmtSbjVUQmdBZnlCQ08xTktRWVZ6aWRLYjdSR1BxNjJLN3Nzem11cnJ2cmI5V3A0RlBKdThiejhHYVlrTUJqMEJXcy1wNEJGZ2tGUElDcWhLVnFaYng3Mkg0NGdLQVlYRXR6SGkyV29JN2YtWWI4S0RCWE9za01RbF9yTGhFUmJGN1R4S2IwX0JQTUtvYXlX?oc=5
TIJARIA,Tijaria Polypipes Limited,Tijaria Polypipes Ltd Hits Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxPWFdaRE5uaWtpOXpCdlRWc3pPRmN5LUl4TnRmMlctY2NiY0hZc0l2dGduNmphcGdOMF9sZW1idk10TTMxbFVnNkpiRnZZOWlJTFdKQ21kYXJBc0R0dmJZYU9qMmc2N2VROWdmN2NoSm1iaExROHVoNjVaZTRjTWozNVJBWHNaRDNCV1hqOHNYdFlHOWd1eFJjV3NzOENUOHRtLWJYamhFaEZDRmVPYk1ieFBEVTJRamphUzhSQ1lrRVc0dkZK?oc=5"" target=""_blank"">Tijaria Polypipes Ltd Hits Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-17 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMixAFBVV95cUxPWFdaRE5uaWtpOXpCdlRWc3pPRmN5LUl4TnRmMlctY2NiY0hZc0l2dGduNmphcGdOMF9sZW1idk10TTMxbFVnNkpiRnZZOWlJTFdKQ21kYXJBc0R0dmJZYU9qMmc2N2VROWdmN2NoSm1iaExROHVoNjVaZTRjTWozNVJBWHNaRDNCV1hqOHNYdFlHOWd1eFJjV3NzOENUOHRtLWJYamhFaEZDRmVPYk1ieFBEVTJRamphUzhSQ1lrRVc0dkZK?oc=5
TIJARIA,Tijaria Polypipes Limited,Tijaria Polypipes Ltd Plunges to Lower Circuit Amid Heavy Selling Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOcVNrR2ZtQW9hWkhjSElsclZXcWllMmtPTzVjUjAxNUZHT0tUX0NUVkU2d3VpRUpuV0NlYmUwT0NIZkRUblVtLWlDZVlGS1B2bjV5aEM5Z1p6WEhzRllpa185ZFY2LTQtMEJQaEJIQTdiLVliQkwyNDItQ0d0T3E4aG4ydkRsbFpPRVNVZW1tYlBVNHRvVVdFODAwQkZiQk9qSEhMLU5GbUV1XzlwNUt6LXBhcFotUUtWYlpGM054REgzSnFTR29wYTNLZEM?oc=5"" target=""_blank"">Tijaria Polypipes Ltd Plunges to Lower Circuit Amid Heavy Selling Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-16 09:12:16,Markets Mojo,https://news.google.com/rss/articles/CBMizAFBVV95cUxOcVNrR2ZtQW9hWkhjSElsclZXcWllMmtPTzVjUjAxNUZHT0tUX0NUVkU2d3VpRUpuV0NlYmUwT0NIZkRUblVtLWlDZVlGS1B2bjV5aEM5Z1p6WEhzRllpa185ZFY2LTQtMEJQaEJIQTdiLVliQkwyNDItQ0d0T3E4aG4ydkRsbFpPRVNVZW1tYlBVNHRvVVdFODAwQkZiQk9qSEhMLU5GbUV1XzlwNUt6LXBhcFotUUtWYlpGM054REgzSnFTR29wYTNLZEM?oc=5
TIJARIA,Tijaria Polypipes Limited,Tijaria Polypipes Ltd Surges to Upper Circuit Amid Strong Buying Pressure - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxQY09JRU5TNkNIWFBrcTZ2ckFXNThOTTQyRkZQMS1lZmdWUEgwVHUyZGg4SEVwR2VhbmNjNmxZOVduSzZ0WU1oWklFM29IM2NENUVwT3RpM0JmTlo0VFllQ3pZOVVUSFVJUEZZLThRRDA3WXBWODBoR2F6Mmp6VlhDWmh6emoyQ2tlakY0Q3VyaTlhcHJDeEs3SDRhbzRiX0tWSFh0SUVsaTNhdVpsSjJyU1Q3YUVUWjhsNWNOUXJfYTVMRGJJQ2F3MlQ4NA?oc=5"" target=""_blank"">Tijaria Polypipes Ltd Surges to Upper Circuit Amid Strong Buying Pressure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-10 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMiywFBVV95cUxQY09JRU5TNkNIWFBrcTZ2ckFXNThOTTQyRkZQMS1lZmdWUEgwVHUyZGg4SEVwR2VhbmNjNmxZOVduSzZ0WU1oWklFM29IM2NENUVwT3RpM0JmTlo0VFllQ3pZOVVUSFVJUEZZLThRRDA3WXBWODBoR2F6Mmp6VlhDWmh6emoyQ2tlakY0Q3VyaTlhcHJDeEs3SDRhbzRiX0tWSFh0SUVsaTNhdVpsSjJyU1Q3YUVUWjhsNWNOUXJfYTVMRGJJQ2F3MlQ4NA?oc=5
