scrip,company,headline,summary,published_date,source,url
TNPETRO,Tamilnadu PetroProducts Limited,Is Tamilnadu Petroproducts Limited's (NSE:TNPETRO) Stock Price Struggling As A Result Of Its Mixed Financials? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxOSVpxQnZEMzhFMVk4UGI4b3hoQ1NyTmtMbW5aSnA3d29KbW9kU3IzRkEyb1ZncHRyWENjVE1tWnpDWkd0ZF96Ny1GcEtQYkkyTDMyeVRNRzVmQUE1TmYzTUNJNy1MT2cxdDZNNWd0TlhKVHhwLWh6MEtLcDB0SmRTbnZpZ0h4Wjd4ZXdra0J1RGlzWGVVWU5Wd0pySjAzdFpvc1RFcnhrWTRkUmdwbDdOYkZqei1fMXIxWnlKdWsyUE16R2ZVcUZhR040NHJmRUs1V0xPYVA4dzFpd2xWVUJNU1dCMWQ?oc=5"" target=""_blank"">Is Tamilnadu Petroproducts Limited's (NSE:TNPETRO) Stock Price Struggling As A Result Of Its Mixed Financials?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-12 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOSVpxQnZEMzhFMVk4UGI4b3hoQ1NyTmtMbW5aSnA3d29KbW9kU3IzRkEyb1ZncHRyWENjVE1tWnpDWkd0ZF96Ny1GcEtQYkkyTDMyeVRNRzVmQUE1TmYzTUNJNy1MT2cxdDZNNWd0TlhKVHhwLWh6MEtLcDB0SmRTbnZpZ0h4Wjd4ZXdra0J1RGlzWGVVWU5Wd0pySjAzdFpvc1RFcnhrWTRkUmdwbDdOYkZqei1fMXIxWnlKdWsyUE16R2ZVcUZhR040NHJmRUs1V0xPYVA4dzFpd2xWVUJNU1dCMWQ?oc=5
TNPETRO,Tamilnadu PetroProducts Limited,We Believe Tamilnadu Petroproducts' (NSE:TNPETRO) Earnings Are A Poor Guide For Its Profitability - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQYkZiMElWRzNlQ1ZzZktsbktwRzFXclFVdGdBT3dQcUZoNEg4dmMwRG16RFVjdVN4aklxZjhsRjNGZkRCa016emYzbTYxQW83VUxaYVlDd1oxVlRPUnhRWXdDSXl0bEtwME1zaHJwT3ZJbDVLVGtrYVR1dG1ycGlxSVdDX0tPRmZzM29pUGtnQThQMnhjSXAtX0dXamhsUUUwU09DeEVMc0Z5bXpJMEZjVjA2NzJPdlNuNG1ITXBDRTNIazlYbWQ0eEtIUFE4RjFKeEx4c250ckxvUGhhQlRFbDlDeFo?oc=5"" target=""_blank"">We Believe Tamilnadu Petroproducts' (NSE:TNPETRO) Earnings Are A Poor Guide For Its Profitability</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-19 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQYkZiMElWRzNlQ1ZzZktsbktwRzFXclFVdGdBT3dQcUZoNEg4dmMwRG16RFVjdVN4aklxZjhsRjNGZkRCa016emYzbTYxQW83VUxaYVlDd1oxVlRPUnhRWXdDSXl0bEtwME1zaHJwT3ZJbDVLVGtrYVR1dG1ycGlxSVdDX0tPRmZzM29pUGtnQThQMnhjSXAtX0dXamhsUUUwU09DeEVMc0Z5bXpJMEZjVjA2NzJPdlNuNG1ITXBDRTNIazlYbWQ0eEtIUFE4RjFKeEx4c250ckxvUGhhQlRFbDlDeFo?oc=5
TNPETRO,Tamilnadu PetroProducts Limited,"Despite the downward trend in earnings at Tamilnadu Petroproducts (NSE:TNPETRO) the stock spikes 11%, bringing five-year gains to 223% - simplywall.st","<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNU2M5akdDcHJ6UnNaM1lNRzRQemRCLUZzeGZnY2hJVVc0YU9tN1ZtalljTDBvdkNnaGFUcHBsMzNWNWJ5ZVdHMFFnRjJia1hLU3NqcEVfTGxfaFFtQlhpOW9taU9WUWxrc1luZ2Y3djZHbFhTZ24xSnZTR01Gc3BjOWtjY1ZwamtQeUhUUk8zQVpkSFl4NVlqbm5pU1gtd25Qakl5Rl90bE1EYWxTdTVocW40U1NtaU5EQlRpWEYxR194ckJBa0JRSmRjYUJJQ0Z0bjdyZzhIUS1mcjZ3Q3JmZ3cxYlPSAeoBQVVfeXFMTld1SVdwYm9xbERYQmdjQlp0MVlJSHd2bGIydThiUl9wRWp5S01QbVNxVm9KNlFTeG9vV3VvUEFoM0hCSER0SEpYVDlZc250RHBBa0N4MFc5QTFZSmZweU5UdVVSU3JRVENsYTZPWW1tejB5aThfNm9mYWVCLWtKQUdGT3Y4c3FHc25JOTROT2xKenBfaEd6czJQb192UHRBZGJsYVh0ZEJDTU9HTU41Y3prZEUwc1B2ZzBHenFONnY4XzU2Q3lTMHVXNEl3b3RZeWdHODl6aldVZWx5NnJSQlhNd0Z1Q3ZQRUJB?oc=5"" target=""_blank"">Despite the downward trend in earnings at Tamilnadu Petroproducts (NSE:TNPETRO) the stock spikes 11%, bringing five-year gains to 223%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-01 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNU2M5akdDcHJ6UnNaM1lNRzRQemRCLUZzeGZnY2hJVVc0YU9tN1ZtalljTDBvdkNnaGFUcHBsMzNWNWJ5ZVdHMFFnRjJia1hLU3NqcEVfTGxfaFFtQlhpOW9taU9WUWxrc1luZ2Y3djZHbFhTZ24xSnZTR01Gc3BjOWtjY1ZwamtQeUhUUk8zQVpkSFl4NVlqbm5pU1gtd25Qakl5Rl90bE1EYWxTdTVocW40U1NtaU5EQlRpWEYxR194ckJBa0JRSmRjYUJJQ0Z0bjdyZzhIUS1mcjZ3Q3JmZ3cxYlPSAeoBQVVfeXFMTld1SVdwYm9xbERYQmdjQlp0MVlJSHd2bGIydThiUl9wRWp5S01QbVNxVm9KNlFTeG9vV3VvUEFoM0hCSER0SEpYVDlZc250RHBBa0N4MFc5QTFZSmZweU5UdVVSU3JRVENsYTZPWW1tejB5aThfNm9mYWVCLWtKQUdGT3Y4c3FHc25JOTROT2xKenBfaEd6czJQb192UHRBZGJsYVh0ZEJDTU9HTU41Y3prZEUwc1B2ZzBHenFONnY4XzU2Q3lTMHVXNEl3b3RZeWdHODl6aldVZWx5NnJSQlhNd0Z1Q3ZQRUJB?oc=5
TNPETRO,Tamilnadu PetroProducts Limited,Tamilnadu Petroproducts Q2 Results 2026 - Find Tamilnadu Petroproducts Q2 Earnings Result | TNPETRO Q2 results - Mint,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxNbEFjX0dvUDE3QnlvZlF5bW9OVUpfR0hvbksyMU8zdVBiYTVrM09wbTJIQ0x5djA2a0gtNXFidDNqSUthem4wM0pJRnE1LXdkeHRPODVBdVJjVzJaLW1VUy1MaV9tSzZmMXBCc3ZQMDdaajN1M3IxcmpnRWZYM1ZEcFg3ZUZVNWVVNmtvejFONE5ydw?oc=5"" target=""_blank"">Tamilnadu Petroproducts Q2 Results 2026 - Find Tamilnadu Petroproducts Q2 Earnings Result | TNPETRO Q2 results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2023-07-24 14:33:03,Mint,https://news.google.com/rss/articles/CBMikgFBVV95cUxNbEFjX0dvUDE3QnlvZlF5bW9OVUpfR0hvbksyMU8zdVBiYTVrM09wbTJIQ0x5djA2a0gtNXFidDNqSUthem4wM0pJRnE1LXdkeHRPODVBdVJjVzJaLW1VUy1MaV9tSzZmMXBCc3ZQMDdaajN1M3IxcmpnRWZYM1ZEcFg3ZUZVNWVVNmtvejFONE5ydw?oc=5
TNPETRO,Tamilnadu PetroProducts Limited,Tamilnadu Petroproducts Stock Price Forecast. Should You Buy TNPETRO.NS? - StockInvest.us,"<a href=""https://news.google.com/rss/articles/CBMiUEFVX3lxTE1JX2RnbUhSaGxidHpsY1d3SDliTko2SlNkNkVCOG5DdGlsWkRCYkozbGdPeEo3X25ESnF2bU5ZR18tTXZfZzV5TjRvX1dxRlVB?oc=5"" target=""_blank"">Tamilnadu Petroproducts Stock Price Forecast. Should You Buy TNPETRO.NS?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">StockInvest.us</font>",2020-12-15 22:00:46,StockInvest.us,https://news.google.com/rss/articles/CBMiUEFVX3lxTE1JX2RnbUhSaGxidHpsY1d3SDliTko2SlNkNkVCOG5DdGlsWkRCYkozbGdPeEo3X25ESnF2bU5ZR18tTXZfZzV5TjRvX1dxRlVB?oc=5
TNPETRO,Tamilnadu PetroProducts Limited,Tamilnadu Petroproducts Q4 Results 2026 - Find Tamilnadu Petroproducts Q4 Earnings Result | TNPETRO Q4 results - Mint,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxPdVhBRDU0RWdfX25fS0ZIY09wY0VzLXZzT3pFWXljS3FjYkZmRkc2OTlmSzlDQ3czb05udG1OV1ktckh2WmE2Q19XN3VNNEJfQWNNcHBFb2lkYjJoZUN4UEZocy05YjRyejJEcjczYjBBUUJsbTZkanVZd05kdk1sQmhteHhja1gtRURiVktkeTJQQQ?oc=5"" target=""_blank"">Tamilnadu Petroproducts Q4 Results 2026 - Find Tamilnadu Petroproducts Q4 Earnings Result | TNPETRO Q4 results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2023-07-24 21:27:28,Mint,https://news.google.com/rss/articles/CBMikgFBVV95cUxPdVhBRDU0RWdfX25fS0ZIY09wY0VzLXZzT3pFWXljS3FjYkZmRkc2OTlmSzlDQ3czb05udG1OV1ktckh2WmE2Q19XN3VNNEJfQWNNcHBFb2lkYjJoZUN4UEZocy05YjRyejJEcjczYjBBUUJsbTZkanVZd05kdk1sQmhteHhja1gtRURiVktkeTJQQQ?oc=5
TNPETRO,Tamilnadu PetroProducts Limited,Tamilnadu Petroproducts Q1 Results 2026 - Find Tamilnadu Petroproducts Q1 Earnings Result | TNPETRO Q1 results - Mint,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxNQzN4UmlXVjNsLWVKM3F3WDhFZEZHQU1SRi16eHYyMEZwN1dZQ2IzQzBkVmU4S3o0VzRzZF96dVR6dUR0TjlMZ285ZW11WDMzTTVDdGxzRGZGYm51WUxCVHZYcjRZbk1BUHAzbXM4YlBERzZnXzU0OUNsOEd2ZmhhRnAwZXM4YkRUZGdFc2U4TkVhUQ?oc=5"" target=""_blank"">Tamilnadu Petroproducts Q1 Results 2026 - Find Tamilnadu Petroproducts Q1 Earnings Result | TNPETRO Q1 results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2023-07-24 23:22:46,Mint,https://news.google.com/rss/articles/CBMikgFBVV95cUxNQzN4UmlXVjNsLWVKM3F3WDhFZEZHQU1SRi16eHYyMEZwN1dZQ2IzQzBkVmU4S3o0VzRzZF96dVR6dUR0TjlMZ285ZW11WDMzTTVDdGxzRGZGYm51WUxCVHZYcjRZbk1BUHAzbXM4YlBERzZnXzU0OUNsOEd2ZmhhRnAwZXM4YkRUZGdFc2U4TkVhUQ?oc=5
TNPETRO,Tamilnadu PetroProducts Limited,"Tamilnadu Petro Consolidated December 2025 Net Sales at Rs 421.29 crore, down 8.47% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQSEs3dVJBQnZzM0F5VmtzTFNocVhiTDdKRDYtaWNRQXNpSjJKTTNkVldlbXQtX09ZX2ZLZEJUSUo3cTFmU0hXWlBXYlp2bDM0TVVJTnNLWVF0ZlZGZW45MHpRbUwyYTlBYjVGVVR6VHdXZ3RtMWllY3Z2a1RqemY1NUdlSzlPeXUxNkg0dWo3LUxHaFpDQkNxWnFmV3dpS1dmMU54ZEs5elN1cV9uaFJMR1k2aTVEdERWX2dKVHJNeWpEZXBiUThtOG5HbV9UdTBqZVZuWk1IUHlWaDR6NkdCQTNONHhzSEdQ0gHuAUFVX3lxTE16LTRIWFlFcW9fN1ZvdmpGSmQ3OHdPNkhpN0s0V1dadi1Rc0JGTHlCczE4aHMzWFgza2tZM0M1Ukw4WVB4a09ERExqdk94djRMVVZEX28wSllKdDRDQkxJMmVmVTdRZnBVTkJoaFg5YURkQkpvSGx4dklNNmN1RkJRM085b2w4T1RNMUlYaWtYRmFNVmFpVGQwTkdVWlAyQTUxT3hFUF9CaEFZMkJpMi1EVkRpV0hUNUFTWVh0OTdhN3ZNcmVrVWk2YndMTm15V2hEUUFGYnE2XzRqR2h0WGdIMzFGN0NEdk1SN2dqdlE?oc=5"" target=""_blank"">Tamilnadu Petro Consolidated December 2025 Net Sales at Rs 421.29 crore, down 8.47% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-10 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQSEs3dVJBQnZzM0F5VmtzTFNocVhiTDdKRDYtaWNRQXNpSjJKTTNkVldlbXQtX09ZX2ZLZEJUSUo3cTFmU0hXWlBXYlp2bDM0TVVJTnNLWVF0ZlZGZW45MHpRbUwyYTlBYjVGVVR6VHdXZ3RtMWllY3Z2a1RqemY1NUdlSzlPeXUxNkg0dWo3LUxHaFpDQkNxWnFmV3dpS1dmMU54ZEs5elN1cV9uaFJMR1k2aTVEdERWX2dKVHJNeWpEZXBiUThtOG5HbV9UdTBqZVZuWk1IUHlWaDR6NkdCQTNONHhzSEdQ0gHuAUFVX3lxTE16LTRIWFlFcW9fN1ZvdmpGSmQ3OHdPNkhpN0s0V1dadi1Rc0JGTHlCczE4aHMzWFgza2tZM0M1Ukw4WVB4a09ERExqdk94djRMVVZEX28wSllKdDRDQkxJMmVmVTdRZnBVTkJoaFg5YURkQkpvSGx4dklNNmN1RkJRM085b2w4T1RNMUlYaWtYRmFNVmFpVGQwTkdVWlAyQTUxT3hFUF9CaEFZMkJpMi1EVkRpV0hUNUFTWVh0OTdhN3ZNcmVrVWk2YndMTm15V2hEUUFGYnE2XzRqR2h0WGdIMzFGN0NEdk1SN2dqdlE?oc=5
TNPETRO,Tamilnadu PetroProducts Limited,Tamilnadu Petroproducts Receives Credit Rating Reaffirmation from CARE for Enhanced Bank Facilities - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOSkpEOWt5Q1IzM1J1QjdLSUM4T3hWMGZDUXpqNjdleGN4ZkFGVGR0M2dMQkx5U1dLWENzOGhMTzhjbmNUSFhCeUQwU19NMENqWVR2N2JjYThFTGU5TTEzZFdsMVBtUWQ4MG1Eb2FhaTFjTG03VzUtZlktajJTcTN6SWo0VEZwTF9TcHNsMUN5RUU1dDhkTXVIM2t0eUdWbFI0NzRRckJNcEkxQ3U1bVd0eHlONHNhUXhsU2NzQVpKVVdtSjBOUkh6Q21LQVU?oc=5"" target=""_blank"">Tamilnadu Petroproducts Receives Credit Rating Reaffirmation from CARE for Enhanced Bank Facilities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-12-22 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMizAFBVV95cUxOSkpEOWt5Q1IzM1J1QjdLSUM4T3hWMGZDUXpqNjdleGN4ZkFGVGR0M2dMQkx5U1dLWENzOGhMTzhjbmNUSFhCeUQwU19NMENqWVR2N2JjYThFTGU5TTEzZFdsMVBtUWQ4MG1Eb2FhaTFjTG03VzUtZlktajJTcTN6SWo0VEZwTF9TcHNsMUN5RUU1dDhkTXVIM2t0eUdWbFI0NzRRckJNcEkxQ3U1bVd0eHlONHNhUXhsU2NzQVpKVVdtSjBOUkh6Q21LQVU?oc=5
TNPETRO,Tamilnadu PetroProducts Limited,Tamilnadu Petroproducts Set For Breakout? SEBI Analyst Sees ₹200 Potential If Sector Turns - Stocktwits,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxNbnNNN2R3MHBsaDhlNmVIeFR3QVBNZ3RnTW5KZnE5M28xS3FBYXFJUnpHdHNuZHlwZl9RblhFTnpKZFVhRUJwVERockRZWHIweXAtYzFVYUtnRHNaVmRhYkpqa25xNXN1LXpVUVlUUTgyNGcwMk1nbHFYSTNDOWoxRzRRZ3ExdVlXZVFOTFczMmxGVkN2R0dBVDdxZTFnVkNDV0ZGbFJPTVZjaHgtaS1pTXdiMExDOU9LaWkxZ0VGQ1lBd1A0Rk8tVjFOaVBYaENnTkRxMHBYajhNcEpLbXZTM0x4SEJVem8?oc=5"" target=""_blank"">Tamilnadu Petroproducts Set For Breakout? SEBI Analyst Sees ₹200 Potential If Sector Turns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Stocktwits</font>",2025-08-24 07:00:00,Stocktwits,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNbnNNN2R3MHBsaDhlNmVIeFR3QVBNZ3RnTW5KZnE5M28xS3FBYXFJUnpHdHNuZHlwZl9RblhFTnpKZFVhRUJwVERockRZWHIweXAtYzFVYUtnRHNaVmRhYkpqa25xNXN1LXpVUVlUUTgyNGcwMk1nbHFYSTNDOWoxRzRRZ3ExdVlXZVFOTFczMmxGVkN2R0dBVDdxZTFnVkNDV0ZGbFJPTVZjaHgtaS1pTXdiMExDOU9LaWkxZ0VGQ1lBd1A0Rk8tVjFOaVBYaENnTkRxMHBYajhNcEpLbXZTM0x4SEJVem8?oc=5
