scrip,company,headline,summary,published_date,source,url
TRIDENT,Trident Limited,Trident Limited (NSE:TRIDENT) Analysts Are Cutting Their Estimates: Here's What You Need To Know - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPNDVTR0VxVGhHSF93UVVUNnJDNGpsY0ZBVl80QUp3R2MtMGkwZXZsZ01LZlNKclZQU0ZLX0xIZG5jcTVKU1VDTXFzLW1iN0JzMzE5a1pxRzU3T3AwUHVmYVF5cUt3NEZfb2ZqQ1RsdUt6aFZBMHRxWlVidldld2hyNmhCTnNTVnZCZ0RrZzRHTUctRlByRlRCQzgxazZLS1hfV2hOUlNjdTAyRTE0enhnaVk1bE40WEVzOUs5UEd1R0pLRUZKeW84LUMtUDJvUDNuWk9RN211YUtlZ9IB3wFBVV95cUxPZ0tOWlNCTUpZOGtIZDVSc3FYc3VKZW1rOHdWZXFzN1ZMUS03c3U0czduUTRCM2dmZERYOC1IMDhiZFhsZ21hRW9ObXV6djBmcTFYdi1CVUwtV2Z4WFNGNlZyLUJKTlVMY1JIelRUemhROENhX1d1U01NZllWUndpMUZGY3JQMnRva2JPZDIyYndKZy1PTVA0dGZMOUQycVlTYUotSzNWeHlWbFlHSGZQVExLRTdEc2Nnc1d2bzdkRkdTTl9LajZqYTVEcWlwNUZnNFFQekkwdDRvT1lIQUFv?oc=5"" target=""_blank"">Trident Limited (NSE:TRIDENT) Analysts Are Cutting Their Estimates: Here's What You Need To Know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-13 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPNDVTR0VxVGhHSF93UVVUNnJDNGpsY0ZBVl80QUp3R2MtMGkwZXZsZ01LZlNKclZQU0ZLX0xIZG5jcTVKU1VDTXFzLW1iN0JzMzE5a1pxRzU3T3AwUHVmYVF5cUt3NEZfb2ZqQ1RsdUt6aFZBMHRxWlVidldld2hyNmhCTnNTVnZCZ0RrZzRHTUctRlByRlRCQzgxazZLS1hfV2hOUlNjdTAyRTE0enhnaVk1bE40WEVzOUs5UEd1R0pLRUZKeW84LUMtUDJvUDNuWk9RN211YUtlZ9IB3wFBVV95cUxPZ0tOWlNCTUpZOGtIZDVSc3FYc3VKZW1rOHdWZXFzN1ZMUS03c3U0czduUTRCM2dmZERYOC1IMDhiZFhsZ21hRW9ObXV6djBmcTFYdi1CVUwtV2Z4WFNGNlZyLUJKTlVMY1JIelRUemhROENhX1d1U01NZllWUndpMUZGY3JQMnRva2JPZDIyYndKZy1PTVA0dGZMOUQycVlTYUotSzNWeHlWbFlHSGZQVExLRTdEc2Nnc1d2bzdkRkdTTl9LajZqYTVEcWlwNUZnNFFQekkwdDRvT1lIQUFv?oc=5
TRIDENT,Trident Limited,Trident Limited Achieves 16-Point Jump in S&P Global CSA Score to 72 - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQeURRb25UMkhsd2FqMlFGeDZEZzJncHpCR3Y4bWltejdiaFh4bncxeTJYb1ZMak9HZ2FpUmZpaDE1SVBNTWFLa3l0SjViSFlhRG5zMUdWVXFFU0ZKT3NPX2M1bWQzU3NfODlOOHlrZ1NrcWd3QlRGZDM3R21CZEpCckFPZlo3QXlkdTZld3kyQzJjRFdBNm0tZFc0U3NsV1ZoRGREMXVJdzNvSC04QmpjdUJZaTNVX3BCVE9pdkdpdw?oc=5"" target=""_blank"">Trident Limited Achieves 16-Point Jump in S&amp;P Global CSA Score to 72</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-10 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMivwFBVV95cUxQeURRb25UMkhsd2FqMlFGeDZEZzJncHpCR3Y4bWltejdiaFh4bncxeTJYb1ZMak9HZ2FpUmZpaDE1SVBNTWFLa3l0SjViSFlhRG5zMUdWVXFFU0ZKT3NPX2M1bWQzU3NfODlOOHlrZ1NrcWd3QlRGZDM3R21CZEpCckFPZlo3QXlkdTZld3kyQzJjRFdBNm0tZFc0U3NsV1ZoRGREMXVJdzNvSC04QmpjdUJZaTNVX3BCVE9pdkdpdw?oc=5
TRIDENT,Trident Limited,Trident Invests ₹250 Cr in TGCL; Stock Rises Nearly 4% - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxPMUhCTFJUdVc3aXFaNEk4N2E4amZsYmxjTkhwdkFXNFNHczlZMVpLY1RzbV9LZ3luMWp3ZU5hREdLQ08yUkZqTER5SFQ0X2NGMUVXNHlxMjM1eEZkeFA0Z3pTU0lRVWdodFdzLWhxUkVXaTJscEEyMmx3d0J3cVVyUGd3c05NWFlTcmh3RjRmcWFvQQ?oc=5"" target=""_blank"">Trident Invests ₹250 Cr in TGCL; Stock Rises Nearly 4%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-09-02 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMikgFBVV95cUxPMUhCTFJUdVc3aXFaNEk4N2E4amZsYmxjTkhwdkFXNFNHczlZMVpLY1RzbV9LZ3luMWp3ZU5hREdLQ08yUkZqTER5SFQ0X2NGMUVXNHlxMjM1eEZkeFA0Z3pTU0lRVWdodFdzLWhxUkVXaTJscEEyMmx3d0J3cVVyUGd3c05NWFlTcmh3RjRmcWFvQQ?oc=5
TRIDENT,Trident Limited,"Trident Group announces Rs 2,000-crore expansion in Punjab, check stock reaction - Business Today","<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxNYlZCTjNNdGpEWUtmWmFXQ21Pb3YtUl9vRlRydWg0SWcwRlBMbDc3aUZ6OURtTlEyOFRaYXZ2TjBXQ2pJXzYyczBRc0F6alNPaV8zWl9EZ1FvdVF0WjgzTTNuOURaOVBNSjJqR3ZFOWhZRmNDYm9rX2RRX1Q4QnFYMzgyRGE5VDRZZTVSeFUtRGxmT2NGMXdWb2VXcXNkLTZQbXVBWUR1NVdzTnZ1VVM5V251ZGl3ZnNubC1lUFlpNVg5VERwdzZNU1ZaQWN1TkhNYUhkT0o1THkyU0VOVTlZ0gHkAUFVX3lxTE82TzJhSTBZb0lLc3BGQjRSU2h3bUkzQlhKZFhabTVEc2lrWTVHVXByay1pRlZNalVkcEpKU0ktbGJkMFlZMDYtZU9LOU03cGRaMlZUWGtORERtOGJNYTNGUXlLbExpWktBcmo3OUU2TE9ubXFGUTdzSm8zNnRCYms5eENNT2szLU0yNkVmcnk3YWxTVnRvLW5lWFRNdFJ5OXlHdFRGUHJaemNoNzI1ekZvcUEtYjhXaUpWSlNkMlk1SVVSN0tyamlSc2RWclh6cTlxZnNOOTVsdGZiSUhqRm16WU5uZw?oc=5"" target=""_blank"">Trident Group announces Rs 2,000-crore expansion in Punjab, check stock reaction</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",2025-11-21 08:00:00,Business Today,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNYlZCTjNNdGpEWUtmWmFXQ21Pb3YtUl9vRlRydWg0SWcwRlBMbDc3aUZ6OURtTlEyOFRaYXZ2TjBXQ2pJXzYyczBRc0F6alNPaV8zWl9EZ1FvdVF0WjgzTTNuOURaOVBNSjJqR3ZFOWhZRmNDYm9rX2RRX1Q4QnFYMzgyRGE5VDRZZTVSeFUtRGxmT2NGMXdWb2VXcXNkLTZQbXVBWUR1NVdzTnZ1VVM5V251ZGl3ZnNubC1lUFlpNVg5VERwdzZNU1ZaQWN1TkhNYUhkT0o1THkyU0VOVTlZ0gHkAUFVX3lxTE82TzJhSTBZb0lLc3BGQjRSU2h3bUkzQlhKZFhabTVEc2lrWTVHVXByay1pRlZNalVkcEpKU0ktbGJkMFlZMDYtZU9LOU03cGRaMlZUWGtORERtOGJNYTNGUXlLbExpWktBcmo3OUU2TE9ubXFGUTdzSm8zNnRCYms5eENNT2szLU0yNkVmcnk3YWxTVnRvLW5lWFRNdFJ5OXlHdFRGUHJaemNoNzI1ekZvcUEtYjhXaUpWSlNkMlk1SVVSN0tyamlSc2RWclh6cTlxZnNOOTVsdGZiSUhqRm16WU5uZw?oc=5
TRIDENT,Trident Limited,Trident Limited Responds to BSE Query on Increased Trading Volume - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPQW5iSVJMMmZ6cFNOMVlQVkFDRGttRkl3My1xQkdHbmY5RUtzM2NUcWk0d21OeFhWbUhzcDBMV0ZWckxHUTZmNHpkR0lMV0dKRFF0aFp6d05TR0xubmxmUUV1M0ZGZENBdDdlQzdldGp5Z25pUDNjd09tLTlNbExKdW1qck5hNUVwaE5Gb0xqeTliT194Vm9yT2hlRVpidGc1VG9WSktzOVY4MnFsczdMWU5nX3RtRmpMZ2pz?oc=5"" target=""_blank"">Trident Limited Responds to BSE Query on Increased Trading Volume</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-23 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPQW5iSVJMMmZ6cFNOMVlQVkFDRGttRkl3My1xQkdHbmY5RUtzM2NUcWk0d21OeFhWbUhzcDBMV0ZWckxHUTZmNHpkR0lMV0dKRFF0aFp6d05TR0xubmxmUUV1M0ZGZENBdDdlQzdldGp5Z25pUDNjd09tLTlNbExKdW1qck5hNUVwaE5Gb0xqeTliT194Vm9yT2hlRVpidGc1VG9WSktzOVY4MnFsczdMWU5nX3RtRmpMZ2pz?oc=5
TRIDENT,Trident Limited,Unpleasant Surprises Could Be In Store For Trident Limited's (NSE:TRIDENT) Shares - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxQOFNmaTI0UHhKV2gta0J5WTd3NW1aaEFNNDdVOS1UUkFEVVlwZ3RmOVdXeTMyR2htNGwyTkFjODdtblNRZHpkdkpoYUJyZzRpV1I5c2hvVTVKdjhPZ2NFSFNjdHZ6Y01jem93bnJxdlltbkpIQUdVc0J3STlaeVR6c3F1ckhMVzFpWktKMV9vQ0p1UXVKVllIVjVYeVRCa3JiZVF2bGloeDRCT1plSk9wTDQ3WWJDakxBZng2UjE2b0h3bVFlRUVqUGxBblltT3lDVVhRb1NhblrSAd4BQVVfeXFMTm5RbTZiTDYwd0d5Rkpqblp1ZC1ILWFTS2ppNUtiT3h4S3NOSV9TcVhCNjhfZFZUdDNHYVE2b19McUcyelpyQVV1cGU2N3BEcnBPMm1RbU5kN0FxWDFueEJQTnh4R2FSUVVyVXJWS1hFc0p6TEdXVnN1eXZ1VHNPbzF5NzVPb2xDM1YtQi1EVXl3QkNhbUlKS0dkSnRuYjEwSVU1aGJDRTlZbDNwYi1hY1dPLXljTkp4Q0k3LW4tc1RrcjEzVWNfS1VRWEhPRENzcHR2SF9wSVU0MnBvTEx3?oc=5"" target=""_blank"">Unpleasant Surprises Could Be In Store For Trident Limited's (NSE:TRIDENT) Shares</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-11 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQOFNmaTI0UHhKV2gta0J5WTd3NW1aaEFNNDdVOS1UUkFEVVlwZ3RmOVdXeTMyR2htNGwyTkFjODdtblNRZHpkdkpoYUJyZzRpV1I5c2hvVTVKdjhPZ2NFSFNjdHZ6Y01jem93bnJxdlltbkpIQUdVc0J3STlaeVR6c3F1ckhMVzFpWktKMV9vQ0p1UXVKVllIVjVYeVRCa3JiZVF2bGloeDRCT1plSk9wTDQ3WWJDakxBZng2UjE2b0h3bVFlRUVqUGxBblltT3lDVVhRb1NhblrSAd4BQVVfeXFMTm5RbTZiTDYwd0d5Rkpqblp1ZC1ILWFTS2ppNUtiT3h4S3NOSV9TcVhCNjhfZFZUdDNHYVE2b19McUcyelpyQVV1cGU2N3BEcnBPMm1RbU5kN0FxWDFueEJQTnh4R2FSUVVyVXJWS1hFc0p6TEdXVnN1eXZ1VHNPbzF5NzVPb2xDM1YtQi1EVXl3QkNhbUlKS0dkSnRuYjEwSVU1aGJDRTlZbDNwYi1hY1dPLXljTkp4Q0k3LW4tc1RrcjEzVWNfS1VRWEhPRENzcHR2SF9wSVU0MnBvTEx3?oc=5
TRIDENT,Trident Limited,Trident Ltd Downgraded to Strong Sell Amid Weak Technicals and Financial Trends - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxOTVQta0FVQ2ZFcjM4ak5BTHgteDFrMGpQVFhLdW0waG1TeE9sNkd4c3NRSzRlTVdfMVFOUElRbEl0bEEzZ0NMVDl2enFwdlBlMFNVckxTRHU2ek0xVzdia1MyMFlLaFhFWjlIaUpwdlFBMmE0eDRVNnF1MWVtUzQ3bUltbWtpbFNrUFAzZnIwVGdTc3BUQkdESGcycm13MVQ2ZHVqdUkyWjNYZ2hTd3pWOW5WLUw3TWQxa3ZFZktfR3pDMGJ4YmJQaUZVNUhPUV96Y1NGRmhYOUY?oc=5"" target=""_blank"">Trident Ltd Downgraded to Strong Sell Amid Weak Technicals and Financial Trends</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 03:27:03,Markets Mojo,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOTVQta0FVQ2ZFcjM4ak5BTHgteDFrMGpQVFhLdW0waG1TeE9sNkd4c3NRSzRlTVdfMVFOUElRbEl0bEEzZ0NMVDl2enFwdlBlMFNVckxTRHU2ek0xVzdia1MyMFlLaFhFWjlIaUpwdlFBMmE0eDRVNnF1MWVtUzQ3bUltbWtpbFNrUFAzZnIwVGdTc3BUQkdESGcycm13MVQ2ZHVqdUkyWjNYZ2hTd3pWOW5WLUw3TWQxa3ZFZktfR3pDMGJ4YmJQaUZVNUhPUV96Y1NGRmhYOUY?oc=5
TRIDENT,Trident Limited,Trident Q3 Results: Profit falls as margin contracts; company rejigs subsidiary structure - CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxOWHpXbjd3akJBOERnbExzaDg0VnItQUh5MlREV0RIOFdFc0lhazBCcTIyN0hvZzJyeEwySndjY0txeEtqdTdHbDBlVnlEQnQwbEo4cGY4bHRFUEp3bkpBcWRtclVUdnAxT1poajRkWEJXWkwxRXhWaHpnZ0hGT2lpajQxdHFMbURlN2NGNlBFN3NPbkNobm8ta1hIaHFxOTJuZFM4WFZSV1dwQWxNM2NqWll4aUd5Yk5qUGo3WG9HSWVoenRjc1BEWVQ4VlVQWm9yVWtZ0gHYAUFVX3lxTE9WLVRDTTgzTE93X0RwNjFQWmJQeHh5MmtJNS1KT3QzMkNOTlJZT1RQX1ppemliS1M0MFhkcC14MzBQa3RaaFNQUzFTZmUyZEV6bFNLaldlS1cwbmJIc19Rb3pNbmdoOE5QUElLckZaS3ZOSWtPTHRDUlJQZDRwREYzazBqWWxEU0RkSVk3eVhsM2Z6WlVmRS1ySDU1amgwSlRGN1dERU1DOTRiT2cycFM4VG9MNDdMNGpya0tKZ2hzNmlDSVl4aEQxbnlHTEh6MHJoRU01elZSSA?oc=5"" target=""_blank"">Trident Q3 Results: Profit falls as margin contracts; company rejigs subsidiary structure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",2026-02-09 08:00:00,CNBC TV18,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOWHpXbjd3akJBOERnbExzaDg0VnItQUh5MlREV0RIOFdFc0lhazBCcTIyN0hvZzJyeEwySndjY0txeEtqdTdHbDBlVnlEQnQwbEo4cGY4bHRFUEp3bkpBcWRtclVUdnAxT1poajRkWEJXWkwxRXhWaHpnZ0hGT2lpajQxdHFMbURlN2NGNlBFN3NPbkNobm8ta1hIaHFxOTJuZFM4WFZSV1dwQWxNM2NqWll4aUd5Yk5qUGo3WG9HSWVoenRjc1BEWVQ4VlVQWm9yVWtZ0gHYAUFVX3lxTE9WLVRDTTgzTE93X0RwNjFQWmJQeHh5MmtJNS1KT3QzMkNOTlJZT1RQX1ppemliS1M0MFhkcC14MzBQa3RaaFNQUzFTZmUyZEV6bFNLaldlS1cwbmJIc19Rb3pNbmdoOE5QUElLckZaS3ZOSWtPTHRDUlJQZDRwREYzazBqWWxEU0RkSVk3eVhsM2Z6WlVmRS1ySDU1amgwSlRGN1dERU1DOTRiT2cycFM4VG9MNDdMNGpya0tKZ2hzNmlDSVl4aEQxbnlHTEh6MHJoRU01elZSSA?oc=5
TRIDENT,Trident Limited,"Trident Q1 Profit Jumps 90% to ₹1,400 Cr; ₹500 Cr NCD Plan - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxOcURqTUJBUHRkdW1QR09jMFp4YVNwSU5KNkpTRjRLcFRQMXZSRjlCei1hZ0l5NkFYNUZEYzlpeVJTLUdTMEd1MWtnalp1UEE1RUt4by0wb29zek9XMUhneVhOT09CMFVCZG1NMnRLTXA0azlCNGdMNnRrZlZ0d3BJYWhScnQtWHh6Rll1M1FxdXNkUGVHbEtaaQ?oc=5"" target=""_blank"">Trident Q1 Profit Jumps 90% to ₹1,400 Cr; ₹500 Cr NCD Plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-24 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMimAFBVV95cUxOcURqTUJBUHRkdW1QR09jMFp4YVNwSU5KNkpTRjRLcFRQMXZSRjlCei1hZ0l5NkFYNUZEYzlpeVJTLUdTMEd1MWtnalp1UEE1RUt4by0wb29zek9XMUhneVhOT09CMFVCZG1NMnRLTXA0azlCNGdMNnRrZlZ0d3BJYWhScnQtWHh6Rll1M1FxdXNkUGVHbEtaaQ?oc=5
TRIDENT,Trident Limited,Trident (NSE:TRIDENT) Has A Pretty Healthy Balance Sheet - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNNzgzN0dDMjdhNURIb0IyMndibXlzbXRRd3pOQU5IRDhSeFRGQlo0STRaWFBVMmliU2ZXLVc4Z0FKbk94bXZ2cENRVHd6SzZPT21ESmVwc2dPQTQ0V3VHWnVMUi02TjBkeEx3SkY0X2pLQ2hIOE5mTHJpTVQ1ZVYyRy1RUVNvRjg2em1qVVJWR3Z2ZXlaLUFia1ZGOE5HcmpIcTR4SGZCc1NmRUFWaExUWnFLdmFRMkprSXhxZlNyd0lLb2RUVXIwTWZ5OTFySUNRQkQ00gHYAUFVX3lxTFBCMXpkdEpERk05UlBvUVZIM0p6bFhsMzBNNmxuaHBMRmF5ejR4QjkwTEI5cEw5dHBETDk5d2pQN2YyRGxlbmp3d3BTWE1ScEpneGxyUVl1NV9CTnNETmdnVnFubjI5T044LXljdVRIc3hxNzg5Vm9QdUgyZ2lVVDFOV1ZJclRBc3FheXotLU1aNkplWEFaRnd1WmtsbW1vWFdBQ0RJdlQ2TGNEcTdNT0RGd0kyZzg1RmZmUUNFNE1aVUY5WTZVQjMyeDJEaExwek1JaU8xX0pYdQ?oc=5"" target=""_blank"">Trident (NSE:TRIDENT) Has A Pretty Healthy Balance Sheet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-02-04 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNNzgzN0dDMjdhNURIb0IyMndibXlzbXRRd3pOQU5IRDhSeFRGQlo0STRaWFBVMmliU2ZXLVc4Z0FKbk94bXZ2cENRVHd6SzZPT21ESmVwc2dPQTQ0V3VHWnVMUi02TjBkeEx3SkY0X2pLQ2hIOE5mTHJpTVQ1ZVYyRy1RUVNvRjg2em1qVVJWR3Z2ZXlaLUFia1ZGOE5HcmpIcTR4SGZCc1NmRUFWaExUWnFLdmFRMkprSXhxZlNyd0lLb2RUVXIwTWZ5OTFySUNRQkQ00gHYAUFVX3lxTFBCMXpkdEpERk05UlBvUVZIM0p6bFhsMzBNNmxuaHBMRmF5ejR4QjkwTEI5cEw5dHBETDk5d2pQN2YyRGxlbmp3d3BTWE1ScEpneGxyUVl1NV9CTnNETmdnVnFubjI5T044LXljdVRIc3hxNzg5Vm9QdUgyZ2lVVDFOV1ZJclRBc3FheXotLU1aNkplWEFaRnd1WmtsbW1vWFdBQ0RJdlQ2TGNEcTdNT0RGd0kyZzg1RmZmUUNFNE1aVUY5WTZVQjMyeDJEaExwek1JaU8xX0pYdQ?oc=5
