scrip,company,headline,summary,published_date,source,url
TTKPRESTIG,TTK Prestige Limited,It Might Not Be A Great Idea To Buy TTK Prestige Limited (NSE:TTKPRESTIG) For Its Next Dividend - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQSEdQbG1heWZXUnNGV3VCbGs4MnF0WUNkVG1fTTUyYW1RNE1wbkszS19TX1dWNXhJNk1BaGdMR09LaEtob09pOVJ4MnFlYm9kNTRiaHFRaW53WXBqUnR2MUVfcUFnYVUtZlJPci1hbGlNYmRvcmZXekM0NEsxbVlleUh2dDFOc3p5OW5xLTMyOVdwZ2JaSXFhODN1UnkyOUhiTEw1Z3VsX2plZ3R3bGZVNDlxRktKSFlFMXU3bmxlc1B1NXlyN19yX0pYTVUxQzVob0hyNmhvSUZ1QXJkU1RmN041MErSAeoBQVVfeXFMTTFPS3FaYTlnRjVBSHVEbUxNd1g4WUg3OGw0em5HLVBjcC1vRlFXQVZkZUFwaTNpb3k1OEVSWnAzMF9BWjFFaUIxbDVaMDhZdVB2amhRSXJSVENfX2xtTlIyTEItUGdQQW9Va25jak45ZG1ZVEFYYXdicGhGN0JiR0RKdWI2TDRYaW1XX0NzUzQySlBrd3J4VUNhR3BOT1J5dXROMjgwSzdTZVVOdFFlaXZjek5lYUFUMzJmWUdwZGUxT3lXbXF4eUJvRDltNTBxQVF4RHAyanBRZl91UWtzTURDMHNyR3R5UWd3?oc=5"" target=""_blank"">It Might Not Be A Great Idea To Buy TTK Prestige Limited (NSE:TTKPRESTIG) For Its Next Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-28 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQSEdQbG1heWZXUnNGV3VCbGs4MnF0WUNkVG1fTTUyYW1RNE1wbkszS19TX1dWNXhJNk1BaGdMR09LaEtob09pOVJ4MnFlYm9kNTRiaHFRaW53WXBqUnR2MUVfcUFnYVUtZlJPci1hbGlNYmRvcmZXekM0NEsxbVlleUh2dDFOc3p5OW5xLTMyOVdwZ2JaSXFhODN1UnkyOUhiTEw1Z3VsX2plZ3R3bGZVNDlxRktKSFlFMXU3bmxlc1B1NXlyN19yX0pYTVUxQzVob0hyNmhvSUZ1QXJkU1RmN041MErSAeoBQVVfeXFMTTFPS3FaYTlnRjVBSHVEbUxNd1g4WUg3OGw0em5HLVBjcC1vRlFXQVZkZUFwaTNpb3k1OEVSWnAzMF9BWjFFaUIxbDVaMDhZdVB2amhRSXJSVENfX2xtTlIyTEItUGdQQW9Va25jak45ZG1ZVEFYYXdicGhGN0JiR0RKdWI2TDRYaW1XX0NzUzQySlBrd3J4VUNhR3BOT1J5dXROMjgwSzdTZVVOdFFlaXZjek5lYUFUMzJmWUdwZGUxT3lXbXF4eUJvRDltNTBxQVF4RHAyanBRZl91UWtzTURDMHNyR3R5UWd3?oc=5
TTKPRESTIG,TTK Prestige Limited,TTK Prestige Q2 Profit Up 22%; Stock Jumps 11% - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxOOHREVDdJODREWU42dFZiYkI4cFVJM1JvcEVkNXViLXgtT0JTS3BpdFU1ZERVNGhEX0VWdDM2OWx6Y0VtNmJPOVNGbjhyekRHWV9SZUhOZUU2Rl9fdEdCZDJiYi04R29EMG8xSm94WHEweE16TzRNdEJJMWNCWFVKbF8zSkRSc0NRY25TQkZ6X2Zaczhv?oc=5"" target=""_blank"">TTK Prestige Q2 Profit Up 22%; Stock Jumps 11%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-28 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMilAFBVV95cUxOOHREVDdJODREWU42dFZiYkI4cFVJM1JvcEVkNXViLXgtT0JTS3BpdFU1ZERVNGhEX0VWdDM2OWx6Y0VtNmJPOVNGbjhyekRHWV9SZUhOZUU2Rl9fdEdCZDJiYi04R29EMG8xSm94WHEweE16TzRNdEJJMWNCWFVKbF8zSkRSc0NRY25TQkZ6X2Zaczhv?oc=5
TTKPRESTIG,TTK Prestige Limited,TTKPRESTIG Historical Data - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTFBWSGRnOHphc0o1Z0VyOEJFRllfbnplQTcyekppY2ZUamI3VkNjTVNackw5MTVMeEtISFRISEJBMWk3enRCY252Z1BaTDVlT19GaUJkb3lRc2g1NG1VbzNUWEw1U29TZw?oc=5"" target=""_blank"">TTKPRESTIG Historical Data</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-10-03 03:23:31,Equitypandit,https://news.google.com/rss/articles/CBMiZkFVX3lxTFBWSGRnOHphc0o1Z0VyOEJFRllfbnplQTcyekppY2ZUamI3VkNjTVNackw5MTVMeEtISFRISEJBMWk3enRCY252Z1BaTDVlT19GaUJkb3lRc2g1NG1VbzNUWEw1U29TZw?oc=5
TTKPRESTIG,TTK Prestige Limited,TTK Prestige Sets Aug 1 Record Date for AGM & Dividend - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxPYnB2TEs1d2dlLTB0N1dKaFpOMExuS3dNeW01eEJ0aFMzUFhSZ0tsUGZ4NUxtdG9kSGQ1empoblI5TjJBNXhPTVRqbmJIY0pRRXYyTExlOVVmUVJUSjhRVTNKVklHTXlxbXlIQUJLMVZPYnBOTWpvWW1pcUpjZWdwbWplal9WOWtGek5HMzQ4aXJTQQ?oc=5"" target=""_blank"">TTK Prestige Sets Aug 1 Record Date for AGM & Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-07-15 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMikgFBVV95cUxPYnB2TEs1d2dlLTB0N1dKaFpOMExuS3dNeW01eEJ0aFMzUFhSZ0tsUGZ4NUxtdG9kSGQ1empoblI5TjJBNXhPTVRqbmJIY0pRRXYyTExlOVVmUVJUSjhRVTNKVklHTXlxbXlIQUJLMVZPYnBOTWpvWW1pcUpjZWdwbWplal9WOWtGek5HMzQ4aXJTQQ?oc=5
TTKPRESTIG,TTK Prestige Limited,TTKPRESTIG Share Price | TTK Prestige Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE1lSHJ2Nlo4bjFZSDhta1pUWGlXRmdicGhaUFlDX1pFOUUzMkgxRm4xVlVmVlh6TU5MWjZ4SDVWUTdwa0ZzdE16TWwyc3AtMEdsOXFYME9lbGkxT1Q0ek5SdHpIU3E4Q0ZMNHlBaVRJelBPTVE?oc=5"" target=""_blank"">TTKPRESTIG Share Price | TTK Prestige Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2024-02-24 11:42:13,Markets Mojo,https://news.google.com/rss/articles/CBMic0FVX3lxTE1lSHJ2Nlo4bjFZSDhta1pUWGlXRmdicGhaUFlDX1pFOUUzMkgxRm4xVlVmVlh6TU5MWjZ4SDVWUTdwa0ZzdE16TWwyc3AtMEdsOXFYME9lbGkxT1Q0ek5SdHpIU3E4Q0ZMNHlBaVRJelBPTVE?oc=5
TTKPRESTIG,TTK Prestige Limited,"TTK Prestige Limited Reports Earnings Results for the Third Quarter and Nine Months Ended December 31, 2025 - marketscreener.com","<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQN3d6anBaWGpCTmYxUDhqOEo5N0NkUC1ZQnZJQWV1VldTSWJNNGg4M0sxVG1Ra3VTZlJDMFFoOXMxOXRwUlZ0MWJQajdPcUswWHVqLVZtZW5VcWtNN00tWDY0YmdoZVdNcGpRcWVqWkNnTzU4MW5JZUVRbGF2Z3g3VHBRQVEwZlpEUktYRmFhaWlCbGFvaEx2N3ROVmRrd3NPT0Q0bHIxYjc3TXZLckdRejkteS1KVXowZHRybF9qWWpYclY3cUNEQ2N3OUZWSjZTSUtRUVRwZ0VHUWw5UkJhZVZlSV90ajJ0?oc=5"" target=""_blank"">TTK Prestige Limited Reports Earnings Results for the Third Quarter and Nine Months Ended December 31, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2026-01-29 08:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQN3d6anBaWGpCTmYxUDhqOEo5N0NkUC1ZQnZJQWV1VldTSWJNNGg4M0sxVG1Ra3VTZlJDMFFoOXMxOXRwUlZ0MWJQajdPcUswWHVqLVZtZW5VcWtNN00tWDY0YmdoZVdNcGpRcWVqWkNnTzU4MW5JZUVRbGF2Z3g3VHBRQVEwZlpEUktYRmFhaWlCbGFvaEx2N3ROVmRrd3NPT0Q0bHIxYjc3TXZLckdRejkteS1KVXowZHRybF9qWWpYclY3cUNEQ2N3OUZWSjZTSUtRUVRwZ0VHUWw5UkJhZVZlSV90ajJ0?oc=5
TTKPRESTIG,TTK Prestige Limited,"India's TTK Prestige's quarterly profit drops 44% on higher spends, one-off charge - marketscreener.com","<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQWXlKWFBNZ0dkWGlvckM1a0E4ZUtBanljUWJjMGZkYkI1cEFRYUZabFlNYTBvYndWTEJFX1lBVW9sbTBkcDh1Q0JOUThQVmpkN1Bnd2lqYjYybjdtU2ItQlBuUUJMdnZmZlcyYnNYTEZsNlVUVTV4QkQ5T3FkRmZvbUVsOFkzaGRSbmdFQm5pQnBEQzFtcGtSQ2hHTkdFNGNZRFhySEs0OTdSalpLTlJZRjJMSkpqSmZSQ3FHTEpDaFlIQ2dQdHEteTJoSnRyQQ?oc=5"" target=""_blank"">India's TTK Prestige's quarterly profit drops 44% on higher spends, one-off charge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2026-01-29 08:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxQWXlKWFBNZ0dkWGlvckM1a0E4ZUtBanljUWJjMGZkYkI1cEFRYUZabFlNYTBvYndWTEJFX1lBVW9sbTBkcDh1Q0JOUThQVmpkN1Bnd2lqYjYybjdtU2ItQlBuUUJMdnZmZlcyYnNYTEZsNlVUVTV4QkQ5T3FkRmZvbUVsOFkzaGRSbmdFQm5pQnBEQzFtcGtSQ2hHTkdFNGNZRFhySEs0OTdSalpLTlJZRjJMSkpqSmZSQ3FHTEpDaFlIQ2dQdHEteTJoSnRyQQ?oc=5
TTKPRESTIG,TTK Prestige Limited,TTK Prestige to Review Q1 FY26 Results on July 28 - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxQNHZ1OWRJd1dQSnU1NnlhTWlQc0dZZm5ncmYxODBhb0lHeWhIT2xlekdaZUw1Z1NwQVdRODN3a2hiWDNWWU94dFoyWHJrNmM2SElVclY1R1lIVVlIR2IwRTVTQmd0d1MwcXNvY3ZHVVlYandPX0N1ODJnVExMZEtnTU1PMWFMMkVKRDE0UWcwbHlvb28?oc=5"" target=""_blank"">TTK Prestige to Review Q1 FY26 Results on July 28</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-06-27 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMikwFBVV95cUxQNHZ1OWRJd1dQSnU1NnlhTWlQc0dZZm5ncmYxODBhb0lHeWhIT2xlekdaZUw1Z1NwQVdRODN3a2hiWDNWWU94dFoyWHJrNmM2SElVclY1R1lIVVlIR2IwRTVTQmd0d1MwcXNvY3ZHVVlYandPX0N1ODJnVExMZEtnTU1PMWFMMkVKRDE0UWcwbHlvb28?oc=5
TTKPRESTIG,TTK Prestige Limited,"Ttk Prestige Limited Announces Early Retirement of Chandru Kalro as Managing Director, Effective September 30, 2024 - marketscreener.com","<a href=""https://news.google.com/rss/articles/CBMilAJBVV95cUxPX1NhcE50R1FhZ1JMT1JHZDdSWUdLRE9XRjBhX3hMV2R2VG9maThhT2hnMDVoblk1bWN3aVdIWTViZEJTM0k0cFk3YmFJZEplRHdvUklJM3AtQTFFb2hJNE8wRTA1U3RSVkE4c3locGZfWWl1X3FRUFBRT2lVLVNkVDNNSHFKSjNRcTRSM0FKaXk4XzlhV2VsTmlQYWI1eG5WYVM0dFBBb1BWU004cWdJdHkyYnBLaTVvMzdDTldRZUhsbXdfSVlndjdOR3c0V3AxS3YxbDNnSUpNRU9hcVN0VjMwOUhaaXVKVTBFX3pTSTJGel9MVE9WS0J0Q1ZpSmd1U1F2ZmRNQ2lUS0lpM2ljOVpUZHY?oc=5"" target=""_blank"">Ttk Prestige Limited Announces Early Retirement of Chandru Kalro as Managing Director, Effective September 30, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">marketscreener.com</font>",2024-05-28 07:00:00,marketscreener.com,https://news.google.com/rss/articles/CBMilAJBVV95cUxPX1NhcE50R1FhZ1JMT1JHZDdSWUdLRE9XRjBhX3hMV2R2VG9maThhT2hnMDVoblk1bWN3aVdIWTViZEJTM0k0cFk3YmFJZEplRHdvUklJM3AtQTFFb2hJNE8wRTA1U3RSVkE4c3locGZfWWl1X3FRUFBRT2lVLVNkVDNNSHFKSjNRcTRSM0FKaXk4XzlhV2VsTmlQYWI1eG5WYVM0dFBBb1BWU004cWdJdHkyYnBLaTVvMzdDTldRZUhsbXdfSVlndjdOR3c0V3AxS3YxbDNnSUpNRU9hcVN0VjMwOUhaaXVKVTBFX3pTSTJGel9MVE9WS0J0Q1ZpSmd1U1F2ZmRNQ2lUS0lpM2ljOVpUZHY?oc=5
TTKPRESTIG,TTK Prestige Limited,TTK Prestige shares jump up to 16% as Q2 net profit rises 22% - Moneycontrol.com,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxOWnNqS0N2XzlXeE5SSzZuUmF5ZXpISElqSFhRWUJiWF9qa2tmUlFGLWVlaDluampRYkl2OG5mWTNRdnM3anZQT1BKeVhRWkpjYlNlYVFnaTJVRFpLVnR3TnVSLU1yWmtnMXIxVm13WjJwSllCT2Jsc3lIejZNa0xJckczRTQ4NnNKR0pySDlHWEtIMlpCSkpQUWtra3NMRFg0LW1VUzR0RkhQUElYcklkU3BUc3dxZ3I5YW5pa1UybllqQdIBxwFBVV95cUxNNjBadkRqYUpiQVlQTU0yUk53RFBSNmc3ZXM0MlY1V204NVBKV0VSeXBlekFvUVlkQkQ1RjdxTTZBN2I2SDdjRXN4ZWlwR0hfTnNWZ1VwOUNOTzI5ZDlPYm53S3lMejFpZHJzcWVmXzlPNDd6S0Y0X0RSZFBmaEpUMWtVd1pybUhqZ2NPNnk2WXU5aWFqMGgyS3ptcndEeTg1ZEcyZU5laEhweS1iTWt6OTJnS3hwRjNGSHRGblFLM2VqNk1FbTdV?oc=5"" target=""_blank"">TTK Prestige shares jump up to 16% as Q2 net profit rises 22%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-10-28 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOWnNqS0N2XzlXeE5SSzZuUmF5ZXpISElqSFhRWUJiWF9qa2tmUlFGLWVlaDluampRYkl2OG5mWTNRdnM3anZQT1BKeVhRWkpjYlNlYVFnaTJVRFpLVnR3TnVSLU1yWmtnMXIxVm13WjJwSllCT2Jsc3lIejZNa0xJckczRTQ4NnNKR0pySDlHWEtIMlpCSkpQUWtra3NMRFg0LW1VUzR0RkhQUElYcklkU3BUc3dxZ3I5YW5pa1UybllqQdIBxwFBVV95cUxNNjBadkRqYUpiQVlQTU0yUk53RFBSNmc3ZXM0MlY1V204NVBKV0VSeXBlekFvUVlkQkQ1RjdxTTZBN2I2SDdjRXN4ZWlwR0hfTnNWZ1VwOUNOTzI5ZDlPYm53S3lMejFpZHJzcWVmXzlPNDd6S0Y0X0RSZFBmaEpUMWtVd1pybUhqZ2NPNnk2WXU5aWFqMGgyS3ptcndEeTg1ZEcyZU5laEhweS1iTWt6OTJnS3hwRjNGSHRGblFLM2VqNk1FbTdV?oc=5
