scrip,company,headline,summary,published_date,source,url
UTTAMSUGAR,Uttam Sugar Mills Limited,Uttam Sugar Mills (NSE:UTTAMSUGAR) Has Affirmed Its Dividend Of ₹2.50 - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxNTWZzWmIxVTEtbkZDMVNSNEtObWY0cUZzdVJGZnBJTDBVRHBCeU80MjlDdFQ4MmI1aGNTZVUzMFJSSFNCdHJDOGFLYWhwU0xtV0FjS0ZadlV3ZlRJRnBFRGh5b2N6c1g0NlR3UkFvVzhmTUhVM1BaN3FUT1dXTGpVMlBjR0VKcVZ3bWhRcHF2RlFpUjJ3Smd3MTFGNko1Z0RRNTFUN0IxTkZsR09MZnlYNlBZeUk2Unl5ZjFLenJzU2VmLVpmSlJpUl9BcC0tR0lCN2ZEblQ0MDJzREg3TS1iVTlLS1N2SGY2UWxZZHY1d3E?oc=5"" target=""_blank"">Uttam Sugar Mills (NSE:UTTAMSUGAR) Has Affirmed Its Dividend Of ₹2.50</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-24 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8AFBVV95cUxNTWZzWmIxVTEtbkZDMVNSNEtObWY0cUZzdVJGZnBJTDBVRHBCeU80MjlDdFQ4MmI1aGNTZVUzMFJSSFNCdHJDOGFLYWhwU0xtV0FjS0ZadlV3ZlRJRnBFRGh5b2N6c1g0NlR3UkFvVzhmTUhVM1BaN3FUT1dXTGpVMlBjR0VKcVZ3bWhRcHF2RlFpUjJ3Smd3MTFGNko1Z0RRNTFUN0IxTkZsR09MZnlYNlBZeUk2Unl5ZjFLenJzU2VmLVpmSlJpUl9BcC0tR0lCN2ZEblQ0MDJzREg3TS1iVTlLS1N2SGY2UWxZZHY1d3E?oc=5
UTTAMSUGAR,Uttam Sugar Mills Limited,Uttam Sugar Mills Reports Strong Q2 Turnaround with 10 Crore Rupees Profit - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQdURaWEpFa3otajNoaTZjeWJNQUFEbGlRTGRBTjNIcDhpNmMtVzlQNVBTOVVUcFR5ejN1NjlST0VXY0lyclViR2syMXVOa1RMZzRIcHZmdTZTMllZVFdId3FFQWc2OVNpVUJBbFFQVDdDaUJKT3IxcVBxQVBlRVozWlIzUjBnOGtUUUJEbTdrc3RQMmVERE40aWdaNUtmNVg1ZzlHTzA4cFFwZXBBWUw2emI4YVpzVFZuYmd1bS1maVZYTWdXbGJIczlR?oc=5"" target=""_blank"">Uttam Sugar Mills Reports Strong Q2 Turnaround with 10 Crore Rupees Profit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-13 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiygFBVV95cUxQdURaWEpFa3otajNoaTZjeWJNQUFEbGlRTGRBTjNIcDhpNmMtVzlQNVBTOVVUcFR5ejN1NjlST0VXY0lyclViR2syMXVOa1RMZzRIcHZmdTZTMllZVFdId3FFQWc2OVNpVUJBbFFQVDdDaUJKT3IxcVBxQVBlRVozWlIzUjBnOGtUUUJEbTdrc3RQMmVERE40aWdaNUtmNVg1ZzlHTzA4cFFwZXBBWUw2emI4YVpzVFZuYmd1bS1maVZYTWdXbGJIczlR?oc=5
UTTAMSUGAR,Uttam Sugar Mills Limited,Returns On Capital Signal Tricky Times Ahead For Uttam Sugar Mills (NSE:UTTAMSUGAR) - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxOR18waUd4ejNKUGVIcXZNOHpQOGxVY2NwdUthZTdfejhLS1NrZXlfOEFST3o0cFdkN2hGUUJUaFlMMlFhLVVpUWhWOE9lU1dpb1BiNDU0bHN5R283WEFtOFV4eEs3M18ycE8zSTkwUFVsbTk3NHdUaGh1ZkhzUUhSYUIxVjJZUDJUR0FqTTU5NXhXYU9qNlVkZUtjdzBHZGxQdWlmeXhfcGNzZTY3WnV5dmpBc0ktYjM5MHItYUhJblI0cUJOa094YjV0TnlwbHZYSDNsYTMzaHkxWjl4QWlsQmZUaTRsWDliX2FPVnRRcF8?oc=5"" target=""_blank"">Returns On Capital Signal Tricky Times Ahead For Uttam Sugar Mills (NSE:UTTAMSUGAR)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-12-12 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi8AFBVV95cUxOR18waUd4ejNKUGVIcXZNOHpQOGxVY2NwdUthZTdfejhLS1NrZXlfOEFST3o0cFdkN2hGUUJUaFlMMlFhLVVpUWhWOE9lU1dpb1BiNDU0bHN5R283WEFtOFV4eEs3M18ycE8zSTkwUFVsbTk3NHdUaGh1ZkhzUUhSYUIxVjJZUDJUR0FqTTU5NXhXYU9qNlVkZUtjdzBHZGxQdWlmeXhfcGNzZTY3WnV5dmpBc0ktYjM5MHItYUhJblI0cUJOa094YjV0TnlwbHZYSDNsYTMzaHkxWjl4QWlsQmZUaTRsWDliX2FPVnRRcF8?oc=5
UTTAMSUGAR,Uttam Sugar Mills Limited,Uttam Sugar Mills Adds Preference Share Agenda to February 12 Board Meeting - TipRanks,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQYTJ1UXB1ZHYxdTl2ektKb0pfcTN4eW55WW1HUGhBa2hsd2lTWS14dUdHTHFoMzNvTkpRS3VvbFExeWFKTUxDc1ZEZHFBLWlwYjFXOWFISHFvbDVfelVWR2I1YjUzRDBOZkdYQk4yZjhMSDZMbTNULWlzeXlYRkhLQVhXalpsZGlmUEE2Y1RURWw2S25uTjQtQjJBSEtLbmxmMXdTc1RVLV9iak5qa3pxU0NISERsZkpzTmt2U0N3bUdDNW5nWmc?oc=5"" target=""_blank"">Uttam Sugar Mills Adds Preference Share Agenda to February 12 Board Meeting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TipRanks</font>",2026-02-09 08:00:00,TipRanks,https://news.google.com/rss/articles/CBMixgFBVV95cUxQYTJ1UXB1ZHYxdTl2ektKb0pfcTN4eW55WW1HUGhBa2hsd2lTWS14dUdHTHFoMzNvTkpRS3VvbFExeWFKTUxDc1ZEZHFBLWlwYjFXOWFISHFvbDVfelVWR2I1YjUzRDBOZkdYQk4yZjhMSDZMbTNULWlzeXlYRkhLQVhXalpsZGlmUEE2Y1RURWw2S25uTjQtQjJBSEtLbmxmMXdTc1RVLV9iak5qa3pxU0NISERsZkpzTmt2U0N3bUdDNW5nWmc?oc=5
UTTAMSUGAR,Uttam Sugar Mills Limited,Uttam Sugar Mills Announces Postal Ballot for Extension of Preference Shares Redemption Period - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxOdFBUQVFWTDNxeldOaV9NSk5pRUNUQ21pa05qWEhISGtkdy1mMEhBRTRhelk3LXIyRS1HSVVKdTFDU1VwV21TLWt6REJ0MXgwbDJ0Vk82elN5bXY1WUlwaWdXbmp6VHp2M2ppSlRZTEZpbjlHMzhrZmxKX3oxdGxzMk81T3BicldRdWJibDc1NU5EYkpsUWZxd1pEM211NzJLZEV3TGI2MFBCZ2N3QkVuSldlODgyaThIMEsxUktBY0ZRaDk5MTlDUGNiNEtPeTNLdEE0S3Rxa1NHYVRXazlxTFloWEFVVXlJN0Z1WXV1X08?oc=5"" target=""_blank"">Uttam Sugar Mills Announces Postal Ballot for Extension of Preference Shares Redemption Period</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-17 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi8AFBVV95cUxOdFBUQVFWTDNxeldOaV9NSk5pRUNUQ21pa05qWEhISGtkdy1mMEhBRTRhelk3LXIyRS1HSVVKdTFDU1VwV21TLWt6REJ0MXgwbDJ0Vk82elN5bXY1WUlwaWdXbmp6VHp2M2ppSlRZTEZpbjlHMzhrZmxKX3oxdGxzMk81T3BicldRdWJibDc1NU5EYkpsUWZxd1pEM211NzJLZEV3TGI2MFBCZ2N3QkVuSldlODgyaThIMEsxUktBY0ZRaDk5MTlDUGNiNEtPeTNLdEE0S3Rxa1NHYVRXazlxTFloWEFVVXlJN0Z1WXV1X08?oc=5
UTTAMSUGAR,Uttam Sugar Mills Limited,Uttam Sugar Mills' Subsidiary to Quadruple Distillery Capacity with ₹110 Crore Investment - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQcFdZemVMTzBEa1F6TGxoNVNlMEQzVlZBUlkzLUhKc3RFbnBWTXVoTkRObV9lNU52V1k2Q3RQM2NjcTFsa2w2VWdHVW84TDd1ZVNLLTdZREkxRlJiYWs4OEE3TndYYUNMbzRBTEdyN3lfSGdUUy1yWE4wVjNpUEd1Yjg1bUNBc1c0cHFDaW5McTZjU1I2bU5jTjYtdTR3RnlobWFVNFZyeTVIOWNjcVlnc3hxNU9FX2x1MHN4TmdJNDB3SXlOYlBsR3F5YW83dWJOMXhWMXFHSXQ1a1VMV1Y3WmxtQkxjaDQ?oc=5"" target=""_blank"">Uttam Sugar Mills' Subsidiary to Quadruple Distillery Capacity with ₹110 Crore Investment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-09-29 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQcFdZemVMTzBEa1F6TGxoNVNlMEQzVlZBUlkzLUhKc3RFbnBWTXVoTkRObV9lNU52V1k2Q3RQM2NjcTFsa2w2VWdHVW84TDd1ZVNLLTdZREkxRlJiYWs4OEE3TndYYUNMbzRBTEdyN3lfSGdUUy1yWE4wVjNpUEd1Yjg1bUNBc1c0cHFDaW5McTZjU1I2bU5jTjYtdTR3RnlobWFVNFZyeTVIOWNjcVlnc3hxNU9FX2x1MHN4TmdJNDB3SXlOYlBsR3F5YW83dWJOMXhWMXFHSXQ1a1VMV1Y3WmxtQkxjaDQ?oc=5
UTTAMSUGAR,Uttam Sugar Mills Limited,"Uttam Sugar Standalone September 2025 Net Sales at Rs 559.77 crore, up 45.12% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxOaHhaRWo4MEQ4bVlvR2lxZkQ1M2V2dGlIaExGR2ZQSlNVVTlFX1I4NEJGSVVqZDF2RmRidjE0VGFmZmdWcjV5Xzh6NnBZZWZzYnlZYUl5dFI1VE1pQnpmRWFHcS1GNm9sb0l1dDVRUHFHSjFNYUJ4NlUzMXNrQTlFMDJGLVczUURPMWtqdnpFcE5fMHBGM01icXJrTW4wdnFnSDVicmdCcXpKQ0xZNWQxWXdBR1dUb0RvcDR3bFktRUR0enpueHplWGptMGRSc3dCUzNHLXk0bkIza0xRckdHLdIB5gFBVV95cUxPLVRmNEZ3b1FrbHc1VE91bkRyZGlsV1RESzg3LVNtbXhwX0VXWE5ZN1VyTGZYVGF5WFVVQnNtYUtGXzZYU0tXbE42Q191d3FfQTQzS3JnMWdfRFpvUHZIbng1T3JGZlFXWlJUZmZnVklRNmdIaTRydEFzUTYxYl9zR0NZYWRtci1pa18tbFZSOUJpbHY3dmtySjVpMDNmOEw0aHY1bGpPalVSODB1QUpuUVkzZFFOQ1BwdndLRkd2SFF5bVN0bGViMjE4b3dLYjYtODVhZXFLOHAtdE5LZ3A5UzJzemF3dw?oc=5"" target=""_blank"">Uttam Sugar Standalone September 2025 Net Sales at Rs 559.77 crore, up 45.12% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-11-20 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOaHhaRWo4MEQ4bVlvR2lxZkQ1M2V2dGlIaExGR2ZQSlNVVTlFX1I4NEJGSVVqZDF2RmRidjE0VGFmZmdWcjV5Xzh6NnBZZWZzYnlZYUl5dFI1VE1pQnpmRWFHcS1GNm9sb0l1dDVRUHFHSjFNYUJ4NlUzMXNrQTlFMDJGLVczUURPMWtqdnpFcE5fMHBGM01icXJrTW4wdnFnSDVicmdCcXpKQ0xZNWQxWXdBR1dUb0RvcDR3bFktRUR0enpueHplWGptMGRSc3dCUzNHLXk0bkIza0xRckdHLdIB5gFBVV95cUxPLVRmNEZ3b1FrbHc1VE91bkRyZGlsV1RESzg3LVNtbXhwX0VXWE5ZN1VyTGZYVGF5WFVVQnNtYUtGXzZYU0tXbE42Q191d3FfQTQzS3JnMWdfRFpvUHZIbng1T3JGZlFXWlJUZmZnVklRNmdIaTRydEFzUTYxYl9zR0NZYWRtci1pa18tbFZSOUJpbHY3dmtySjVpMDNmOEw0aHY1bGpPalVSODB1QUpuUVkzZFFOQ1BwdndLRkd2SFF5bVN0bGViMjE4b3dLYjYtODVhZXFLOHAtdE5LZ3A5UzJzemF3dw?oc=5
UTTAMSUGAR,Uttam Sugar Mills Limited,Uttam Sugar Mills - Positive Breakout: These 10 stocks cross above their 200 DMAs - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPVG92bTloZWN1TXFqUkM0WUU0YVlVRmhsZDdPeDZPSkFoRWU0d1RTbTFOQnFfLWptTW1IVXRoeVhCakhva3FrV2tJb0RheUNGZVFWVWQ2bkJHUFhXT0dZU0pqRW1udUtIR1RZb0t6SGZRdWYzbGEwVGhFSUZjeEVWUTUwaTBQSzhEc1VOUmxyV3d3RUtYV1ZQRmJsdXVqcWN5MTdYOGdhb0s2NjE2eDBDOEp4X0VWeDMxVFpDT2lGNUUwdWUtMURRQVBLbkFQUW9PcHFQaTNSdHJ0OHl2cnRsTTlGTS0?oc=5"" target=""_blank"">Uttam Sugar Mills - Positive Breakout: These 10 stocks cross above their 200 DMAs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2025-12-19 08:00:00,The Economic Times,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPVG92bTloZWN1TXFqUkM0WUU0YVlVRmhsZDdPeDZPSkFoRWU0d1RTbTFOQnFfLWptTW1IVXRoeVhCakhva3FrV2tJb0RheUNGZVFWVWQ2bkJHUFhXT0dZU0pqRW1udUtIR1RZb0t6SGZRdWYzbGEwVGhFSUZjeEVWUTUwaTBQSzhEc1VOUmxyV3d3RUtYV1ZQRmJsdXVqcWN5MTdYOGdhb0s2NjE2eDBDOEp4X0VWeDMxVFpDT2lGNUUwdWUtMURRQVBLbkFQUW9PcHFQaTNSdHJ0OHl2cnRsTTlGTS0?oc=5
UTTAMSUGAR,Uttam Sugar Mills Limited,"Uttam Sugar Consolidated September 2025 Net Sales at Rs 581.54 crore, up 45.11% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxOS3J5akVCbDExUjlwTEVoYjN2Y3VEUURnRm5uWGRfVjJNNF92dmxiUkh1UDdPZjJZaFRXeUhnTUdSU2s3WHpGNTA4NUhRZVdmWExHRjBrZ01zY093N1hJTmI1d3c1TTZjN3dJTzU3RVgxN2J6STFMZ3BzcTNUVG5VVkFFaUY1QVdIR3h5ZUQxbzVGTThtLWlydmRhUUlwT3dXdUdUcVJJX1B0Q2NSRzQ0RW5yXy1wLUs0dGpYcEd0MTZoV2ZoaUxaQXNxUEVaY2NlX2ppSVppSTRLODN3VHJ1NnVUVdIB6AFBVV95cUxPMUdfU3QyMi1pWUJLUm1mN1JyNV9PNWhiZUl1WmNJN185Yzg5a0RSWXdtZGlYTjJ4ZUhHYXpheFNMNXctbnZsRUVZVk9tdlpKMDU2WGgzNU8wSTQzeW9ENzEyVXprSGpiRUdsOTA2OEtuN2xBekt0Q0Z6X09JYnRsZ05TSzV5ZC1VN25qNy1FbDNRSkMtWlVKUHFlZWw2R2UwcWh0VURWajF2eFVRTnZmYWFUdk9sdFZnQ3J0V0ZtdUhlczM0NVZmM0U0eUdaLW90Y3BUMHFCaDRRa0FyME9nRm4yVmtLRTNO?oc=5"" target=""_blank"">Uttam Sugar Consolidated September 2025 Net Sales at Rs 581.54 crore, up 45.11% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-11-14 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOS3J5akVCbDExUjlwTEVoYjN2Y3VEUURnRm5uWGRfVjJNNF92dmxiUkh1UDdPZjJZaFRXeUhnTUdSU2s3WHpGNTA4NUhRZVdmWExHRjBrZ01zY093N1hJTmI1d3c1TTZjN3dJTzU3RVgxN2J6STFMZ3BzcTNUVG5VVkFFaUY1QVdIR3h5ZUQxbzVGTThtLWlydmRhUUlwT3dXdUdUcVJJX1B0Q2NSRzQ0RW5yXy1wLUs0dGpYcEd0MTZoV2ZoaUxaQXNxUEVaY2NlX2ppSVppSTRLODN3VHJ1NnVUVdIB6AFBVV95cUxPMUdfU3QyMi1pWUJLUm1mN1JyNV9PNWhiZUl1WmNJN185Yzg5a0RSWXdtZGlYTjJ4ZUhHYXpheFNMNXctbnZsRUVZVk9tdlpKMDU2WGgzNU8wSTQzeW9ENzEyVXprSGpiRUdsOTA2OEtuN2xBekt0Q0Z6X09JYnRsZ05TSzV5ZC1VN25qNy1FbDNRSkMtWlVKUHFlZWw2R2UwcWh0VURWajF2eFVRTnZmYWFUdk9sdFZnQ3J0V0ZtdUhlczM0NVZmM0U0eUdaLW90Y3BUMHFCaDRRa0FyME9nRm4yVmtLRTNO?oc=5
UTTAMSUGAR,Uttam Sugar Mills Limited,"Sugar stocks Balrampur Chini, Sakthi Sugars, Uttam Sugar, EID Parry sweeten, ISMA highlights stable sugar reserves - BusinessLine","<a href=""https://news.google.com/rss/articles/CBMinAJBVV95cUxOWThDY3MzVTZZLTlWTTF1VDJCbHdrSFZjN0xxWi04dVRXc0o2TE5DcmxacGFCQlhoZVZSTFRYVEx1dUNiOHpRRmZyRFBSRkY1bkItd2hzQUhkNWxTamt2LWVBZERkYTd2eWtILWx5RDJiSUdaa1FxN29WUEQ1ckhQaG9xRnVDSng2TWFjNlNpV2dpTHhIRmYzQUtMOVhOVjhqNHpzSVdVZmgwSEhQMm5xdnozc0FIRzJ1X2d6dElOaEpjcWJQR1paSFZHWVo4aGsyWG4yYmY1eWFuaUhZd1JNQjhRYWFQN0s0Z1p2NVNEOEVGYkNySWhWTUxuT0FSYV9jQ3o3alR2RktSY3N3b0tGUEl4Y2pPekFDVnRsVdIBowJBVV95cUxQVzNnZXVoaVJQMFhIUV9pcTFGSTlZanEyazZ6Q1FDV1FpMWtRYW8tWTRUSkhGYnV6MXJRTDRzLVNEaV8xZ0dLY0FlZWl3QXR3Y3pxYm8xUnhUQlNRb2NCQTlMZFRRR2ZOT2ZoMkxVWldBbVlfQWVmZVlLZUYzcGtoT2JkcGtzMkU3b1M1dXUxUUJEYjdwTE9BVHgzSDFsamlGeE12UGNHVVhTUWRQVjRMQWt2aElZanRsRG0yZHkzLTYwUmp6aVhnT1ZFMXdVaU83RTU3M055Wmtjb3ZGdjBGM3VtV2JSc3pwTllMNDJreGpPRFppVDhjVWVWUzFiNEdQVmltUkEzWHhINldKbFNUeG9DQnkyczRla0RJVngxa1pjUUE?oc=5"" target=""_blank"">Sugar stocks Balrampur Chini, Sakthi Sugars, Uttam Sugar, EID Parry sweeten, ISMA highlights stable sugar reserves</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BusinessLine</font>",2025-03-19 07:00:00,BusinessLine,https://news.google.com/rss/articles/CBMinAJBVV95cUxOWThDY3MzVTZZLTlWTTF1VDJCbHdrSFZjN0xxWi04dVRXc0o2TE5DcmxacGFCQlhoZVZSTFRYVEx1dUNiOHpRRmZyRFBSRkY1bkItd2hzQUhkNWxTamt2LWVBZERkYTd2eWtILWx5RDJiSUdaa1FxN29WUEQ1ckhQaG9xRnVDSng2TWFjNlNpV2dpTHhIRmYzQUtMOVhOVjhqNHpzSVdVZmgwSEhQMm5xdnozc0FIRzJ1X2d6dElOaEpjcWJQR1paSFZHWVo4aGsyWG4yYmY1eWFuaUhZd1JNQjhRYWFQN0s0Z1p2NVNEOEVGYkNySWhWTUxuT0FSYV9jQ3o3alR2RktSY3N3b0tGUEl4Y2pPekFDVnRsVdIBowJBVV95cUxQVzNnZXVoaVJQMFhIUV9pcTFGSTlZanEyazZ6Q1FDV1FpMWtRYW8tWTRUSkhGYnV6MXJRTDRzLVNEaV8xZ0dLY0FlZWl3QXR3Y3pxYm8xUnhUQlNRb2NCQTlMZFRRR2ZOT2ZoMkxVWldBbVlfQWVmZVlLZUYzcGtoT2JkcGtzMkU3b1M1dXUxUUJEYjdwTE9BVHgzSDFsamlGeE12UGNHVVhTUWRQVjRMQWt2aElZanRsRG0yZHkzLTYwUmp6aVhnT1ZFMXdVaU83RTU3M055Wmtjb3ZGdjBGM3VtV2JSc3pwTllMNDJreGpPRFppVDhjVWVWUzFiNEdQVmltUkEzWHhINldKbFNUeG9DQnkyczRla0RJVngxa1pjUUE?oc=5
