scrip,company,headline,summary,published_date,source,url
VETO,Veto Switchgears And Cables Limited,Veto Switchgears & Cables Ltd Downgraded to Sell Amid Technical Weakness and Long-Term Growth Concerns - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxNdjBmYmJLU3VROVdpNk9UN0tUcE83ZUtKU1pqeGotNzdpM0g4MTZqcU9tQ0E2bWNKM2tuNklGRmFDOEdpb21WR3kzY3dnRldwcWxncVZpT2duWUFHOHNxQ2tCcS1KZXhGRGNTTGZOS0tVZ0lnQ3FmMEF4QXkzOWIwZExzSzh3LWZUZkRVV0lIYnhfSVpoc0JLMWFkRjVpY3ZCSEZCTk1kbDkyeVlPYWJiZ01BTVNzbGtVbVNEUklhbEVzU05kdmdNbF9oMVlhOGVSbU4tU2ZhQVQycnZlT3oyNkdZcjVlT0hwRnFMOU80cXhiVUct?oc=5"" target=""_blank"">Veto Switchgears & Cables Ltd Downgraded to Sell Amid Technical Weakness and Long-Term Growth Concerns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-26 03:26:57,Markets Mojo,https://news.google.com/rss/articles/CBMi9AFBVV95cUxNdjBmYmJLU3VROVdpNk9UN0tUcE83ZUtKU1pqeGotNzdpM0g4MTZqcU9tQ0E2bWNKM2tuNklGRmFDOEdpb21WR3kzY3dnRldwcWxncVZpT2duWUFHOHNxQ2tCcS1KZXhGRGNTTGZOS0tVZ0lnQ3FmMEF4QXkzOWIwZExzSzh3LWZUZkRVV0lIYnhfSVpoc0JLMWFkRjVpY3ZCSEZCTk1kbDkyeVlPYWJiZ01BTVNzbGtVbVNEUklhbEVzU05kdmdNbF9oMVlhOGVSbU4tU2ZhQVQycnZlT3oyNkdZcjVlT0hwRnFMOU80cXhiVUct?oc=5
VETO,Veto Switchgears And Cables Limited,Veto Switchgears & Cables Ltd - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTE1YblFfX0llYWM4b241US16SV84N3JnZm5MaUVwOGduX190dm5KSG5QeU5VUEp4TUgtYTRPenZfN2pWem1xazJHVTE5WGROSU9WbnpPc29fNXhHZGVWV1E?oc=5"" target=""_blank"">Veto Switchgears & Cables Ltd</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2026-02-20 08:55:09,Equitypandit,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1YblFfX0llYWM4b241US16SV84N3JnZm5MaUVwOGduX190dm5KSG5QeU5VUEp4TUgtYTRPenZfN2pWem1xazJHVTE5WGROSU9WbnpPc29fNXhHZGVWV1E?oc=5
VETO,Veto Switchgears And Cables Limited,Veto Switchgears Gains 5% as Board Sets Dividend Record Date - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE44UWVDQ2U5eVZDdHFZV2R2alRzUXp5YjIwbFdNd0tQc2J2b0dub1pWa3pzZ1V5ZG9XUXAwMEN5TTNlUm9xZTZyRjNTQnU1OWZydGZMUDdnUEJ3dTVhUjRqZW9XYUtUMnRzTjdFbmZIakRGU3VrbG1aV1ln?oc=5"" target=""_blank"">Veto Switchgears Gains 5% as Board Sets Dividend Record Date</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-09-18 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiekFVX3lxTE44UWVDQ2U5eVZDdHFZV2R2alRzUXp5YjIwbFdNd0tQc2J2b0dub1pWa3pzZ1V5ZG9XUXAwMEN5TTNlUm9xZTZyRjNTQnU1OWZydGZMUDdnUEJ3dTVhUjRqZW9XYUtUMnRzTjdFbmZIakRGU3VrbG1aV1ln?oc=5
VETO,Veto Switchgears And Cables Limited,Veto Switchgears and Cables Limited's (NSE:VETO) Business And Shares Still Trailing The Market - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxNMmNfbnVXaXBQZG52bkEzX1Juc3pGUU0taGdtblJfRWVxOXRrcXY2UTFMb0thQkhteVZwZlZFQUlMUHBVQ0tIeTZxdjdfT2oyUGxBd2hGXy1OT1J5MHU1SWx2b0hSaEZfcjBpUU9RaFYzVDloZW41ZFgxQkprQ29WZGwtR2NqU19vNS1tNlpXaDQ0UjBzS0tGXzRiUzhpVXhOY1JmN0RUUDdJU2Y4dEVBcFF0b1JQN19CbFdxVUcxZW5kY1RJMXpqemRlZEgyaXJlUnc2NVRfUFhtQmpPeklmeVZRUnE4bFJpRkNn0gHwAUFVX3lxTE84LTNYMzVZVV9VM285YmZHVTZBVUZ4blRBRkJrNlJYWXppdmZzVnd6aXhRa2ZRSFhzUEdlbGlTdG5XbFFPazdzbmxIWjFqdmh3R0RwdlQ2M3c4Z05KM1VuRDVFWTd2bmtYMjhQMTFkd0VGa1FCenNGNTNkU0xDSzlrVVg0aTBJOTBUY2JWc19DbjJISmVrOU51SnV1ZExCankxRWNtb19ZVHpYekRudkcya25Gcl9GMjJRZzNFX1pkVGlpc3NjbWlxTy1kUXlrU0xSSzRxVGM0MFR5UzhxaDdXVENqczdPOGNidVFKMGowRw?oc=5"" target=""_blank"">Veto Switchgears and Cables Limited's (NSE:VETO) Business And Shares Still Trailing The Market</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-18 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNMmNfbnVXaXBQZG52bkEzX1Juc3pGUU0taGdtblJfRWVxOXRrcXY2UTFMb0thQkhteVZwZlZFQUlMUHBVQ0tIeTZxdjdfT2oyUGxBd2hGXy1OT1J5MHU1SWx2b0hSaEZfcjBpUU9RaFYzVDloZW41ZFgxQkprQ29WZGwtR2NqU19vNS1tNlpXaDQ0UjBzS0tGXzRiUzhpVXhOY1JmN0RUUDdJU2Y4dEVBcFF0b1JQN19CbFdxVUcxZW5kY1RJMXpqemRlZEgyaXJlUnc2NVRfUFhtQmpPeklmeVZRUnE4bFJpRkNn0gHwAUFVX3lxTE84LTNYMzVZVV9VM285YmZHVTZBVUZ4blRBRkJrNlJYWXppdmZzVnd6aXhRa2ZRSFhzUEdlbGlTdG5XbFFPazdzbmxIWjFqdmh3R0RwdlQ2M3c4Z05KM1VuRDVFWTd2bmtYMjhQMTFkd0VGa1FCenNGNTNkU0xDSzlrVVg0aTBJOTBUY2JWc19DbjJISmVrOU51SnV1ZExCankxRWNtb19ZVHpYekRudkcya25Gcl9GMjJRZzNFX1pkVGlpc3NjbWlxTy1kUXlrU0xSSzRxVGM0MFR5UzhxaDdXVENqczdPOGNidVFKMGowRw?oc=5
VETO,Veto Switchgears And Cables Limited,Veto Switchgears & Cables Ltd is Rated Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxORk9Ocm1EaktVVnhGcW1fWnVEN2xhb3BLcWFpNl9seU9GLXF0LUMwV0ZGa3VFTHQ3cGVzSl9xUW1zZjdtMkd3WWVObTQtWWllZWIzaEJ1dElsNTFTVjFSU0FObW1SVjdGYWtJZGkxNy10YnVIOUdOamxvWnJYeFNNMzkxcWRmODhUXy1QV2liMWZEOFZnRVRYcEhpelJmZ1lpRE12RXZB?oc=5"" target=""_blank"">Veto Switchgears & Cables Ltd is Rated Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-19 05:34:27,Markets Mojo,https://news.google.com/rss/articles/CBMipgFBVV95cUxORk9Ocm1EaktVVnhGcW1fWnVEN2xhb3BLcWFpNl9seU9GLXF0LUMwV0ZGa3VFTHQ3cGVzSl9xUW1zZjdtMkd3WWVObTQtWWllZWIzaEJ1dElsNTFTVjFSU0FObW1SVjdGYWtJZGkxNy10YnVIOUdOamxvWnJYeFNNMzkxcWRmODhUXy1QV2liMWZEOFZnRVRYcEhpelJmZ1lpRE12RXZB?oc=5
VETO,Veto Switchgears And Cables Limited,Veto Switchgears Sets September 22 Record Date for Rs. 1 Per Share Dividend - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxPZWp1OGp0UXExUXQ4cUJDREtyNXZDc2tUdEdPSURhTFh0c2Y3cDB1V1EzWnVQNkhPbHBPaFdQbkV5VjhhQkQ3N3YxdWJUbVh6TGo5blBUMW1STDMtY3B0UXl0ZTIzbWlBNzBCcDdTaEZZSm50eVQtSHFtX2tYZ3EyQnVvandmRThYZDZiUUxyVDAyVEhxVkt3azFJWjF5ODZLWWVJT3RZTXRwM2hJVkdBc2I1OU50R3VYNFotWHQ4dnJQdndHd2ZNdUEtdExpOWtrMHlIcVhR?oc=5"" target=""_blank"">Veto Switchgears Sets September 22 Record Date for Rs. 1 Per Share Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-09-12 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPZWp1OGp0UXExUXQ4cUJDREtyNXZDc2tUdEdPSURhTFh0c2Y3cDB1V1EzWnVQNkhPbHBPaFdQbkV5VjhhQkQ3N3YxdWJUbVh6TGo5blBUMW1STDMtY3B0UXl0ZTIzbWlBNzBCcDdTaEZZSm50eVQtSHFtX2tYZ3EyQnVvandmRThYZDZiUUxyVDAyVEhxVkt3azFJWjF5ODZLWWVJT3RZTXRwM2hJVkdBc2I1OU50R3VYNFotWHQ4dnJQdndHd2ZNdUEtdExpOWtrMHlIcVhR?oc=5
VETO,Veto Switchgears And Cables Limited,Veto Switchgears & Cables Ltd Upgraded to Hold on Improved Financial and Technical Metrics - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQSUdEelhpanNTOC1TdGhJZXZGd0czRDV4Rkw2ZDYwbkVKaDFtZTVqS0s2MFhmZTR2VElhRjE2bHpmOWFYRHF1SUI3YlkwaVFLUjM0YXRaeW1UVlpiYWZseE1VUU1fVkFpaDRaTFNIcENGclNmTnc3MGlqSkVxaGdOSTVCazlFYzAtMGRjdmE5VkNCUzJaX2ZkVkJJNWE1NFNvQXZ2bkRXVXJDOVBVNV9xaGtxdURrRm5uN3VyRzdwLTZQQ09FLU1IeU10WW9qNElIN3FoeVBqQXQyZ1BvWGVTVHpwV1c?oc=5"" target=""_blank"">Veto Switchgears & Cables Ltd Upgraded to Hold on Improved Financial and Technical Metrics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-20 03:10:12,Markets Mojo,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQSUdEelhpanNTOC1TdGhJZXZGd0czRDV4Rkw2ZDYwbkVKaDFtZTVqS0s2MFhmZTR2VElhRjE2bHpmOWFYRHF1SUI3YlkwaVFLUjM0YXRaeW1UVlpiYWZseE1VUU1fVkFpaDRaTFNIcENGclNmTnc3MGlqSkVxaGdOSTVCazlFYzAtMGRjdmE5VkNCUzJaX2ZkVkJJNWE1NFNvQXZ2bkRXVXJDOVBVNV9xaGtxdURrRm5uN3VyRzdwLTZQQ09FLU1IeU10WW9qNElIN3FoeVBqQXQyZ1BvWGVTVHpwV1c?oc=5
VETO,Veto Switchgears And Cables Limited,Veto Switchgears Profit Surges Over 67% on Strong Sales Growth - Whalesbook,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxNc1RkTXFJYVREU1djSGNVUWg1VEczVms2Qk53MnlMRG4yWkVITWwwMy1fY29KcVBLVVdXSERsSXhCY0NGZWhxaEE1U2V5dU41NlJyUWJHcGhFck1sZ0d6bWc4czZ1QmlSbjVPVGhUaUhHVjNXSHpXYjZVa3hxeEdBcXRaUUdIOV90c01GVTRlTmtObHlEclRCcXlaNFZlTXV4Z2NRZzlvYmVIZlBrNlZ1MGRlWGhLQ18zcnJqM2pQaDZvbWJjRjhyNFBrdmJZU3RpZFE2R3pPM0lfd1V6Zy1Ydm9jQU90Mlo5ZkRFUVNZTQ?oc=5"" target=""_blank"">Veto Switchgears Profit Surges Over 67% on Strong Sales Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Whalesbook</font>",2026-02-14 08:00:00,Whalesbook,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNc1RkTXFJYVREU1djSGNVUWg1VEczVms2Qk53MnlMRG4yWkVITWwwMy1fY29KcVBLVVdXSERsSXhCY0NGZWhxaEE1U2V5dU41NlJyUWJHcGhFck1sZ0d6bWc4czZ1QmlSbjVPVGhUaUhHVjNXSHpXYjZVa3hxeEdBcXRaUUdIOV90c01GVTRlTmtObHlEclRCcXlaNFZlTXV4Z2NRZzlvYmVIZlBrNlZ1MGRlWGhLQ18zcnJqM2pQaDZvbWJjRjhyNFBrdmJZU3RpZFE2R3pPM0lfd1V6Zy1Ydm9jQU90Mlo5ZkRFUVNZTQ?oc=5
VETO,Veto Switchgears And Cables Limited,Veto Switchgears acquires stake in Vankon Modular - T&D India,"<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTE02eUJRUUF6RjJCVTJvMmx2OFpyb2R5Tk04aENMbmtkOGZKOGZGUnhvM1dFX2hEQ3Y0YV80NGE2dXctZjhQWjc1S2JjeXlsUGhRSXQ0TXRFZHM3eVA0aW1CSHZJczdZMl9UY2JvVEdrMWVhNDRqTFd6WUdiWkzSAYIBQVVfeXFMUF9OQ1d3a21zRWl4WXdCUkYyX2RnZWkyYXNKUGhvaE5DVHV4M2dXM0xma2x2RGtzSzZ4dEhFQzZDN1YxcHB1U1FnSHpSTG1XbW5UOEFzT0d1R2VWUVh3WGJSOFVPTVB1WWo5RHMxTE5JRlc2QVFPWHRjdVpaRlBPZGYzUQ?oc=5"" target=""_blank"">Veto Switchgears acquires stake in Vankon Modular</a>&nbsp;&nbsp;<font color=""#6f6f6f"">T&amp;D India</font>",2020-11-19 08:00:00,T&D India,https://news.google.com/rss/articles/CBMifEFVX3lxTE02eUJRUUF6RjJCVTJvMmx2OFpyb2R5Tk04aENMbmtkOGZKOGZGUnhvM1dFX2hEQ3Y0YV80NGE2dXctZjhQWjc1S2JjeXlsUGhRSXQ0TXRFZHM3eVA0aW1CSHZJczdZMl9UY2JvVEdrMWVhNDRqTFd6WUdiWkzSAYIBQVVfeXFMUF9OQ1d3a21zRWl4WXdCUkYyX2RnZWkyYXNKUGhvaE5DVHV4M2dXM0xma2x2RGtzSzZ4dEhFQzZDN1YxcHB1U1FnSHpSTG1XbW5UOEFzT0d1R2VWUVh3WGJSOFVPTVB1WWo5RHMxTE5JRlc2QVFPWHRjdVpaRlBPZGYzUQ?oc=5
VETO,Veto Switchgears And Cables Limited,"Capsule – 22/12: Lambodhara Textiles, Orchid Pharma, Veto Switchgear Cable! - Capitalmind","<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNb2JCWXZWYU9OeTA4RXJrTDZ3Vm5jUm9pODI1RkhwTXQwUkJ3eVRNcDNuazlCT0tTNkFzNk9yeFhDYmxILTJDS3RpQUFkRERxNk4zZGtoQ0xrN1FJUmlocGdmbVpabXd6amhoRjBIYlZXdGpJRHdSR0UwOU9lNVUyczVva2NsSDk1U2tBVmR5V3NCMmgwVUJ1OXZ1NDJZVlZYMHNiVmR3VURxUV9O?oc=5"" target=""_blank"">Capsule – 22/12: Lambodhara Textiles, Orchid Pharma, Veto Switchgear Cable!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Capitalmind</font>",2015-12-22 08:00:00,Capitalmind,https://news.google.com/rss/articles/CBMirAFBVV95cUxNb2JCWXZWYU9OeTA4RXJrTDZ3Vm5jUm9pODI1RkhwTXQwUkJ3eVRNcDNuazlCT0tTNkFzNk9yeFhDYmxILTJDS3RpQUFkRERxNk4zZGtoQ0xrN1FJUmlocGdmbVpabXd6amhoRjBIYlZXdGpJRHdSR0UwOU9lNVUyczVva2NsSDk1U2tBVmR5V3NCMmgwVUJ1OXZ1NDJZVlZYMHNiVmR3VURxUV9O?oc=5
