scrip,company,headline,summary,published_date,source,url
VHL,Vardhman Holdings Limited,Vardhman Holdings Reports Q3FY26 Results and Completes Regulatory Publication - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxOSVk5ZEtiN0ZxaWxtN09FN0J1LUJkOVdISWNtYy1ma29sQ0dQV0JxMWlVZWQ4S3lLZThLSTYtbTRhcDZGekItd1NtN25oZ3Jmc1FMeGk1dWFDcXZaLVFoeEVBSU5XbUVwVzhxQk1mbE5welk0aE95c0pOem1zcURYdkhxRGhyVGY5OThWSXFYZmdXbnd6MndSc0ctaUJiUl9CYk80aXZuTlhNSHVGX2VGOHRUNjFwdnVVWjdPdEdnVmNVOHZUVS12aF9CYVJUeGdkZk1KZHNCSENWQkVPTlFmekRVZXQyQmhDOUV0Q1NpLUlmZ1U?oc=5"" target=""_blank"">Vardhman Holdings Reports Q3FY26 Results and Completes Regulatory Publication</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-05 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi8wFBVV95cUxOSVk5ZEtiN0ZxaWxtN09FN0J1LUJkOVdISWNtYy1ma29sQ0dQV0JxMWlVZWQ4S3lLZThLSTYtbTRhcDZGekItd1NtN25oZ3Jmc1FMeGk1dWFDcXZaLVFoeEVBSU5XbUVwVzhxQk1mbE5welk0aE95c0pOem1zcURYdkhxRGhyVGY5OThWSXFYZmdXbnd6MndSc0ctaUJiUl9CYk80aXZuTlhNSHVGX2VGOHRUNjFwdnVVWjdPdEdnVmNVOHZUVS12aF9CYVJUeGdkZk1KZHNCSENWQkVPTlFmekRVZXQyQmhDOUV0Q1NpLUlmZ1U?oc=5
VHL,Vardhman Holdings Limited,"Vardhman Holdings' Company Secretary Ankit Singla Resigns, Effective November 17, 2025 - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQQTZQRWxDUWJuWEJhTURIdENxMHN6a0xURVlSd1FYa2dmVllSRkU3dkFZeFZKN082WnQ5dWdlZEpHTDdwY1dHYU1sekRJMVJfOGhiUzdLeVVJeHpsYmZkeWxRWGlmVW5PME5ySDJIdXM3QjBsdndYU0tFMmxjajBuVmJlZjlQMnRJQ2hPMF9kQVhuRFhqY09ONldlZVhxMFV3WmN6V01mUGREdlpiVVMyTlZTX05tRzNOeDRxZEtXeG50MEQ4a2N0d0s0XzVIOE9Ub2ww?oc=5"" target=""_blank"">Vardhman Holdings' Company Secretary Ankit Singla Resigns, Effective November 17, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-17 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQQTZQRWxDUWJuWEJhTURIdENxMHN6a0xURVlSd1FYa2dmVllSRkU3dkFZeFZKN082WnQ5dWdlZEpHTDdwY1dHYU1sekRJMVJfOGhiUzdLeVVJeHpsYmZkeWxRWGlmVW5PME5ySDJIdXM3QjBsdndYU0tFMmxjajBuVmJlZjlQMnRJQ2hPMF9kQVhuRFhqY09ONldlZVhxMFV3WmN6V01mUGREdlpiVVMyTlZTX05tRzNOeDRxZEtXeG50MEQ4a2N0d0s0XzVIOE9Ub2ww?oc=5
VHL,Vardhman Holdings Limited,Vardhman Textiles Limited's (NSE:VTL) Prospects Need A Boost To Lift Shares - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxNSTNGNnlyVHZhQ2FnVGpiUlFmUEdkb3UzM05lRmtlOHRyTmxmQUNKU3pvSjNqVmtMR01wcnhfbWxNTkNxSFpGQXQ1T1QyeE5qV2JRdEczUmJ1Yk15MkhYU1JtSkZKbHdONjBNcjJaY0Naa3kwRlZqejJhbl9vZjc1QWlyamx1ZXFnVGd3VG9YNGllQS1ud1lKelR4OHRZbXB3SWFRcTFTSGtnbHdGNEVaNW5KWmZZeTBySTdEclZCaHJBSl93Y2tyUDBZWG5Ma3lVUlZqU2RsNUxUOUxyNlJzV9IB5gFBVV95cUxPOE1uaWpMNm1GWG5TMEIxRk9PNlBGZUxBTkl0WGpyRGMwMm42aFUxanZDeFdGbzVLVUVlSl9JYU9kMlhnTW8xRXg2WVFaSW1WYTEzY1I5b1ZWc2tWS3ZaNXFMVjVoY0g5M0wxd2pwb2tZaEhnSjl5UUlwVXhCMHJLazFfWDM5N0FueVpQa1ZETXVvUWh2RUNBLXNrMWd6aHpSYmRqWGd1TWp2V0NLcVVySTd6dktkS2dZWWxyS19CZWg5X3hQMFpMeHowZUI1MmxBdzFQV0lZT2FRRXVDWmRrQk90Nk94UQ?oc=5"" target=""_blank"">Vardhman Textiles Limited's (NSE:VTL) Prospects Need A Boost To Lift Shares</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-25 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNSTNGNnlyVHZhQ2FnVGpiUlFmUEdkb3UzM05lRmtlOHRyTmxmQUNKU3pvSjNqVmtMR01wcnhfbWxNTkNxSFpGQXQ1T1QyeE5qV2JRdEczUmJ1Yk15MkhYU1JtSkZKbHdONjBNcjJaY0Naa3kwRlZqejJhbl9vZjc1QWlyamx1ZXFnVGd3VG9YNGllQS1ud1lKelR4OHRZbXB3SWFRcTFTSGtnbHdGNEVaNW5KWmZZeTBySTdEclZCaHJBSl93Y2tyUDBZWG5Ma3lVUlZqU2RsNUxUOUxyNlJzV9IB5gFBVV95cUxPOE1uaWpMNm1GWG5TMEIxRk9PNlBGZUxBTkl0WGpyRGMwMm42aFUxanZDeFdGbzVLVUVlSl9JYU9kMlhnTW8xRXg2WVFaSW1WYTEzY1I5b1ZWc2tWS3ZaNXFMVjVoY0g5M0wxd2pwb2tZaEhnSjl5UUlwVXhCMHJLazFfWDM5N0FueVpQa1ZETXVvUWh2RUNBLXNrMWd6aHpSYmRqWGd1TWp2V0NLcVVySTd6dktkS2dZWWxyS19CZWg5X3hQMFpMeHowZUI1MmxBdzFQV0lZT2FRRXVDWmRrQk90Nk94UQ?oc=5
VHL,Vardhman Holdings Limited,Vardhman Textiles Jumps 11% on Cotton Duty Exemption - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxNMThqbzFRYXpUNWxGYWpDeGFJU0gzUnQtWlJhNXBYU0xtOUpjRk9KSFhFR3FIbXI1aHpTOVBhcHYwUTBVRlU0MjQzM3lLWlpuM1R0VnhPbTJjeWpBWlJFc0hJSGNKaEJ3azNTckZXc0RUTzF1eWtpVHpEZTB5bGFSYW5uYXc?oc=5"" target=""_blank"">Vardhman Textiles Jumps 11% on Cotton Duty Exemption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-08-28 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMihAFBVV95cUxNMThqbzFRYXpUNWxGYWpDeGFJU0gzUnQtWlJhNXBYU0xtOUpjRk9KSFhFR3FIbXI1aHpTOVBhcHYwUTBVRlU0MjQzM3lLWlpuM1R0VnhPbTJjeWpBWlJFc0hJSGNKaEJ3azNTckZXc0RUTzF1eWtpVHpEZTB5bGFSYW5uYXc?oc=5
VHL,Vardhman Holdings Limited,Vardhman Special Steels Q2 FY26: Margin Pressures Weigh on Profitability Despite Revenue Resilience - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxPMXJ1ZExuYVNQWTJMc2JpUDN1WXVFMHBybjhlUS1mbnFkajM5UEFtR1Y0QWwzeUhxbERhWUZyOFQyYmhJR01kQXo0a0RHUmxjMzkydWVhZDk1bm5ybDJMSFZ2dGxkUVVSRlZYanRFY3pzVjVxeHFBY3ZDQk9MZTdBczE2RUNwUFBpeWlpWWFXSUFURk5hUXg0UjJWaGNNSzJzNE44VjNlamNoODQwanNTQ041cDdPVy1KZmtzM1Fta1FpQk1LX1l5aTRveDhQZ0xoakZYdHZNMjhLMDRtTXd6dTluQ2tGYXRNNjRF?oc=5"" target=""_blank"">Vardhman Special Steels Q2 FY26: Margin Pressures Weigh on Profitability Despite Revenue Resilience</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-10-29 07:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPMXJ1ZExuYVNQWTJMc2JpUDN1WXVFMHBybjhlUS1mbnFkajM5UEFtR1Y0QWwzeUhxbERhWUZyOFQyYmhJR01kQXo0a0RHUmxjMzkydWVhZDk1bm5ybDJMSFZ2dGxkUVVSRlZYanRFY3pzVjVxeHFBY3ZDQk9MZTdBczE2RUNwUFBpeWlpWWFXSUFURk5hUXg0UjJWaGNNSzJzNE44VjNlamNoODQwanNTQ041cDdPVy1KZmtzM1Fta1FpQk1LX1l5aTRveDhQZ0xoakZYdHZNMjhLMDRtTXd6dTluQ2tGYXRNNjRF?oc=5
VHL,Vardhman Holdings Limited,Should You Buy Vardhman Textiles Limited (NSE:VTL) For Its Upcoming Dividend? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxOY3RZVG5PT2RBcTdlOS1Gb1NlUkJDaVhIam5ELW1EQUZGZGpHeWRpUFNtSUJ0dmRwM1RDckpTalBaMXY4aGdzYlFIbXc0Nm5STUlNYVBRSTFWNFV1cnhfWTZWTEhRQ1FBQnBmMHJ1Uk94UTc0V0JIVmdxWTBzTV9YazhBNE44MXl1Vk5KQTBjSkx3d2g5d3RLbU9reDE1N3ZLb0NaTng5WC0tbFF0Q0NNdVBDZHl4VEtRV1RkbWFrNXRJaVMyRjNNTWs5cVR2bXJTNWxiSkJEdElsSXU4TVN1cUtn?oc=5"" target=""_blank"">Should You Buy Vardhman Textiles Limited (NSE:VTL) For Its Upcoming Dividend?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-08 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4gFBVV95cUxOY3RZVG5PT2RBcTdlOS1Gb1NlUkJDaVhIam5ELW1EQUZGZGpHeWRpUFNtSUJ0dmRwM1RDckpTalBaMXY4aGdzYlFIbXc0Nm5STUlNYVBRSTFWNFV1cnhfWTZWTEhRQ1FBQnBmMHJ1Uk94UTc0V0JIVmdxWTBzTV9YazhBNE44MXl1Vk5KQTBjSkx3d2g5d3RLbU9reDE1N3ZLb0NaTng5WC0tbFF0Q0NNdVBDZHl4VEtRV1RkbWFrNXRJaVMyRjNNTWs5cVR2bXJTNWxiSkJEdElsSXU4TVN1cUtn?oc=5
VHL,Vardhman Holdings Limited,Vardhman Special Steels' (NSE:VSSL) Anemic Earnings Might Be Worse Than You Think - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQMVNUVmRTVVppODRSNkJNb253Sk9aeC1hX0JySHAwckdLenNmcjhLODJUM3VFVG4xWmU2a1dUdTV1U3VIWjNVSjBUZWM4MFNudW1vcGtDaHFobmhMa3lUZ2hPVjZXdlZsdWhITENURjh3NG8yUVhtOF9FV0ZMOTRMUnhhOUo0XzJOUGlheXhLdFhSV0N4X2U1bHZ4c1ZkdV9yMkhJZTlkT1REZFdwQ1ExbkswSG44Xy1NQlRTYkZPWjFnZ1lLVlcycWVKNl82cy1DYm9iM0ZDU0d4clZ2bW9XVw?oc=5"" target=""_blank"">Vardhman Special Steels' (NSE:VSSL) Anemic Earnings Might Be Worse Than You Think</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-05 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQMVNUVmRTVVppODRSNkJNb253Sk9aeC1hX0JySHAwckdLenNmcjhLODJUM3VFVG4xWmU2a1dUdTV1U3VIWjNVSjBUZWM4MFNudW1vcGtDaHFobmhMa3lUZ2hPVjZXdlZsdWhITENURjh3NG8yUVhtOF9FV0ZMOTRMUnhhOUo0XzJOUGlheXhLdFhSV0N4X2U1bHZ4c1ZkdV9yMkhJZTlkT1REZFdwQ1ExbkswSG44Xy1NQlRTYkZPWjFnZ1lLVlcycWVKNl82cy1DYm9iM0ZDU0d4clZ2bW9XVw?oc=5
VHL,Vardhman Holdings Limited,"Vardhman Hold Consolidated December 2025 Net Sales at Rs 5.76 crore, down 12.33% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxQMFNtdmNWR2tpSUwwSDhSTkZYdXJRaVozblNCeGFINXVjNkpJaWQyWUR5b0UyeVh0UmhhSjlfTkFnT3NCY291cm1ERnNGN015bGZiS2VXT3dmMmZzUm9id2tqdnlkcnlPcFBsellfWmJnci16ckY0TEdER0pkV0ZTRlAxVUNha1R6bWxkRVRZaXZ2WklyLTdpNFZBd05XV1dDSTVNMzVJcFdCUGoxYTBDdnNfTEdmejZleTBfOWxDSFhPUTBBd09TajUxRDU0c2JKTGNjcGlVcW1ZRDh0SVdkYU84QW3SAeoBQVVfeXFMUExSc0F0eXptbERHRlN0UWN6WXJxXzJnLXhNNHRrZW9lNFN6MkJZLTY1Z29kbTMxeW5mbTVBT1hkemtRRGwwOEhpSHBhb3dyYjlXYkxpZ2ROZnA2WjhVRUJNNW5lbV9EcU16bU5lVWJoSkxwT0QxcF9hZXhPNG1aZjdSSkwtRUx4V0dVclJvUUZ5azRQOXZBVTBmQXlQd1ZseWZQUk1FMW1XRHVXdndwenFlMzBxMkpGOFlRUnJGNVhIaURiVmgxMDU1R1FSWGtpVjktT2J4NWVwczJWVDFkaEFDNU9KdnFYdzNB?oc=5"" target=""_blank"">Vardhman Hold Consolidated December 2025 Net Sales at Rs 5.76 crore, down 12.33% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2026-02-20 08:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQMFNtdmNWR2tpSUwwSDhSTkZYdXJRaVozblNCeGFINXVjNkpJaWQyWUR5b0UyeVh0UmhhSjlfTkFnT3NCY291cm1ERnNGN015bGZiS2VXT3dmMmZzUm9id2tqdnlkcnlPcFBsellfWmJnci16ckY0TEdER0pkV0ZTRlAxVUNha1R6bWxkRVRZaXZ2WklyLTdpNFZBd05XV1dDSTVNMzVJcFdCUGoxYTBDdnNfTEdmejZleTBfOWxDSFhPUTBBd09TajUxRDU0c2JKTGNjcGlVcW1ZRDh0SVdkYU84QW3SAeoBQVVfeXFMUExSc0F0eXptbERHRlN0UWN6WXJxXzJnLXhNNHRrZW9lNFN6MkJZLTY1Z29kbTMxeW5mbTVBT1hkemtRRGwwOEhpSHBhb3dyYjlXYkxpZ2ROZnA2WjhVRUJNNW5lbV9EcU16bU5lVWJoSkxwT0QxcF9hZXhPNG1aZjdSSkwtRUx4V0dVclJvUUZ5azRQOXZBVTBmQXlQd1ZseWZQUk1FMW1XRHVXdndwenFlMzBxMkpGOFlRUnJGNVhIaURiVmgxMDU1R1FSWGtpVjktT2J4NWVwczJWVDFkaEFDNU9KdnFYdzNB?oc=5
VHL,Vardhman Holdings Limited,A Look At Vardhman Textiles Limited's (NSE:VTL) Exceptional Fundamentals - Yahoo Finance,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxPTzBDSjRLTW1yVWhjQ0dkZ1BUaWJpS0p6RzFrQVZVakhtVTdWTjFPN0hKMndjcmJLSjZlXzFkNTFYM2NKSk5iYmRUU1BzbEtkbi1wSDBXekw3RW5IcDhPZTVUMEtNb3ZpV3g0VUpOU1BVdEhKX21rbFZTd0FENHg2SERqUUhfRG5W?oc=5"" target=""_blank"">A Look At Vardhman Textiles Limited's (NSE:VTL) Exceptional Fundamentals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font>",2019-05-15 07:00:00,Yahoo Finance,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPTzBDSjRLTW1yVWhjQ0dkZ1BUaWJpS0p6RzFrQVZVakhtVTdWTjFPN0hKMndjcmJLSjZlXzFkNTFYM2NKSk5iYmRUU1BzbEtkbi1wSDBXekw3RW5IcDhPZTVUMEtNb3ZpV3g0VUpOU1BVdEhKX21rbFZTd0FENHg2SERqUUhfRG5W?oc=5
VHL,Vardhman Holdings Limited,Vardhman Polytex Ltd - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE5aNm8wU3cyMERvdlhINE15bXdBMjBEZi1TclpkWTJpcVR0ZlNBdWlNei1vd0ZybW4tZS1qSXhHaVJoVnpLWnFlSnE3TkZ0N2N5Z1F5SXJaZ3FPM1F4T3d4cGtLRjJEUQ?oc=5"" target=""_blank"">Vardhman Polytex Ltd</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-10-08 06:22:43,Equitypandit,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5aNm8wU3cyMERvdlhINE15bXdBMjBEZi1TclpkWTJpcVR0ZlNBdWlNei1vd0ZybW4tZS1qSXhHaVJoVnpLWnFlSnE3TkZ0N2N5Z1F5SXJaZ3FPM1F4T3d4cGtLRjJEUQ?oc=5
