scrip,company,headline,summary,published_date,source,url
VIMTALABS,Vimta Labs Limited,Is Vimta Labs Limited's (NSE:VIMTALABS) Latest Stock Performance A Reflection Of Its Financial Health? - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxONW5vOW1zd19DQXZXSF8wU3BiZjctNlFzMEphc3ZQTEZ1cDhFVkttWENLVzVBMWN3R0c5cTBDeGsxdGMtTXNtWWlsRXpCZ2FaNGk3bWhoNVdqWW5sMWxnUUZqVjRwekxPLXdQSG9YZHRrb3gyTGpMV1RTVmNzUEQ2NGhIMzBRNV9QamdjMmxGRVpXdmtQTFl6b01wLXlzRkFRWHAtRmVTS081eUxXVGhoYUtnUDE3NzZYQms4MHdOSmlOVnJQNlBVVF9WUHB5dVZxUWtSVU5neUVXVnlJX1NDUHFVV3I1N1Rn?oc=5"" target=""_blank"">Is Vimta Labs Limited's (NSE:VIMTALABS) Latest Stock Performance A Reflection Of Its Financial Health?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-09-27 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6AFBVV95cUxONW5vOW1zd19DQXZXSF8wU3BiZjctNlFzMEphc3ZQTEZ1cDhFVkttWENLVzVBMWN3R0c5cTBDeGsxdGMtTXNtWWlsRXpCZ2FaNGk3bWhoNVdqWW5sMWxnUUZqVjRwekxPLXdQSG9YZHRrb3gyTGpMV1RTVmNzUEQ2NGhIMzBRNV9QamdjMmxGRVpXdmtQTFl6b01wLXlzRkFRWHAtRmVTS081eUxXVGhoYUtnUDE3NzZYQms4MHdOSmlOVnJQNlBVVF9WUHB5dVZxUWtSVU5neUVXVnlJX1NDUHFVV3I1N1Rn?oc=5
VIMTALABS,Vimta Labs Limited,Vimta Labs Surges 6% to ₹863; Up 89% in Six Months - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE5yM1hxSFpDeFo5dWp5TnhQY2YxaExVT29ZTzJMcVBpT2V3eGp0bVdhY2FjdUtid09WbmR2YTRPQ3RzTlhHT25YZUx6cFlVNWNiU2dla05sMlZTX3I3TmxjRFZNMWpaTlhDaWY4LTJETzNvdmRZaEE?oc=5"" target=""_blank"">Vimta Labs Surges 6% to ₹863; Up 89% in Six Months</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-09-05 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMidkFVX3lxTE5yM1hxSFpDeFo5dWp5TnhQY2YxaExVT29ZTzJMcVBpT2V3eGp0bVdhY2FjdUtid09WbmR2YTRPQ3RzTlhHT25YZUx6cFlVNWNiU2dla05sMlZTX3I3TmxjRFZNMWpaTlhDaWY4LTJETzNvdmRZaEE?oc=5
VIMTALABS,Vimta Labs Limited,Vimta Labs Limited (NSE:VIMTALABS) May Have Run Too Fast Too Soon With Recent 29% Price Plummet - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxNdFJ4Yzk4YlZqOEdkeEdBVEEwV1FwQmVITHFSY1ZkTWtjZ1BIcVVmMHpUa1J4X1dObGw1VzhhSlFoWVN2Q294ZEtwQy1zTmNxcG9CVlpRbmNhT2xJRzltcE9kenhUcnlOX3p4UjM4b0FBdGpVNXlEemtXenE2dmU3WERjUVp1RGl3dm5rQ0tjN29jYWk5a3lTd1kxbFplcTVQdFh3X2pTS01xczdnSHBHQlFiWTk5MkVDbHc3ZzBnN25Rc0NjN3p5bGdRNWpXYUx5SmsxTU5oSXg5N3kxVEdkdDVnOVJVYy1K0gHuAUFVX3lxTFA4RjZrMG9jZldudGNjVVhMd0I1ZHltcHB3Wkh6cUNENi1IRlBNRXhtcUxERHY2ZEZsaDA2VzNBdHhiNlBRWXNNdVA5V2UtazBlVEd1cmd3aElUS1g1TmpuNldIRDdhMTRrNmQzM29hT1VuZkRHQm1YSVdSYUtyTV92REtJUkRhSXNqM252NGpYMDk0VS0zQnloVTF1aXhUZGtRTXB1aUVla3FKQ1hVZ2VaZ1FUUkEtYlNqbHJqNjBVOTZiSGNTMTRaVjhIbU1kdTZDcm5NSlFTYzNHY2R5RHppcE9feWZCenhLd3pXR0E?oc=5"" target=""_blank"">Vimta Labs Limited (NSE:VIMTALABS) May Have Run Too Fast Too Soon With Recent 29% Price Plummet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2026-01-30 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNdFJ4Yzk4YlZqOEdkeEdBVEEwV1FwQmVITHFSY1ZkTWtjZ1BIcVVmMHpUa1J4X1dObGw1VzhhSlFoWVN2Q294ZEtwQy1zTmNxcG9CVlpRbmNhT2xJRzltcE9kenhUcnlOX3p4UjM4b0FBdGpVNXlEemtXenE2dmU3WERjUVp1RGl3dm5rQ0tjN29jYWk5a3lTd1kxbFplcTVQdFh3X2pTS01xczdnSHBHQlFiWTk5MkVDbHc3ZzBnN25Rc0NjN3p5bGdRNWpXYUx5SmsxTU5oSXg5N3kxVEdkdDVnOVJVYy1K0gHuAUFVX3lxTFA4RjZrMG9jZldudGNjVVhMd0I1ZHltcHB3Wkh6cUNENi1IRlBNRXhtcUxERHY2ZEZsaDA2VzNBdHhiNlBRWXNNdVA5V2UtazBlVEd1cmd3aElUS1g1TmpuNldIRDdhMTRrNmQzM29hT1VuZkRHQm1YSVdSYUtyTV92REtJUkRhSXNqM252NGpYMDk0VS0zQnloVTF1aXhUZGtRTXB1aUVla3FKQ1hVZ2VaZ1FUUkEtYlNqbHJqNjBVOTZiSGNTMTRaVjhIbU1kdTZDcm5NSlFTYzNHY2R5RHppcE9feWZCenhLd3pXR0E?oc=5
VIMTALABS,Vimta Labs Limited,"VIMTALABS: Q3 FY26 net profit was ₹175.86 million, with bonus shares issued and a one-time gratuity expense - TradingView","<a href=""https://news.google.com/rss/articles/CBMilgJBVV95cUxOam9QTENaTlhLN0lDbnlqS3k3ZHR6alQxLTZoX18xbWpTZFBjbDN5b1lqdjNwUUU3Q082THp0Q0trcjNnVWRuWlZiTEdjZlBiV1ItUi1hTS1ETnVtcFpkbDFhYXJySFQwOXVPQVMyQjFtYXhKQXNYQ1ZxakN6MnpwdG8zV0ZTdWg2SVF6dEg5SlpicXMweDV3S1h3S2xEZFg1RFNpQkpCT3VWQTF1YVRsanN2VnZpV2laUXJKRnJKb211dk5hM1J3NzgwTXVQdkU3SjBrcjFKblAwcnlqbXJTdkQ0VDRCekFVeUUtd3ZuQzBnZUZjNkV1eTF2enJneVpOWXJvSDR2WUxlWmxiMFkycWpqQWxmUQ?oc=5"" target=""_blank"">VIMTALABS: Q3 FY26 net profit was ₹175.86 million, with bonus shares issued and a one-time gratuity expense</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2026-01-28 08:00:00,TradingView,https://news.google.com/rss/articles/CBMilgJBVV95cUxOam9QTENaTlhLN0lDbnlqS3k3ZHR6alQxLTZoX18xbWpTZFBjbDN5b1lqdjNwUUU3Q082THp0Q0trcjNnVWRuWlZiTEdjZlBiV1ItUi1hTS1ETnVtcFpkbDFhYXJySFQwOXVPQVMyQjFtYXhKQXNYQ1ZxakN6MnpwdG8zV0ZTdWg2SVF6dEg5SlpicXMweDV3S1h3S2xEZFg1RFNpQkpCT3VWQTF1YVRsanN2VnZpV2laUXJKRnJKb211dk5hM1J3NzgwTXVQdkU3SjBrcjFKblAwcnlqbXJTdkQ0VDRCekFVeUUtd3ZuQzBnZUZjNkV1eTF2enJneVpOWXJvSDR2WUxlWmxiMFkycWpqQWxmUQ?oc=5
VIMTALABS,Vimta Labs Limited,"Vimta Labs Q2 Revenue Hits ₹104.5 Cr, Up 22.3% YoY - HDFC Sky","<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxQaWVMcXg1M3VuR0tiWm1tWkdubVRybnAwdmZqOE9rOXhfcXBJWnJTS2dzX3dpOHJYdi13MHdUUmlGR0daREIwVmdfTlItaXJidlZmM1RzdEpVeVFIeU9QaDVSeWszUEJTUFotWEk4Sk5rM0d4cmtSck5oME1xVHJLUkplTGdyMHlSQllDQQ?oc=5"" target=""_blank"">Vimta Labs Q2 Revenue Hits ₹104.5 Cr, Up 22.3% YoY</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-11-03 08:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMijAFBVV95cUxQaWVMcXg1M3VuR0tiWm1tWkdubVRybnAwdmZqOE9rOXhfcXBJWnJTS2dzX3dpOHJYdi13MHdUUmlGR0daREIwVmdfTlItaXJidlZmM1RzdEpVeVFIeU9QaDVSeWszUEJTUFotWEk4Sk5rM0d4cmtSck5oME1xVHJLUkplTGdyMHlSQllDQQ?oc=5
VIMTALABS,Vimta Labs Limited,Vimta Labs (NSE:VIMTALABS) Could Be A Buy For Its Upcoming Dividend - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxONVp0cHhOQWFHangyaGQ3RTRGZnlGSzRBWk1qanZ6THBHMDdnX0I4S1hveTQ4M09KbHZJUXpUM2FaamtsWll6bmhRTko2RHlsN1UyMjdISDlyb3NNZWZ0NHpTSlJJeC05bk51VlBueEVKcVc2SENFTHBqekZELU5KX0pnYTBtWi1mNEEwaDdRWGk5U29Cb1lGelAzZU82LXVHSGR3bmpCa09yTFR0bWVVbHk0QW4tSUxFdjdHdFRVN0E3Y04zcWFzZTJDV3ozWmtNanVOaEI4UFptMGdRYmlQWjhSY3RfQ2o5?oc=5"" target=""_blank"">Vimta Labs (NSE:VIMTALABS) Could Be A Buy For Its Upcoming Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-26 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6AFBVV95cUxONVp0cHhOQWFHangyaGQ3RTRGZnlGSzRBWk1qanZ6THBHMDdnX0I4S1hveTQ4M09KbHZJUXpUM2FaamtsWll6bmhRTko2RHlsN1UyMjdISDlyb3NNZWZ0NHpTSlJJeC05bk51VlBueEVKcVc2SENFTHBqekZELU5KX0pnYTBtWi1mNEEwaDdRWGk5U29Cb1lGelAzZU82LXVHSGR3bmpCa09yTFR0bWVVbHk0QW4tSUxFdjdHdFRVN0E3Y04zcWFzZTJDV3ozWmtNanVOaEI4UFptMGdRYmlQWjhSY3RfQ2o5?oc=5
VIMTALABS,Vimta Labs Limited,Vimta Labs Limited's (NSE:VIMTALABS) CEO Looks Like They Deserve Their Pay Packet - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxNTzVVWHV2SzBVUGVHa0VkSVhwVVg5djZEd2o3NENnak9JODc5amVvTzkzcTFkMVZ1a1FRSmNRdEV0aU41VHdLMm04eTBRYzZmYU96SXFMRXh4RU1sNVQ0UmdZREFuRDhwVERQU2ZZWFN3bmMyOG1CeFdwVHQ2cF9nRnQzV1B5YkN1clRTb1Z4NGJfQ3lXRlFRUmFyc01fWUlibFRxd3pidUVJTm5OSUFjQ205dXpackxTTGo4bUdNd2FGVkhSZkxNU3cza2xtWUEzeWJOM0xIR3dWMDlxVXppMkpwQWE1YkMt?oc=5"" target=""_blank"">Vimta Labs Limited's (NSE:VIMTALABS) CEO Looks Like They Deserve Their Pay Packet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-31 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNTzVVWHV2SzBVUGVHa0VkSVhwVVg5djZEd2o3NENnak9JODc5amVvTzkzcTFkMVZ1a1FRSmNRdEV0aU41VHdLMm04eTBRYzZmYU96SXFMRXh4RU1sNVQ0UmdZREFuRDhwVERQU2ZZWFN3bmMyOG1CeFdwVHQ2cF9nRnQzV1B5YkN1clRTb1Z4NGJfQ3lXRlFRUmFyc01fWUlibFRxd3pidUVJTm5OSUFjQ205dXpackxTTGo4bUdNd2FGVkhSZkxNU3cza2xtWUEzeWJOM0xIR3dWMDlxVXppMkpwQWE1YkMt?oc=5
VIMTALABS,Vimta Labs Limited,Technical Analysis of Vimta Labs Limited (NSE:VIMTALABS) - TradingView,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE9OOGp5VXJCUEJjRm5wdVZaUzZhSjRlNUxNdEVOakZqUkYwLWJ0THA0WUpCc3FSNVd0RDd0ZmhVZXZkbjYyTzRpUTFRaDZNdkxIdHE0WFd2NlRkVmg4ZTUtWndUVDJCYnpxOFZTNDhR?oc=5"" target=""_blank"">Technical Analysis of Vimta Labs Limited (NSE:VIMTALABS)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TradingView</font>",2018-02-12 08:38:06,TradingView,https://news.google.com/rss/articles/CBMibkFVX3lxTE9OOGp5VXJCUEJjRm5wdVZaUzZhSjRlNUxNdEVOakZqUkYwLWJ0THA0WUpCc3FSNVd0RDd0ZmhVZXZkbjYyTzRpUTFRaDZNdkxIdHE0WFd2NlRkVmg4ZTUtWndUVDJCYnpxOFZTNDhR?oc=5
VIMTALABS,Vimta Labs Limited,"At multi-year highs: Vimta Labs, Laurus Labs among 7 stocks witness 5-year swing high breakout - The Economic Times","<a href=""https://news.google.com/rss/articles/CBMijgJBVV95cUxQajI0N1JraVZ5T1hobU5ieFFXdWRRQjJOeWt0STNMdHpVYUNxUng3WDQ3cmE1TVNHUFVDMkhsWkNxekk0eTZNNFNVbmQzajZtR0MzRGhkTUl2N2FwVm1kRF9FWGpEdldUQklOOGlKaUxsWjRVeENscURlQ1J3aDFIUnZqWXVaaGV2R0VUOG0wUTlDSGpjcE92Qk9fWFJtbnNFcXBVTUlLaUdaQUQ5YVd0cFNOTG1jNDRfQkhWcm15ODRtamwxb0NBaVQycDY2QWpBdVdMVkktQURFMHhNTmpYTm1jdThWWHhwODVNaTdXclZMWlVHQW9lMW9TSWtTdGpQQVlvYkpIMzFQc1NkRmc?oc=5"" target=""_blank"">At multi-year highs: Vimta Labs, Laurus Labs among 7 stocks witness 5-year swing high breakout</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",2025-07-29 07:00:00,The Economic Times,https://news.google.com/rss/articles/CBMijgJBVV95cUxQajI0N1JraVZ5T1hobU5ieFFXdWRRQjJOeWt0STNMdHpVYUNxUng3WDQ3cmE1TVNHUFVDMkhsWkNxekk0eTZNNFNVbmQzajZtR0MzRGhkTUl2N2FwVm1kRF9FWGpEdldUQklOOGlKaUxsWjRVeENscURlQ1J3aDFIUnZqWXVaaGV2R0VUOG0wUTlDSGpjcE92Qk9fWFJtbnNFcXBVTUlLaUdaQUQ5YVd0cFNOTG1jNDRfQkhWcm15ODRtamwxb0NBaVQycDY2QWpBdVdMVkktQURFMHhNTmpYTm1jdThWWHhwODVNaTdXclZMWlVHQW9lMW9TSWtTdGpQQVlvYkpIMzFQc1NkRmc?oc=5
VIMTALABS,Vimta Labs Limited,"Vimta Labs Standalone June 2025 Net Sales at Rs 9.76 crore, down 87.83% Y-o-Y - Moneycontrol.com","<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxQQ01aWHpEMVJVOUxwdVhuNzRWV2hzSXNTVGw4QkhkSURpb1dpRVhvRDB4R0F0U1BxaHF6YU9Ld0FWQXhQWWNkbUFNb2dTcXZ3aHdEcVlTMzY5ZkJNSkhoUjlVT0IzUVFLUVgzelRTWF9YNGh0TURLWVlPang1clZRSWR6TDdobTlQT2xJTVBEbDhkemlLd2c5MGFlWEtucmo1X05JcUJ0MFVaeW1QSGp1NWZtZHZBemxsWEZKeURNaXJxQTd4VlowbXVWakdDby1XVllDOERpTFbSAd4BQVVfeXFMTUJYVHRSSEZXQ2ZjdlVNNTYwNzVpZkQ3RVRmeHh5THE5NUpIWEdSRDZVNWxNQ2pIbE5RcEJjcDJOSWI4QzlqakZMd3lnNGY2YXUtV1dGQjAyaFhWb1cxX0M4UUNFWUdNekZEREFrTUJEdW5vV1lvUHI1VWttbEJLR0NyVm9tQUdMRi0zek1BdzBBOXdoRDhXdG14cE9PdjA1bTBFaURCVjNXaGFRSUtkMGczVTg2V1ptamVmUXRZbnAyMjY3dzVCRFA0Q2FvX0k1dGVnZ19zSXJSQVlXdGdB?oc=5"" target=""_blank"">Vimta Labs Standalone June 2025 Net Sales at Rs 9.76 crore, down 87.83% Y-o-Y</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol.com</font>",2025-07-18 07:00:00,Moneycontrol.com,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQQ01aWHpEMVJVOUxwdVhuNzRWV2hzSXNTVGw4QkhkSURpb1dpRVhvRDB4R0F0U1BxaHF6YU9Ld0FWQXhQWWNkbUFNb2dTcXZ3aHdEcVlTMzY5ZkJNSkhoUjlVT0IzUVFLUVgzelRTWF9YNGh0TURLWVlPang1clZRSWR6TDdobTlQT2xJTVBEbDhkemlLd2c5MGFlWEtucmo1X05JcUJ0MFVaeW1QSGp1NWZtZHZBemxsWEZKeURNaXJxQTd4VlowbXVWakdDby1XVllDOERpTFbSAd4BQVVfeXFMTUJYVHRSSEZXQ2ZjdlVNNTYwNzVpZkQ3RVRmeHh5THE5NUpIWEdSRDZVNWxNQ2pIbE5RcEJjcDJOSWI4QzlqakZMd3lnNGY2YXUtV1dGQjAyaFhWb1cxX0M4UUNFWUdNekZEREFrTUJEdW5vV1lvUHI1VWttbEJLR0NyVm9tQUdMRi0zek1BdzBBOXdoRDhXdG14cE9PdjA1bTBFaURCVjNXaGFRSUtkMGczVTg2V1ptamVmUXRZbnAyMjY3dzVCRFA0Q2FvX0k1dGVnZ19zSXJSQVlXdGdB?oc=5
