scrip,company,headline,summary,published_date,source,url
VSSL,Vardhman Special Steels Limited,Vardhman Special Steels' (NSE:VSSL) Anemic Earnings Might Be Worse Than You Think - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQMVNUVmRTVVppODRSNkJNb253Sk9aeC1hX0JySHAwckdLenNmcjhLODJUM3VFVG4xWmU2a1dUdTV1U3VIWjNVSjBUZWM4MFNudW1vcGtDaHFobmhMa3lUZ2hPVjZXdlZsdWhITENURjh3NG8yUVhtOF9FV0ZMOTRMUnhhOUo0XzJOUGlheXhLdFhSV0N4X2U1bHZ4c1ZkdV9yMkhJZTlkT1REZFdwQ1ExbkswSG44Xy1NQlRTYkZPWjFnZ1lLVlcycWVKNl82cy1DYm9iM0ZDU0d4clZ2bW9XVw?oc=5"" target=""_blank"">Vardhman Special Steels' (NSE:VSSL) Anemic Earnings Might Be Worse Than You Think</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-11-05 08:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQMVNUVmRTVVppODRSNkJNb253Sk9aeC1hX0JySHAwckdLenNmcjhLODJUM3VFVG4xWmU2a1dUdTV1U3VIWjNVSjBUZWM4MFNudW1vcGtDaHFobmhMa3lUZ2hPVjZXdlZsdWhITENURjh3NG8yUVhtOF9FV0ZMOTRMUnhhOUo0XzJOUGlheXhLdFhSV0N4X2U1bHZ4c1ZkdV9yMkhJZTlkT1REZFdwQ1ExbkswSG44Xy1NQlRTYkZPWjFnZ1lLVlcycWVKNl82cy1DYm9iM0ZDU0d4clZ2bW9XVw?oc=5
VSSL,Vardhman Special Steels Limited,VSSL Q2 Profit Up 34% YoY Despite Revenue Dip - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxPSEg3bXhkWWszeWgzSXNwelRkSV9MWWlYbVdaMlZMUVQ4Sk5Tbms3XzVLalZlalRGaGVJUHdYVGFkS3pGT1B0S0pWMDlEZ3lmNlVfeXJYclpWMDdMV05icjl5cG1PN3N4R2FPRkhxRVFIM3RCS3UybUNwMlJ1bDV3UlFPUzZSSkZWb3N5RmE0TDU1bUdtTk9ncE41djY3dWplcEtSUjZB?oc=5"" target=""_blank"">VSSL Q2 Profit Up 34% YoY Despite Revenue Dip</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-28 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMipgFBVV95cUxPSEg3bXhkWWszeWgzSXNwelRkSV9MWWlYbVdaMlZMUVQ4Sk5Tbms3XzVLalZlalRGaGVJUHdYVGFkS3pGT1B0S0pWMDlEZ3lmNlVfeXJYclpWMDdMV05icjl5cG1PN3N4R2FPRkhxRVFIM3RCS3UybUNwMlJ1bDV3UlFPUzZSSkZWb3N5RmE0TDU1bUdtTk9ncE41djY3dWplcEtSUjZB?oc=5
VSSL,Vardhman Special Steels Limited,Vardhman Special Steels Unveils Strategic Expansion and Export Growth Plans - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNM212VVBOekEzNGRvQnVYR3VaVWJXMThBdW1oOEJSZXJRUno4Y0xMVTVTTk1HZkFRN3JaZ21oUUtNNnJUSjZ3dUFGQ3M5VTlndkpjRnU4NzhmZXh6TF9oeEFXUTM2cGNuWWhUWkJtOGJSWjRPcnNtUUZ0MU95RnBTVGRkM3pkRVRZQXlZYTFmcnVBd0tUTmw1Z3FNUVFLT1owcFNEZnFIZDhKNktYZEhyTk9FQTFud0JJVmx2Rmd0ZElqVGhXNWRSQVN5WDJDMWN4ZWlHTUFLcw?oc=5"" target=""_blank"">Vardhman Special Steels Unveils Strategic Expansion and Export Growth Plans</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-29 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNM212VVBOekEzNGRvQnVYR3VaVWJXMThBdW1oOEJSZXJRUno4Y0xMVTVTTk1HZkFRN3JaZ21oUUtNNnJUSjZ3dUFGQ3M5VTlndkpjRnU4NzhmZXh6TF9oeEFXUTM2cGNuWWhUWkJtOGJSWjRPcnNtUUZ0MU95RnBTVGRkM3pkRVRZQXlZYTFmcnVBd0tUTmw1Z3FNUVFLT1owcFNEZnFIZDhKNktYZEhyTk9FQTFud0JJVmx2Rmd0ZElqVGhXNWRSQVN5WDJDMWN4ZWlHTUFLcw?oc=5
VSSL,Vardhman Special Steels Limited,VSSL Share Price | Vardhman Special Steels Ltd Stock Analysis & Recommendation - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTFBQMjVha2RrQlczZWt5SDVCdnpxLTZIbkJOMlhIc2NESHNLZ19mamVMd05SUXFRVDFDam8tcEd2aGJCdVlBUF9VeU15TUlmUHBMZXBfVjBuNGJBc2tSeTYwTTBrNWxLdHZlTWRrYzNkMk1pUFI4S2ZWbg?oc=5"" target=""_blank"">VSSL Share Price | Vardhman Special Steels Ltd Stock Analysis & Recommendation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-06-13 21:39:14,Markets Mojo,https://news.google.com/rss/articles/CBMieEFVX3lxTFBQMjVha2RrQlczZWt5SDVCdnpxLTZIbkJOMlhIc2NESHNLZ19mamVMd05SUXFRVDFDam8tcEd2aGJCdVlBUF9VeU15TUlmUHBMZXBfVjBuNGJBc2tSeTYwTTBrNWxLdHZlTWRrYzNkMk1pUFI4S2ZWbg?oc=5
VSSL,Vardhman Special Steels Limited,Vardhman Special Steels Announces Greenfield Plant and Posts Annual Revenue Growth - Autocar Professional,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQcERuOEVLYUd6VU41VDM5TGx6elV2THgycUZfSFQtWDlTRHF2dnJqakg3aFpwVk5KTXhtNEpteDRTdnBlSFk0MVVwSE9ESmJaSEsxcjNaMExpbzUxRzlHMXg5QmhxR3hlaFdRUzRiR19lVml1d3hFV2JXMEF6bDh3US1uVGVJVVVhUnQ5X1ZuLUI4Nl9LSGxzR3BTTVVwM0lTVFhFVEw1V2xZNGdfdnc5eU9fLUJtZXZCVURSM9IBxAFBVV95cUxOVDZTZjhkYzVWa05FYjRHOUZodFVFR1EwZUVwVVBwU3pjUDVvTk1uQjFzQUQ3UjZ2dFJVOENfanhrbWhOaEVoQzE3a2RNQ3c4a1dlNnhNOGFZY0FtMmVRZUt4OUdrSWE0U0lwaHRlbmdGVk9qaVV5dW43UFd3MlhaNWkzR1dDanlydTZmRHNVai10elVaNnJvWS1kNm5RMDFVYmZ3aFhQVUpjTjhWNTRSaGFKandpRm1na2pQcGhyd08tQ0lE?oc=5"" target=""_blank"">Vardhman Special Steels Announces Greenfield Plant and Posts Annual Revenue Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Autocar Professional</font>",2025-04-23 07:00:00,Autocar Professional,https://news.google.com/rss/articles/CBMivAFBVV95cUxQcERuOEVLYUd6VU41VDM5TGx6elV2THgycUZfSFQtWDlTRHF2dnJqakg3aFpwVk5KTXhtNEpteDRTdnBlSFk0MVVwSE9ESmJaSEsxcjNaMExpbzUxRzlHMXg5QmhxR3hlaFdRUzRiR19lVml1d3hFV2JXMEF6bDh3US1uVGVJVVVhUnQ5X1ZuLUI4Nl9LSGxzR3BTTVVwM0lTVFhFVEw1V2xZNGdfdnc5eU9fLUJtZXZCVURSM9IBxAFBVV95cUxOVDZTZjhkYzVWa05FYjRHOUZodFVFR1EwZUVwVVBwU3pjUDVvTk1uQjFzQUQ3UjZ2dFJVOENfanhrbWhOaEVoQzE3a2RNQ3c4a1dlNnhNOGFZY0FtMmVRZUt4OUdrSWE0U0lwaHRlbmdGVk9qaVV5dW43UFd3MlhaNWkzR1dDanlydTZmRHNVai10elVaNnJvWS1kNm5RMDFVYmZ3aFhQVUpjTjhWNTRSaGFKandpRm1na2pQcGhyd08tQ0lE?oc=5
VSSL,Vardhman Special Steels Limited,"Vardhman Special Steels Plans to Increase Rolling Mill Capacity to 270,000 TPA - Tube & Pipe India","<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9PR1lGRURrR3R3QzNOSU03SHIyVmNmRTJOVXlJWHhzZy15WGNYNlpvd0k0RmQ2dDFIV2ZJc052MExGZmNDTGtQR2d4QkFVOHl1Y0hNZU1JbDQ0RDVvdGphV1FSUHdGbDg?oc=5"" target=""_blank"">Vardhman Special Steels Plans to Increase Rolling Mill Capacity to 270,000 TPA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tube & Pipe India</font>",2025-05-28 13:48:14,Tube & Pipe India,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9PR1lGRURrR3R3QzNOSU03SHIyVmNmRTJOVXlJWHhzZy15WGNYNlpvd0k0RmQ2dDFIV2ZJc052MExGZmNDTGtQR2d4QkFVOHl1Y0hNZU1JbDQ0RDVvdGphV1FSUHdGbDg?oc=5
VSSL,Vardhman Special Steels Limited,"Vardhman Special Steels Reports Full-Year Revenue Growth, Announces Major Expansion Plan - Machine Maker","<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOWUt6dmpLNWtFQ2NuNE5Ba1BjWjRHa2pIamJmaGRkQVZHcm5oMFQySFJiWGU1R1pVR1lRMmNWS1pBODdmZWFxSDBvZzZ3dEU5NGczaEJIc0FlWjY5V3hYVFRCdnZNRFhzcjUybjJiYlptUEhVT3BjVlpRa3pvTzF2cjdUemhYUFAtQXR5QXhaQW8zN1dBY0lIRDRUVzJRd1Jsd3JNYWxhVjh0UTNxUnZhblZtcmVSVDVtQXZwZUV3?oc=5"" target=""_blank"">Vardhman Special Steels Reports Full-Year Revenue Growth, Announces Major Expansion Plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Machine Maker</font>",2025-04-24 07:00:00,Machine Maker,https://news.google.com/rss/articles/CBMivgFBVV95cUxOWUt6dmpLNWtFQ2NuNE5Ba1BjWjRHa2pIamJmaGRkQVZHcm5oMFQySFJiWGU1R1pVR1lRMmNWS1pBODdmZWFxSDBvZzZ3dEU5NGczaEJIc0FlWjY5V3hYVFRCdnZNRFhzcjUybjJiYlptUEhVT3BjVlpRa3pvTzF2cjdUemhYUFAtQXR5QXhaQW8zN1dBY0lIRDRUVzJRd1Jsd3JNYWxhVjh0UTNxUnZhblZtcmVSVDVtQXZwZUV3?oc=5
VSSL,Vardhman Special Steels Limited,Vardhman Special Steels Reports Higher Q2 Profitability Despite Revenue Dip - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOVW5UdTB3SkFqTHFHZThpalVPQURybEFfQU12cG1QMlpwU1h0bllEZGhLWGlBZ1gwNEttMi1leUNpZnFBWEo0ZGR4WDQ4TGt0TGpIUlFoV3ZuTXppeXpLeThiWm9rdUcyN1FBZGdvMk40Z0xyYW5rM0ZVazdoanNvQkdpdHJHeXZMT1hRWE5TaXI2dGJmTE5feHJ5MFhNVExKSU5CdFVoTlBtN2hOZkU5NVJPakdBTkxmR09kaC1jZGVxWDVhdlFiV2psMA?oc=5"" target=""_blank"">Vardhman Special Steels Reports Higher Q2 Profitability Despite Revenue Dip</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-28 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMiywFBVV95cUxOVW5UdTB3SkFqTHFHZThpalVPQURybEFfQU12cG1QMlpwU1h0bllEZGhLWGlBZ1gwNEttMi1leUNpZnFBWEo0ZGR4WDQ4TGt0TGpIUlFoV3ZuTXppeXpLeThiWm9rdUcyN1FBZGdvMk40Z0xyYW5rM0ZVazdoanNvQkdpdHJHeXZMT1hRWE5TaXI2dGJmTE5feHJ5MFhNVExKSU5CdFVoTlBtN2hOZkU5NVJPakdBTkxmR09kaC1jZGVxWDVhdlFiV2psMA?oc=5
VSSL,Vardhman Special Steels Limited,Vardhman Special Steels Boosts Investment in Sone Solar with Additional Rs 1.13 Crore - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxPS25ldUZqLTJUaVVDNFBfdGxjX3FUMEJuUExPTDFnZTI5VGVzekJhS1E0RHcwdjNOSmt6QlJwRzR5bkJtZ0tEZFBDeTZQaU05VDlwandPQ2ZQbndRcUlOYXBTY0NJejhwdWdOZHp4d2lHMThsQWFtQVVtWlBtR3JuTmtYdEZfa1FONG9sQ05FTzlaM21SNVh0WDBuWXYyejkzbDJnTHVCREdrRl9nYmk1T1AyMHF6ZEh0aXBQVjg5bWlrTzF0QW9NMnBUb2dEeTFkM1NpTDBzaVBWczRQMk1kbWpPZGw?oc=5"" target=""_blank"">Vardhman Special Steels Boosts Investment in Sone Solar with Additional Rs 1.13 Crore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-30 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi5AFBVV95cUxPS25ldUZqLTJUaVVDNFBfdGxjX3FUMEJuUExPTDFnZTI5VGVzekJhS1E0RHcwdjNOSmt6QlJwRzR5bkJtZ0tEZFBDeTZQaU05VDlwandPQ2ZQbndRcUlOYXBTY0NJejhwdWdOZHp4d2lHMThsQWFtQVVtWlBtR3JuTmtYdEZfa1FONG9sQ05FTzlaM21SNVh0WDBuWXYyejkzbDJnTHVCREdrRl9nYmk1T1AyMHF6ZEh0aXBQVjg5bWlrTzF0QW9NMnBUb2dEeTFkM1NpTDBzaVBWczRQMk1kbWpPZGw?oc=5
VSSL,Vardhman Special Steels Limited,"Vardhman Special Steels Eliminates Debt, Expects Lower Finance Costs in Coming Quarters - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxQalR5V184VWxmOTBEY2M3MjVaRElXSG9PMEZVLWo0S2NBRzZaTkFEdnlXZnFNRTB3VjZCbzA2dlZlUmtoejRtRVhlaUlIdEdFQ3JqZE94c2dxaUpYaDFISldDdXpESzNOejdBZl9HNW5GWHNoRG5DUk41VVZUVFhVTnpXTHdPSE11dDVoU0FXeFNRc2VXWEZqcG1ocmlmV1AxMDI1SmRpTnUwMFF6QllNUU5QandXcWtSQi1CUTZlZGk3cUtQd09KZFFDOTJCNFBMMmszSDcwMGRzdw?oc=5"" target=""_blank"">Vardhman Special Steels Eliminates Debt, Expects Lower Finance Costs in Coming Quarters</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-07-25 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQalR5V184VWxmOTBEY2M3MjVaRElXSG9PMEZVLWo0S2NBRzZaTkFEdnlXZnFNRTB3VjZCbzA2dlZlUmtoejRtRVhlaUlIdEdFQ3JqZE94c2dxaUpYaDFISldDdXpESzNOejdBZl9HNW5GWHNoRG5DUk41VVZUVFhVTnpXTHdPSE11dDVoU0FXeFNRc2VXWEZqcG1ocmlmV1AxMDI1SmRpTnUwMFF6QllNUU5QandXcWtSQi1CUTZlZGk3cUtQd09KZFFDOTJCNFBMMmszSDcwMGRzdw?oc=5
