scrip,company,headline,summary,published_date,source,url
WSTCSTPAPR,West Coast Paper Mills Limited,West Coast Paper Mills Limited's (NSE:WSTCSTPAPR) CEO Might Not Expect Shareholders To Be So Generous This Year - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxOWEo2V0M1UlBEd1RBUjBfb28wSW52cXFLdW5OUWVkLWdKWW45cEc0SHYzSWJOOHdLOU93UkpQdEZaR0NHeWFjbDRQSUo5NjdJSFZWRXlKSkVfMF91V1VnYS1ndE9NWk84dzR5R1NpTkdKeW5UWXhZYnZrNUdqUmlSZXlxTVN5UG5kd194ckl6NjhBTmxvamVxdHJfcElQTjBmY0xLbFc4R1VqQjFlbGRLYmZpNUF3VzlCdkh5bk1kc0ZHaFJsYXlFM1l1VHZ1TFN5Qmw5TFcwUEIwcG00YVA2ajhwLU8zdw?oc=5"" target=""_blank"">West Coast Paper Mills Limited's (NSE:WSTCSTPAPR) CEO Might Not Expect Shareholders To Be So Generous This Year</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-22 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5gFBVV95cUxOWEo2V0M1UlBEd1RBUjBfb28wSW52cXFLdW5OUWVkLWdKWW45cEc0SHYzSWJOOHdLOU93UkpQdEZaR0NHeWFjbDRQSUo5NjdJSFZWRXlKSkVfMF91V1VnYS1ndE9NWk84dzR5R1NpTkdKeW5UWXhZYnZrNUdqUmlSZXlxTVN5UG5kd194ckl6NjhBTmxvamVxdHJfcElQTjBmY0xLbFc4R1VqQjFlbGRLYmZpNUF3VzlCdkh5bk1kc0ZHaFJsYXlFM1l1VHZ1TFN5Qmw5TFcwUEIwcG00YVA2ajhwLU8zdw?oc=5
WSTCSTPAPR,West Coast Paper Mills Limited,"JK Paper, West Coast Paper: Why paper stocks are seeing a stellar rally today - Upstox","<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxObGdwQlJoWUJ5aHpmM1NOTWJ5dFE1ZDN0d1VScXJ6eVRQTFBHTEZrSGJDdExzMUdDLXhoSzJwS3AyelN1U3NLakVoOWNCeXhlR0kxUmppUEtlQWg1MGdBUExMVHBseUd2eVFteXFubzBad2lQeG1UcXMwb0s5dDhlalpwNnpuWFFJZnFhUjNjY28xeDVXUzIzbWo1MnBLQWNULVI2blgxMm41LVRNVTVEcmhSZV80T2k5SXdpSTFjdUpwanBoWmx4b1FKM3BWd3FFbERMTUQtTWY3WEYtZy1UQnZfNXJROVpiZkZscWdrZw?oc=5"" target=""_blank"">JK Paper, West Coast Paper: Why paper stocks are seeing a stellar rally today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upstox</font>",2025-08-25 07:00:00,Upstox,https://news.google.com/rss/articles/CBMi7wFBVV95cUxObGdwQlJoWUJ5aHpmM1NOTWJ5dFE1ZDN0d1VScXJ6eVRQTFBHTEZrSGJDdExzMUdDLXhoSzJwS3AyelN1U3NLakVoOWNCeXhlR0kxUmppUEtlQWg1MGdBUExMVHBseUd2eVFteXFubzBad2lQeG1UcXMwb0s5dDhlalpwNnpuWFFJZnFhUjNjY28xeDVXUzIzbWo1MnBLQWNULVI2blgxMm41LVRNVTVEcmhSZV80T2k5SXdpSTFjdUpwanBoWmx4b1FKM3BWd3FFbERMTUQtTWY3WEYtZy1UQnZfNXJROVpiZkZscWdrZw?oc=5
WSTCSTPAPR,West Coast Paper Mills Limited,West Coast Paper Mills (NSE:WSTCSTPAPR) stock performs better than its underlying earnings growth over last five years - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxNT21ocExiWERVWGJNYkg5c09ubEhHVUV5YUlpeWhsUFpFQ3dKQllEXzNVR0E5VEFjQmR2dVdnc3o3N0JwZ0RDZzVEaHJJS2N0NkJ3cWJEQlZnOU9MT0huZm56VzJieXMzS0VyNHFfTzE4QzNtM3B3UndNenUzYWZHVXh4M0UxU08xNm9Rb2hwdXZPQzl1TFlpQnBZT2dicERzbEZac29tZTFCNGZvWHFrYk5tMWlkdDVpdGNoWlhsdTM5bU5GYkd6TGtJSzYzUHZFRU1LbXh0U0xCZmZPbVJQOXF6QXljNW_SAewBQVVfeXFMTm5NbF9zaGdOczZZaE5NdGluY2c5TzRoRGxkZ0xsb2RYVld0UlNXWFpqVGljU0h0bVZXejBHa3ViQ2lmZnhNcDFGQnktY0oxenREZ0ZOdjFRRXpGbS1NN2x6YWhyZjNvQmNyNy02WXR2SW0yMmlFS0ptbkd1Ti1ieEljc0poT0hsOF9ydnlxRGJkLUluLXhrc2pTR05sdEJIY1llRkZIekRLNkJ2cWhsaTZuZ0lIbmtKb3paU2tIdmJqTWR6bVNMT3hPTXBWSnV2TlFaSFlZMHd6dDFoandHdTEyQm90Z3lfVFd2LUI?oc=5"" target=""_blank"">West Coast Paper Mills (NSE:WSTCSTPAPR) stock performs better than its underlying earnings growth over last five years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-16 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNT21ocExiWERVWGJNYkg5c09ubEhHVUV5YUlpeWhsUFpFQ3dKQllEXzNVR0E5VEFjQmR2dVdnc3o3N0JwZ0RDZzVEaHJJS2N0NkJ3cWJEQlZnOU9MT0huZm56VzJieXMzS0VyNHFfTzE4QzNtM3B3UndNenUzYWZHVXh4M0UxU08xNm9Rb2hwdXZPQzl1TFlpQnBZT2dicERzbEZac29tZTFCNGZvWHFrYk5tMWlkdDVpdGNoWlhsdTM5bU5GYkd6TGtJSzYzUHZFRU1LbXh0U0xCZmZPbVJQOXF6QXljNW_SAewBQVVfeXFMTm5NbF9zaGdOczZZaE5NdGluY2c5TzRoRGxkZ0xsb2RYVld0UlNXWFpqVGljU0h0bVZXejBHa3ViQ2lmZnhNcDFGQnktY0oxenREZ0ZOdjFRRXpGbS1NN2x6YWhyZjNvQmNyNy02WXR2SW0yMmlFS0ptbkd1Ti1ieEljc0poT0hsOF9ydnlxRGJkLUluLXhrc2pTR05sdEJIY1llRkZIekRLNkJ2cWhsaTZuZ0lIbmtKb3paU2tIdmJqTWR6bVNMT3hPTXBWSnV2TlFaSFlZMHd6dDFoandHdTEyQm90Z3lfVFd2LUI?oc=5
WSTCSTPAPR,West Coast Paper Mills Limited,West Coast Paper Mills (NSE:WSTCSTPAPR) Is Reducing Its Dividend To ₹5.00 - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxObXpPdVB5dFdmbl9vaHlaeTJwMGMteWlqQ2JVVVVjMFpVZ0JqOWtvRGNfUlJ4TF95c19BLXo5NVU4R1RiRFo4aDV6VEZDN1hPVjNaNHVGU3BrVGNLby1VVldnaGJnNWJOVUE0NC1JWkZKcF9LX1VEWHNlSmJkU3ZRZWFTR2RXUGtKb1RvQmZNa216OVlBMVBiRHRjV01ZenVWbGtrMS1Eb2ZQUW1YS0JFclVMallaU0E5Qk5OTGdLRnhMMk05c3N2NEJMdl9sSlNLaE84aU1QRFJrbUwwYVVQVTFaZy1BRHB4d3fSAe8BQVVfeXFMT1RVZllPdWdYT0tPdm9BTmg3MVdrMmg1TUFqczNVekNzUFdLYWx0X01GQ2h1QVFISllpOGwtMDh4VGUwOW8zMkVMWVMwOWIwckotSUR1VGhpUmhnNWQ5WEtYaElwRnl6cGJqWlRzN2VvcmJWaGhDdlpLaUZtaEFqSlJOQ2dmMHVaaEZCZ3E3dUttLVJRV2xjMjd3dkVlTG9CZFFTZVpMZ01qS2I3U3lFYXNqZ1pRSWNsZWVGdXYwTkVJamJtYkxLbllnVkZZTW13UTRqeE1YR1RPTUVZZ0RENGxEaDRNOERGNmNsbE9IakE?oc=5"" target=""_blank"">West Coast Paper Mills (NSE:WSTCSTPAPR) Is Reducing Its Dividend To ₹5.00</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-08-03 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi6gFBVV95cUxObXpPdVB5dFdmbl9vaHlaeTJwMGMteWlqQ2JVVVVjMFpVZ0JqOWtvRGNfUlJ4TF95c19BLXo5NVU4R1RiRFo4aDV6VEZDN1hPVjNaNHVGU3BrVGNLby1VVldnaGJnNWJOVUE0NC1JWkZKcF9LX1VEWHNlSmJkU3ZRZWFTR2RXUGtKb1RvQmZNa216OVlBMVBiRHRjV01ZenVWbGtrMS1Eb2ZQUW1YS0JFclVMallaU0E5Qk5OTGdLRnhMMk05c3N2NEJMdl9sSlNLaE84aU1QRFJrbUwwYVVQVTFaZy1BRHB4d3fSAe8BQVVfeXFMT1RVZllPdWdYT0tPdm9BTmg3MVdrMmg1TUFqczNVekNzUFdLYWx0X01GQ2h1QVFISllpOGwtMDh4VGUwOW8zMkVMWVMwOWIwckotSUR1VGhpUmhnNWQ5WEtYaElwRnl6cGJqWlRzN2VvcmJWaGhDdlpLaUZtaEFqSlJOQ2dmMHVaaEZCZ3E3dUttLVJRV2xjMjd3dkVlTG9CZFFTZVpMZ01qS2I3U3lFYXNqZ1pRSWNsZWVGdXYwTkVJamJtYkxLbllnVkZZTW13UTRqeE1YR1RPTUVZZ0RENGxEaDRNOERGNmNsbE9IakE?oc=5
WSTCSTPAPR,West Coast Paper Mills Limited,"West Coast Paper Mills Ltd. Schedules Board Meeting for February 12, 2026 to Review Q3FY26 Financial Results - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxOS1BpaWMtMlpIYVhQOE1Zd0JlM240bzdVV3JDWTY2OF9vdkV3R3hpY2pINE1LUllrbVVkZHFvVmF6c193eWZlRjRidWdBZzhkWlJpWkJTY0NpV0NBaTlDMnZ4YXdQUE5JUHhwMEp6U2I1RXFpcHptcWJZc1A4YlJOSXhGazFYcFA0ZGVDdDl5UXhhSV9pdHRCYnJFb2tjRUZkMHhXOF9md2dRdGwxajNWWVF3cnFlSnVCRHBJLW9hM0xEOWVzYmRNYzB1bTU4TjFnOUhSLTRiNG13TkhLVUExUnBuWEpLNkhQcngza1lNSXlNREtx?oc=5"" target=""_blank"">West Coast Paper Mills Ltd. Schedules Board Meeting for February 12, 2026 to Review Q3FY26 Financial Results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-01-30 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi9AFBVV95cUxOS1BpaWMtMlpIYVhQOE1Zd0JlM240bzdVV3JDWTY2OF9vdkV3R3hpY2pINE1LUllrbVVkZHFvVmF6c193eWZlRjRidWdBZzhkWlJpWkJTY0NpV0NBaTlDMnZ4YXdQUE5JUHhwMEp6U2I1RXFpcHptcWJZc1A4YlJOSXhGazFYcFA0ZGVDdDl5UXhhSV9pdHRCYnJFb2tjRUZkMHhXOF9md2dRdGwxajNWWVF3cnFlSnVCRHBJLW9hM0xEOWVzYmRNYzB1bTU4TjFnOUhSLTRiNG13TkhLVUExUnBuWEpLNkhQcngza1lNSXlNREtx?oc=5
WSTCSTPAPR,West Coast Paper Mills Limited,West Coast Paper Mills Q2 Results 2026 - Find West Coast Paper Mills Q2 Earnings Result | WSTCSTPAPR Q2 results - Mint,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxQWGRtOWtqLVBsUEpQX1NBbFJtOFQ0a2JJMjFTQ0V4ZDNPZGRERDhOQ2pSaFQybXNibmNGMnRGa0pIYktncFhFRlEzdUxMX1RrRF9XNHlQSjNud0RnNldSdHhIM3RVVHdBVm9qLXcwam9XZUh5WlN6dDJvT0pON2Q1RHNXOXJJNzZxSmFGNXlTcV8?oc=5"" target=""_blank"">West Coast Paper Mills Q2 Results 2026 - Find West Coast Paper Mills Q2 Earnings Result | WSTCSTPAPR Q2 results</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2023-07-20 14:17:31,Mint,https://news.google.com/rss/articles/CBMikAFBVV95cUxQWGRtOWtqLVBsUEpQX1NBbFJtOFQ0a2JJMjFTQ0V4ZDNPZGRERDhOQ2pSaFQybXNibmNGMnRGa0pIYktncFhFRlEzdUxMX1RrRF9XNHlQSjNud0RnNldSdHhIM3RVVHdBVm9qLXcwam9XZUh5WlN6dDJvT0pON2Q1RHNXOXJJNzZxSmFGNXlTcV8?oc=5
WSTCSTPAPR,West Coast Paper Mills Limited,We Think That There Are More Issues For West Coast Paper Mills (NSE:WSTCSTPAPR) Than Just Sluggish Earnings - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxNc0picGNFU2tVM01heklWdkxoWE1pem13YTFUcmhObG1HZ1FzdEt4RXNPRGc0MENnX2ZtWXZEeDRyc2YwSHFiWWc0UkpJM19rbnJ6QzRvSWd2NEk3b3ZMc1FSTXkwclRXWEhMSnJfYmcxWHBwS1ZWdDNrZEtxMGdzanZQLUttdVB3T3RMVWtqU2pfQVhfUjVWaGJTWHdmSVhLN3h2ZDhUcmU1N1JWRlozTGtPYjFFLUlrWmJ0MkpTNXZxVWhnNWxDdHF6TWU0cnVtY1cwUmpHSjRsQWVQdVpINFdoX1JPZjTSAewBQVVfeXFMTm9nTkxaVWpmQWc5Y2JmZXh5b29Ga0pRSzdob3lQTWhNYjJIdGU2cGxpcDNQcFNvRVZrQXB1M010eU5Ya2tLQmVVMEJXRlQwMzBGeFZPMmE1cXpVQ3ladVRCY1NiNmdaMk1nbjZZTjlyckh1QjA4TlFoQlJneXVCZ0s2OFktTkdpdms0VVRpaFZsckx5TlZzdVZoSEtPRU8wTWR5ZERkM1NYUWxjbFNYeE5KVVJQc2xSYWVMYmQ4NXNnaEs4MUk0VW9YaWhUSkVBTVdNMzY3V0pQZnlRdEJqV3c2cDg2MkR0ekJrT2w?oc=5"" target=""_blank"">We Think That There Are More Issues For West Coast Paper Mills (NSE:WSTCSTPAPR) Than Just Sluggish Earnings</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-05-31 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNc0picGNFU2tVM01heklWdkxoWE1pem13YTFUcmhObG1HZ1FzdEt4RXNPRGc0MENnX2ZtWXZEeDRyc2YwSHFiWWc0UkpJM19rbnJ6QzRvSWd2NEk3b3ZMc1FSTXkwclRXWEhMSnJfYmcxWHBwS1ZWdDNrZEtxMGdzanZQLUttdVB3T3RMVWtqU2pfQVhfUjVWaGJTWHdmSVhLN3h2ZDhUcmU1N1JWRlozTGtPYjFFLUlrWmJ0MkpTNXZxVWhnNWxDdHF6TWU0cnVtY1cwUmpHSjRsQWVQdVpINFdoX1JPZjTSAewBQVVfeXFMTm9nTkxaVWpmQWc5Y2JmZXh5b29Ga0pRSzdob3lQTWhNYjJIdGU2cGxpcDNQcFNvRVZrQXB1M010eU5Ya2tLQmVVMEJXRlQwMzBGeFZPMmE1cXpVQ3ladVRCY1NiNmdaMk1nbjZZTjlyckh1QjA4TlFoQlJneXVCZ0s2OFktTkdpdms0VVRpaFZsckx5TlZzdVZoSEtPRU8wTWR5ZERkM1NYUWxjbFNYeE5KVVJQc2xSYWVMYmQ4NXNnaEs4MUk0VW9YaWhUSkVBTVdNMzY3V0pQZnlRdEJqV3c2cDg2MkR0ekJrT2w?oc=5
WSTCSTPAPR,West Coast Paper Mills Limited,From JK Paper to West Coast Paper Mills... Paper stocks surge up to 17%. Here's why - Mint,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxPM2VFNU1HSW1jMzdtNndSWlZYeXBIc0d6V1pKMjM3d0pMS2tiQ2ZFbElnekVuRk56NGdMejZWTmY0TFl2ZUNiTmx6ekJyWmFaYnBEcTlXazBqaGVPbU9MNklHTVJCVEdoTGt0TG5wNWc5VG4wdk1aaFpSR2NqMHEzd2NfUlVKdWRsalRHNmRmWm93NnBJQkhtV3NaZVBVNGxCaFZ6Ym1jSXdXamFQTHhkS0FWWmYxQThBQnlYemhyRDI1ekRPYlhOa3RjOS00dk16THJCQjhpZmFhSGV2Uk9nbm8xVzJBb1VqUnJUcXN30gHzAUFVX3lxTFBfWS1zSGRrQjUzMEJyZU05bVJvVUI2Z3RHeXZNTUlNd0lKdDZydlU4cjhfYzNGTEY1c1BKY0xfQ2R1OGNZTG9FMm1xLUtwVHdXZ2MtX3NBbzBPeFhPX25DTXNBeEF0VDN6VzdzTGREVVdCWWx4V3RtQ19NMGdzSGNINzEwUHQwRTJ4c0p2d2FzWFM4Z2dReU9ZWE9iV0xPckxPRHI0a1Y1N21IZl9lZXZpNk9kYlJ2ME1lNDhidHV2U3VMTnBGcE1yVnNmdURhdFM5Q0x1eTJnYlJkR1picklBdXJOSVFISjZHeUtjdDBFa2VBRQ?oc=5"" target=""_blank"">From JK Paper to West Coast Paper Mills... Paper stocks surge up to 17%. Here's why</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",2025-08-25 07:00:00,Mint,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPM2VFNU1HSW1jMzdtNndSWlZYeXBIc0d6V1pKMjM3d0pMS2tiQ2ZFbElnekVuRk56NGdMejZWTmY0TFl2ZUNiTmx6ekJyWmFaYnBEcTlXazBqaGVPbU9MNklHTVJCVEdoTGt0TG5wNWc5VG4wdk1aaFpSR2NqMHEzd2NfUlVKdWRsalRHNmRmWm93NnBJQkhtV3NaZVBVNGxCaFZ6Ym1jSXdXamFQTHhkS0FWWmYxQThBQnlYemhyRDI1ekRPYlhOa3RjOS00dk16THJCQjhpZmFhSGV2Uk9nbm8xVzJBb1VqUnJUcXN30gHzAUFVX3lxTFBfWS1zSGRrQjUzMEJyZU05bVJvVUI2Z3RHeXZNTUlNd0lKdDZydlU4cjhfYzNGTEY1c1BKY0xfQ2R1OGNZTG9FMm1xLUtwVHdXZ2MtX3NBbzBPeFhPX25DTXNBeEF0VDN6VzdzTGREVVdCWWx4V3RtQ19NMGdzSGNINzEwUHQwRTJ4c0p2d2FzWFM4Z2dReU9ZWE9iV0xPckxPRHI0a1Y1N21IZl9lZXZpNk9kYlJ2ME1lNDhidHV2U3VMTnBGcE1yVnNmdURhdFM5Q0x1eTJnYlJkR1picklBdXJOSVFISjZHeUtjdDBFa2VBRQ?oc=5
WSTCSTPAPR,West Coast Paper Mills Limited,"JK Paper, TN Newsprint, West Coast Paper rally up to 17% on heavy volumes - Business Standard","<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPRGI3Vlp0bFZyTDBlQVB3cWZ4ZWZYb1pzMGhYU19Mdnlhd0pPbnlOSXNtT2FORUMzcjRPclpzSkMzTjJYNG1xNF9RVFNzaEYtLVRvMWN6Y2dxU3NnbFIxdjc1aVBCMVNReUtNRl9JeW9rRGtaeTdVOXF5b0FaOHctc3dXNU9lbFQ4WVZaQmNoeDFTNmo2SUR3ZU1JNDJnXzRqRlBBU25Rd3F3T1VubEFNUHhRYzhIYXd6RTduNXB6UXBBeF9Nb3V6ZG5tLUNWcXo3Tk000gHYAUFVX3lxTE4xMjlITEpHb2tUOHEzT2VCalhRUVllaGZUNVZZNTlocHRCcmYtRjB0ZTlCTEdpNXByd1VQdXlBc1A4TlJ0bEZjdE1NdlluRFRZb2U3LUtqbGZMaWVFWkdPNzdldDBoTS16LS1WdWZhRXFtRzhiNFlRVlo4TlFnU2pGQTZaZGgtSzlNWW5Oenk0NHJJYzNYQWhfNms3eGdLNUlITXc0UjZCMzU5RnNLSGxZOWh1TC1SZVB3TXBGOHBHclFWT3lNcW9uWHkyLWg0bzBGMm53aFp0eg?oc=5"" target=""_blank"">JK Paper, TN Newsprint, West Coast Paper rally up to 17% on heavy volumes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",2025-08-25 07:00:00,Business Standard,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPRGI3Vlp0bFZyTDBlQVB3cWZ4ZWZYb1pzMGhYU19Mdnlhd0pPbnlOSXNtT2FORUMzcjRPclpzSkMzTjJYNG1xNF9RVFNzaEYtLVRvMWN6Y2dxU3NnbFIxdjc1aVBCMVNReUtNRl9JeW9rRGtaeTdVOXF5b0FaOHctc3dXNU9lbFQ4WVZaQmNoeDFTNmo2SUR3ZU1JNDJnXzRqRlBBU25Rd3F3T1VubEFNUHhRYzhIYXd6RTduNXB6UXBBeF9Nb3V6ZG5tLUNWcXo3Tk000gHYAUFVX3lxTE4xMjlITEpHb2tUOHEzT2VCalhRUVllaGZUNVZZNTlocHRCcmYtRjB0ZTlCTEdpNXByd1VQdXlBc1A4TlJ0bEZjdE1NdlluRFRZb2U3LUtqbGZMaWVFWkdPNzdldDBoTS16LS1WdWZhRXFtRzhiNFlRVlo4TlFnU2pGQTZaZGgtSzlNWW5Oenk0NHJJYzNYQWhfNms3eGdLNUlITXc0UjZCMzU5RnNLSGxZOWh1TC1SZVB3TXBGOHBHclFWT3lNcW9uWHkyLWg0bzBGMm53aFp0eg?oc=5
WSTCSTPAPR,West Coast Paper Mills Limited,West Coast Paper Q4 Net Profit Drops 63% YoY to ₹44 Crore; Revenue Down 3% - India Infoline,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxOT1NGb3NTSHpjc18tLXltTDJJOWQ4c0N2UzJnbHBXd3VYOWJ5T2JxazBva3FOYVMwbkwydGpMc0pTZVN4QTM0SGZqLXRsX2N3dUc5TnQ1bGo4aU51NUh5RU9XNFppcmJfVjFlOVJZNEI5RWRuZVlvd1loZGlGdkpDWGFqd01CbUpzTG8weGJMdGdnRzJEeDNXTjVFMTkwZUd3dUZ1aVdnbmt4b19JUzBpdHlKSGE?oc=5"" target=""_blank"">West Coast Paper Q4 Net Profit Drops 63% YoY to ₹44 Crore; Revenue Down 3%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Infoline</font>",2025-05-26 07:00:00,India Infoline,https://news.google.com/rss/articles/CBMitAFBVV95cUxOT1NGb3NTSHpjc18tLXltTDJJOWQ4c0N2UzJnbHBXd3VYOWJ5T2JxazBva3FOYVMwbkwydGpMc0pTZVN4QTM0SGZqLXRsX2N3dUc5TnQ1bGo4aU51NUh5RU9XNFppcmJfVjFlOVJZNEI5RWRuZVlvd1loZGlGdkpDWGFqd01CbUpzTG8weGJMdGdnRzJEeDNXTjVFMTkwZUd3dUZ1aVdnbmt4b19JUzBpdHlKSGE?oc=5
