scrip,company,headline,summary,published_date,source,url
XCHANGING,Xchanging Solutions Limited,We Wouldn't Be Too Quick To Buy Xchanging Solutions Limited (NSE:XCHANGING) Before It Goes Ex-Dividend - simplywall.st,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQV2FzVDdYRXNYczhCZnU5M2tIQ2wwWmxqQ3NObWVtV1FDMTFQZFJRZk55WldOMndmeFp6N3lUOFFSWlpWbEhWZDBkR3BWRXNJN0V6VVBaUnhXdVhTQmtMN3dMSGloYzNlUF9qdTFnaGUyeDd6ZGo4czd2RzVhYVVIU21zdmRJcWF3aHVUUDNlLXVzY1dhaGVxa1RrbEtKX3pCN09PQ3IzamRfT0J4TEJmd1hRSXUwYzFQc0h1OTB2MHE3ZUlTbE1lOGNOdmYwbVlTQXYxMHZNT0VRRDV2NW5OStIB5gFBVV95cUxOOUVvWVVMMW1ZR3hHZkJPWnQydDNfUkpyQ2UxeDZyLWRxM2h3VUVWZFVfMUUxZWdISnJQRF95OEt1dGw2QnJ5RE12UzJtZmtIUXpHcG4yV09MU01aR2Y0Tm1haTJydGwyUTI1RE95T3NOcHhxcWoxeF9oXzFFaW1KMF94b1A2NnVYaTZxLTVjSXVaSHZuakRVU3dId0xDYmRycGlsc1d0NkJTZU1LRDhRdmxKSnotUFlOWEtjajYyNTlyZjZBbzU2R3N5TE9jSV9XSWNRTTZ2dTRHTGVvczc0Wm5lbW1sQQ?oc=5"" target=""_blank"">We Wouldn't Be Too Quick To Buy Xchanging Solutions Limited (NSE:XCHANGING) Before It Goes Ex-Dividend</a>&nbsp;&nbsp;<font color=""#6f6f6f"">simplywall.st</font>",2025-07-07 07:00:00,simplywall.st,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQV2FzVDdYRXNYczhCZnU5M2tIQ2wwWmxqQ3NObWVtV1FDMTFQZFJRZk55WldOMndmeFp6N3lUOFFSWlpWbEhWZDBkR3BWRXNJN0V6VVBaUnhXdVhTQmtMN3dMSGloYzNlUF9qdTFnaGUyeDd6ZGo4czd2RzVhYVVIU21zdmRJcWF3aHVUUDNlLXVzY1dhaGVxa1RrbEtKX3pCN09PQ3IzamRfT0J4TEJmd1hRSXUwYzFQc0h1OTB2MHE3ZUlTbE1lOGNOdmYwbVlTQXYxMHZNT0VRRDV2NW5OStIB5gFBVV95cUxOOUVvWVVMMW1ZR3hHZkJPWnQydDNfUkpyQ2UxeDZyLWRxM2h3VUVWZFVfMUUxZWdISnJQRF95OEt1dGw2QnJ5RE12UzJtZmtIUXpHcG4yV09MU01aR2Y0Tm1haTJydGwyUTI1RE95T3NOcHhxcWoxeF9oXzFFaW1KMF94b1A2NnVYaTZxLTVjSXVaSHZuakRVU3dId0xDYmRycGlsc1d0NkJTZU1LRDhRdmxKSnotUFlOWEtjajYyNTlyZjZBbzU2R3N5TE9jSV9XSWNRTTZ2dTRHTGVvczc0Wm5lbW1sQQ?oc=5
XCHANGING,Xchanging Solutions Limited,Xchanging Solutions Q2FY26 Profit Rises 65.6% YoY; Stock Up 9.31% - HDFC Sky,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNSTVQZXYxbnhNd0tJU0xUbEx4aUVCRXM1VUdHd2xDNTBPRlRUSV9lQnNnRHRNdWNtMmppR0N5bUpjUmxwN2U5MHRvTGxsY1M5MXI0VWRGMDlaaU95VndQNG5abjRTZFhPT21mTjlVX2ZhSnNFYkFRQmRXNXA4RVRSaWZ3TjNZTy1YYjRVN2hSTWRud0JvUnZVN3pVNnZ5a09BWkE?oc=5"" target=""_blank"">Xchanging Solutions Q2FY26 Profit Rises 65.6% YoY; Stock Up 9.31%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">HDFC Sky</font>",2025-10-30 07:00:00,HDFC Sky,https://news.google.com/rss/articles/CBMiogFBVV95cUxNSTVQZXYxbnhNd0tJU0xUbEx4aUVCRXM1VUdHd2xDNTBPRlRUSV9lQnNnRHRNdWNtMmppR0N5bUpjUmxwN2U5MHRvTGxsY1M5MXI0VWRGMDlaaU95VndQNG5abjRTZFhPT21mTjlVX2ZhSnNFYkFRQmRXNXA4RVRSaWZ3TjNZTy1YYjRVN2hSTWRud0JvUnZVN3pVNnZ5a09BWkE?oc=5
XCHANGING,Xchanging Solutions Limited,Xchanging Solutions Ltd is Rated Sell by MarketsMOJO - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxOaEpCOEJNOWRuVEhQWndtLUhlTjZJRzNIbjdILUlwX0U3NXhEZUthMGZyY3JDZ212TmRabklveHVqN3UxcncxSFgycDNVOVlVcGFLeHBvbC1ZMGFib0xwZE5LVTdfYmRPaHBTMUFjRTVOc2x6MWk5R05oaW45REJnUFVycndNQzAtLVhqWG5GZ0dfUGJqb2xIV2J4VzdidnFJU2UzZ08zVWNqaWhNa1VwSzMtbEc?oc=5"" target=""_blank"">Xchanging Solutions Ltd is Rated Sell by MarketsMOJO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-01 18:48:48,Markets Mojo,https://news.google.com/rss/articles/CBMitAFBVV95cUxOaEpCOEJNOWRuVEhQWndtLUhlTjZJRzNIbjdILUlwX0U3NXhEZUthMGZyY3JDZ212TmRabklveHVqN3UxcncxSFgycDNVOVlVcGFLeHBvbC1ZMGFib0xwZE5LVTdfYmRPaHBTMUFjRTVOc2x6MWk5R05oaW45REJnUFVycndNQzAtLVhqWG5GZ0dfUGJqb2xIV2J4VzdidnFJU2UzZ08zVWNqaWhNa1VwSzMtbEc?oc=5
XCHANGING,Xchanging Solutions Limited,Xchanging Solutions Ltd is Rated Sell by MarketsMOJO - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxPWmpBRUFtNDI2OUthcHFsVm1NcGNDY2JXMkd4ekhiNlpORUpnWUpkYW5hdFowMFBQcEtZc3hOMDN5dmg0aERsVWgxUDlyS3lTcHFxZFR5SGpPb3NRNUl2Rkk1UTRZWHJYSzJDbHQ5V0hPMTZOMjcxcFlteWREejF0S0ZxVkl0U3pKX2VGZkg3X2hFUXloQVRVZlBLeVN5aTR1T1F2a01YYkFlV0NMMS1FYkRjOTE?oc=5"" target=""_blank"">Xchanging Solutions Ltd is Rated Sell by MarketsMOJO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-25 05:13:52,Markets Mojo,https://news.google.com/rss/articles/CBMitAFBVV95cUxPWmpBRUFtNDI2OUthcHFsVm1NcGNDY2JXMkd4ekhiNlpORUpnWUpkYW5hdFowMFBQcEtZc3hOMDN5dmg0aERsVWgxUDlyS3lTcHFxZFR5SGpPb3NRNUl2Rkk1UTRZWHJYSzJDbHQ5V0hPMTZOMjcxcFlteWREejF0S0ZxVkl0U3pKX2VGZkg3X2hFUXloQVRVZlBLeVN5aTR1T1F2a01YYkFlV0NMMS1FYkRjOTE?oc=5
XCHANGING,Xchanging Solutions Limited,Xchanging Solutions Ltd is Rated Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPYnRpallJX3hGZzEyalRnS2ZnaUlUUFFaMnVscmZWXzBDcDR3NHlDb2xBU0ZiOXp4b05zSGt0WURiVEJlMEJlMlFYSFV4WGl2OUJXcEpYWnQ1eVFHdWdYNzVnU1o2VUJjZnl6OHZiOHBqdXl0X1ZneDdDdU4xblAxWUs4Y0RwRU9XeHZEdGlpblM0NXdDVE5HYzBONHQ0Z1A1?oc=5"" target=""_blank"">Xchanging Solutions Ltd is Rated Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-03 05:11:29,Markets Mojo,https://news.google.com/rss/articles/CBMioAFBVV95cUxPYnRpallJX3hGZzEyalRnS2ZnaUlUUFFaMnVscmZWXzBDcDR3NHlDb2xBU0ZiOXp4b05zSGt0WURiVEJlMEJlMlFYSFV4WGl2OUJXcEpYWnQ1eVFHdWdYNzVnU1o2VUJjZnl6OHZiOHBqdXl0X1ZneDdDdU4xblAxWUs4Y0RwRU9XeHZEdGlpblM0NXdDVE5HYzBONHQ0Z1A1?oc=5
XCHANGING,Xchanging Solutions Limited,Xchanging Solutions Ltd Valuation Shift Signals Renewed Price Attractiveness - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNdUt1VXFUZk1LR0tydl9pdXQ0NFNkZ2tVS3prMExXYVFhQmRIUW9vSmFVbGtYQ2NHdTcxNDBndVA1ZGxqV1ZmRHFMYnlEV1U4WG5tckRxcXpzaW9ZaFJLSmpGQ09ESDA2bzlmaG1lczA5bUszZ3d3TDBld3VuelNFdURPaGNfTkJaWG5DV3ZXLUJEbi1qS0FoMTNQSjBfSzlrVXFUMnhfMm4wOFViOEJTU1FoWEtIODlTTVVJeUN3bXNUZTBRc3l5S3phTHIySkE?oc=5"" target=""_blank"">Xchanging Solutions Ltd Valuation Shift Signals Renewed Price Attractiveness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-06 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMizwFBVV95cUxNdUt1VXFUZk1LR0tydl9pdXQ0NFNkZ2tVS3prMExXYVFhQmRIUW9vSmFVbGtYQ2NHdTcxNDBndVA1ZGxqV1ZmRHFMYnlEV1U4WG5tckRxcXpzaW9ZaFJLSmpGQ09ESDA2bzlmaG1lczA5bUszZ3d3TDBld3VuelNFdURPaGNfTkJaWG5DV3ZXLUJEbi1qS0FoMTNQSjBfSzlrVXFUMnhfMm4wOFViOEJTU1FoWEtIODlTTVVJeUN3bXNUZTBRc3l5S3phTHIySkE?oc=5
XCHANGING,Xchanging Solutions Limited,Xchanging Solutions Ltd Reports Flat Quarterly Performance Amid Margin Pressures - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNMmpxNHpiUFR1NlhVWUowcjFrdmRnd3JhZTBIa2JIZ3J6UkpURmxXalVvU1NUbmRrT0NSNl9PR3R3bGVKZTJJSnVQWFRSYXNhY2pTZGZzTmFlUkw4NkVucHdtRE1UUFpZbjJuc29BNzBOSXBFTmplMmVBeW43YlFUbG13TFJVejZodHJRTERHZ21pN3NiN0JULVk1OVhaX3hfVm5mUWJPWXZHN0ZBZW5qN1c3OF9BOGFtWTZHMHp1Q2RMTXhtRzZGaXMtVFJ1VnlZTTUtRQ?oc=5"" target=""_blank"">Xchanging Solutions Ltd Reports Flat Quarterly Performance Amid Margin Pressures</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-05 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNMmpxNHpiUFR1NlhVWUowcjFrdmRnd3JhZTBIa2JIZ3J6UkpURmxXalVvU1NUbmRrT0NSNl9PR3R3bGVKZTJJSnVQWFRSYXNhY2pTZGZzTmFlUkw4NkVucHdtRE1UUFpZbjJuc29BNzBOSXBFTmplMmVBeW43YlFUbG13TFJVejZodHJRTERHZ21pN3NiN0JULVk1OVhaX3hfVm5mUWJPWXZHN0ZBZW5qN1c3OF9BOGFtWTZHMHp1Q2RMTXhtRzZGaXMtVFJ1VnlZTTUtRQ?oc=5
XCHANGING,Xchanging Solutions Limited,Xchanging Solutions Reports Robust Q2 FY26 Performance with 18.9% Revenue Growth - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQR081T01FdHU1UEtWb1g1WGJMc2hMMkZJZS14Ulh3VFFjdmtuSlM0eVFUVUJkaGZMWkxlZUJ1SmphdUFkUHJZZjJWc3A3S25QMFVaZFFFN3MzQm93YUw0Y1JnUUhFa3NTOXVWd0w4bElfQkthbkpwNkNDVE1UTDc4cjZVNWFheFRGeTZNclJoT1dRRGY1N211Q04yS1hReTltdmhyd2lXRlpSM2JCczRHLWMxdHloNGNZV1JTRTI2X0wxTmZSNmNCajlDb0FwNExM?oc=5"" target=""_blank"">Xchanging Solutions Reports Robust Q2 FY26 Performance with 18.9% Revenue Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-10-30 07:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQR081T01FdHU1UEtWb1g1WGJMc2hMMkZJZS14Ulh3VFFjdmtuSlM0eVFUVUJkaGZMWkxlZUJ1SmphdUFkUHJZZjJWc3A3S25QMFVaZFFFN3MzQm93YUw0Y1JnUUhFa3NTOXVWd0w4bElfQkthbkpwNkNDVE1UTDc4cjZVNWFheFRGeTZNclJoT1dRRGY1N211Q04yS1hReTltdmhyd2lXRlpSM2JCczRHLWMxdHloNGNZV1JTRTI2X0wxTmZSNmNCajlDb0FwNExM?oc=5
XCHANGING,Xchanging Solutions Limited,Xchanging Solutions Ltd - Equitypandit,"<a href=""https://news.google.com/rss/articles/CBMiZEFVX3lxTE1qdHBRemR4UXBrR0JaTEEwMXA1TG5rZHpUazc3dm90ZUVOdVZONTNXV0lBMU5haENaM0IxYUhLZF9kTjBpbDR1alZvUFkwb0xKVW9tcWpKUVBYRl9oZi1temNYV20?oc=5"" target=""_blank"">Xchanging Solutions Ltd</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Equitypandit</font>",2025-10-03 05:44:27,Equitypandit,https://news.google.com/rss/articles/CBMiZEFVX3lxTE1qdHBRemR4UXBrR0JaTEEwMXA1TG5rZHpUazc3dm90ZUVOdVZONTNXV0lBMU5haENaM0IxYUhLZF9kTjBpbDR1alZvUFkwb0xKVW9tcWpKUVBYRl9oZi1temNYV20?oc=5
XCHANGING,Xchanging Solutions Limited,Xchanging Solutions Ltd is Rated Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxONnAtemlPTjJxalJXOTFEN0ZFcmtYOHZEampPOHNBbGNPR2JEc2w4VThGV192SXZXdXpJMktpLVU5Zmd6c1Bua2E1cE5CVW16OTB0cGRvZkZYU1phY0V2cnRLTFRMbzVlOHNkNFJ4bFdQb2F6dVpabVRjenc5NnNtaXdRS1o2Y3E4blpyWlJ4U1dyWGxXSG5UQlpkOFNybmFD?oc=5"" target=""_blank"">Xchanging Solutions Ltd is Rated Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-01-12 08:00:00,Markets Mojo,https://news.google.com/rss/articles/CBMioAFBVV95cUxONnAtemlPTjJxalJXOTFEN0ZFcmtYOHZEampPOHNBbGNPR2JEc2w4VThGV192SXZXdXpJMktpLVU5Zmd6c1Bua2E1cE5CVW16OTB0cGRvZkZYU1phY0V2cnRLTFRMbzVlOHNkNFJ4bFdQb2F6dVpabVRjenc5NnNtaXdRS1o2Y3E4blpyWlJ4U1dyWGxXSG5UQlpkOFNybmFD?oc=5
