scrip,company,headline,summary,published_date,source,url
XELPMOC,Xelpmoc Design And Tech Limited,Xelpmoc Design and Tech Ltd is Rated Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNNGF4MHl0OGRNSnVwZ19RbXJwMHRBX3lOOG1fNkFRQTFOLThaQjJraHk4YWt4d0RPUFhSemFCQUIzbVBLaG5ZNWJ2M25kNzdZUTczemtoeGRMeVN2SW9NOEM2ZkdwRm1TYkRMblVfT0JNa25vdWUxWHFDNU53a3hCZmdCMlg2MU9TSjBkTF9iTHBXbWUtOFVqenhFZEgta255RTVjaGd3?oc=5"" target=""_blank"">Xelpmoc Design and Tech Ltd is Rated Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-03-04 02:38:13,Markets Mojo,https://news.google.com/rss/articles/CBMipgFBVV95cUxNNGF4MHl0OGRNSnVwZ19RbXJwMHRBX3lOOG1fNkFRQTFOLThaQjJraHk4YWt4d0RPUFhSemFCQUIzbVBLaG5ZNWJ2M25kNzdZUTczemtoeGRMeVN2SW9NOEM2ZkdwRm1TYkRMblVfT0JNa25vdWUxWHFDNU53a3hCZmdCMlg2MU9TSjBkTF9iTHBXbWUtOFVqenhFZEgta255RTVjaGd3?oc=5
XELPMOC,Xelpmoc Design And Tech Limited,Xelpmoc Design & Tech Limited Files Appeal Against Rs.66.93 Lakh GST Demand Order - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQMjJrMmtHMXRWRnlxVjc2YjRfdlhwSFUtZ2R6Z0xMdGNid1lnd2hya3dVT3NHcTRqV1NETmF2QjhwUU81V2VJYkxEdkk4V3VpdUVZYXlmRU9iSWgza1B2bC0zelB4VTNUUDZKakVhZlE4T3lvdkNZWnNGbDg4dm5LZUNWS0dSdlBoYnZjWm12RmpyenNjSXpvcTlsUXluaHFyTmQ1b3kxNGxvSXktZFVmSmlacmtFd2JkUmFjc0J6WlN1MEhBcEZ4QUVTekRNdw?oc=5"" target=""_blank"">Xelpmoc Design & Tech Limited Files Appeal Against Rs.66.93 Lakh GST Demand Order</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-13 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMizgFBVV95cUxQMjJrMmtHMXRWRnlxVjc2YjRfdlhwSFUtZ2R6Z0xMdGNid1lnd2hya3dVT3NHcTRqV1NETmF2QjhwUU81V2VJYkxEdkk4V3VpdUVZYXlmRU9iSWgza1B2bC0zelB4VTNUUDZKakVhZlE4T3lvdkNZWnNGbDg4dm5LZUNWS0dSdlBoYnZjWm12RmpyenNjSXpvcTlsUXluaHFyTmQ1b3kxNGxvSXktZFVmSmlacmtFd2JkUmFjc0J6WlN1MEhBcEZ4QUVTekRNdw?oc=5
XELPMOC,Xelpmoc Design And Tech Limited,Xelpmoc Design and Tech Stock Hits Upper Circuit Limit at Rs 141.26 - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPMF9ac2dMdm9ZdFVpUFVQSlZmeFZzWTF3WUVLWUxPRm5GenJNWjh2XzFwRnhXSjVvbDJUQWYxX0JrVFJObXFkMWpzQkpVdFBqREZaenI4YlFkQk1ObnZmZ0RTekZLNmd3YUJvbDVPUHc5aGJsdE9KLXh5QVloeGFvV284a0FzeDRQQmNmTkVELTFCRUFYUmFmTVFYVDdZOWR6bGZiRDJXNTJ0TFE2bzNlRFJ5ckVlY2RvbDYxZzZ2Zm9VUQ?oc=5"" target=""_blank"">Xelpmoc Design and Tech Stock Hits Upper Circuit Limit at Rs 141.26</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2025-11-17 09:39:40,Markets Mojo,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPMF9ac2dMdm9ZdFVpUFVQSlZmeFZzWTF3WUVLWUxPRm5GenJNWjh2XzFwRnhXSjVvbDJUQWYxX0JrVFJObXFkMWpzQkpVdFBqREZaenI4YlFkQk1ObnZmZ0RTekZLNmd3YUJvbDVPUHc5aGJsdE9KLXh5QVloeGFvV284a0FzeDRQQmNmTkVELTFCRUFYUmFmTVFYVDdZOWR6bGZiRDJXNTJ0TFE2bzNlRFJ5ckVlY2RvbDYxZzZ2Zm9VUQ?oc=5
XELPMOC,Xelpmoc Design And Tech Limited,Xelpmoc Design & Tech Reports Strong Q3FY26 Performance with 34.5% Revenue Growth - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxPczFDR1lCQzNET2s1SVEzeWVVRnhXTUY2a2NOUkJMbmtNSGU1Z25hWFE1UHJ3OEVESklSMzlwM3EySkk3UFVzOFZkalVfdUg2bFdPcElwanpfd3ZBQzFzWWV2R3E0V0FQSFBXMW52VU15X1Q5ai1iSW53aHp1U3dMQkdiZi1FX0xnYk80TzRHcmZVMW00LTRMQUZicVFOZWh5RHlCR0k4WU4zX3JnOURkUGRVMGt6alNVb2l2d3MxZ0R0ampnaDNFb1NTWGZVVXM?oc=5"" target=""_blank"">Xelpmoc Design & Tech Reports Strong Q3FY26 Performance with 34.5% Revenue Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2026-02-12 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMizwFBVV95cUxPczFDR1lCQzNET2s1SVEzeWVVRnhXTUY2a2NOUkJMbmtNSGU1Z25hWFE1UHJ3OEVESklSMzlwM3EySkk3UFVzOFZkalVfdUg2bFdPcElwanpfd3ZBQzFzWWV2R3E0V0FQSFBXMW52VU15X1Q5ai1iSW53aHp1U3dMQkdiZi1FX0xnYk80TzRHcmZVMW00LTRMQUZicVFOZWh5RHlCR0k4WU4zX3JnOURkUGRVMGt6alNVb2l2d3MxZ0R0ampnaDNFb1NTWGZVVXM?oc=5
XELPMOC,Xelpmoc Design And Tech Limited,Xelpmoc Design and Tech Ltd is Rated Sell - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNa2hJbDZDRFUwUEpDQThCYlVLTEQyM2d1N0lkYUFsOWgtRTlJV1R0Vmt6akE5bXZuYmZJbENIWEp6M1BqUV96S2pWUnAzQXBQdjdKV1FMTG5YRzVpSnVwR2NEbDZHZUVwTkM0TVFRemZoQ2ZBcndCZzAzZVVlM093TU9kNVBPdUphUFE1dUdmbFZQV0hwVVNPaUxIbUZjekFPU0RGTnVn?oc=5"" target=""_blank"">Xelpmoc Design and Tech Ltd is Rated Sell</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-19 05:16:22,Markets Mojo,https://news.google.com/rss/articles/CBMipgFBVV95cUxNa2hJbDZDRFUwUEpDQThCYlVLTEQyM2d1N0lkYUFsOWgtRTlJV1R0Vmt6akE5bXZuYmZJbENIWEp6M1BqUV96S2pWUnAzQXBQdjdKV1FMTG5YRzVpSnVwR2NEbDZHZUVwTkM0TVFRemZoQ2ZBcndCZzAzZVVlM093TU9kNVBPdUphUFE1dUdmbFZQV0hwVVNPaUxIbUZjekFPU0RGTnVn?oc=5
XELPMOC,Xelpmoc Design And Tech Limited,Xelpmoc Design & Tech Limited Receives GST Demand Order of ₹66.93 Lakh for FY 2021-22 - scanx.trade,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQV2dHSXZZaWFObV85dEljRHFVR0oyX3NHTkFNOThwMllHaUxpYjU4R1NINXdlMWY4UDNLSmNUSDRGODFIZnktN0pyS3FTMWhXcWVxTG9TUmNiS25jcE5JU3BvcnlZbElOOEdMYmRocFJERzhacDZpUUNWMXhoSTd2MmFsM21aV3hTMndTY2VlMndHSWxyQkdTWnduWFJWdjdKZ2RoM1VjQ3hhQ2puWnNYVDVyVXlzeUp4RjJQWkNlVnFJbTJwaXFmRDg1dDhMR0hxZFE?oc=5"" target=""_blank"">Xelpmoc Design & Tech Limited Receives GST Demand Order of ₹66.93 Lakh for FY 2021-22</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-12-30 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQV2dHSXZZaWFObV85dEljRHFVR0oyX3NHTkFNOThwMllHaUxpYjU4R1NINXdlMWY4UDNLSmNUSDRGODFIZnktN0pyS3FTMWhXcWVxTG9TUmNiS25jcE5JU3BvcnlZbElOOEdMYmRocFJERzhacDZpUUNWMXhoSTd2MmFsM21aV3hTMndTY2VlMndHSWxyQkdTWnduWFJWdjdKZ2RoM1VjQ3hhQ2puWnNYVDVyVXlzeUp4RjJQWkNlVnFJbTJwaXFmRDg1dDhMR0hxZFE?oc=5
XELPMOC,Xelpmoc Design And Tech Limited,Xelpmoc Design and Tech Ltd is Rated Sell by MarketsMOJO - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxQNzI3MGUxUEpmOGRJRGZEcTg1MHlqNEd6YUM0WDRRcFpuOExXYlYtSVZNTkx5WkVYMUczclAtZVVUQzZJYWVsd2YyMklWU2xSY0dQRXplYkh3Q1lGbHBBdFNrbVdUaXF6cVE1cDBIWS1rV1N2NTRxVXQ5TXhLdWRNRlVYNmtvdkNRUW16SUpCQi1Vbm5YdHIyM2ptRjBzZnF0a1JaSkthX2VQaEVHbWJnNkxCMTgyTk1rSmc?oc=5"" target=""_blank"">Xelpmoc Design and Tech Ltd is Rated Sell by MarketsMOJO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-08 10:37:42,Markets Mojo,https://news.google.com/rss/articles/CBMiugFBVV95cUxQNzI3MGUxUEpmOGRJRGZEcTg1MHlqNEd6YUM0WDRRcFpuOExXYlYtSVZNTkx5WkVYMUczclAtZVVUQzZJYWVsd2YyMklWU2xSY0dQRXplYkh3Q1lGbHBBdFNrbVdUaXF6cVE1cDBIWS1rV1N2NTRxVXQ5TXhLdWRNRlVYNmtvdkNRUW16SUpCQi1Vbm5YdHIyM2ptRjBzZnF0a1JaSkthX2VQaEVHbWJnNkxCMTgyTk1rSmc?oc=5
XELPMOC,Xelpmoc Design And Tech Limited,"Xelpmoc Design and Tech Reports Q2 FY26 Results, Focuses on AI-Powered Products - scanx.trade","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOZ2lsUWktRnFIZHFMbnd5ZmRJajl0NGZMMmdvRWdjcjRLc3cyS3dpbEdWcG9yUFl3dE13cjdHRXBvQi1qSEI5eWkyVDd4MGVHbEd2aFV6ekplWTBpTzk0WGtwY3FFWDhDNHFLTmpaa2x1T0tucll2NGUxUF9PbnR6SmZzZFNHU1pFaUxmVGpxSHlWSFlrWTlHal80bmdFa2dPUXpISDcwal90U1BQaFN4QXJaajJXWkFCNkRZblU1Y01nVFd1U1NJWTltS01qb00?oc=5"" target=""_blank"">Xelpmoc Design and Tech Reports Q2 FY26 Results, Focuses on AI-Powered Products</a>&nbsp;&nbsp;<font color=""#6f6f6f"">scanx.trade</font>",2025-11-19 08:00:00,scanx.trade,https://news.google.com/rss/articles/CBMizwFBVV95cUxOZ2lsUWktRnFIZHFMbnd5ZmRJajl0NGZMMmdvRWdjcjRLc3cyS3dpbEdWcG9yUFl3dE13cjdHRXBvQi1qSEI5eWkyVDd4MGVHbEd2aFV6ekplWTBpTzk0WGtwY3FFWDhDNHFLTmpaa2x1T0tucll2NGUxUF9PbnR6SmZzZFNHU1pFaUxmVGpxSHlWSFlrWTlHal80bmdFa2dPUXpISDcwal90U1BQaFN4QXJaajJXWkFCNkRZblU1Y01nVFd1U1NJWTltS01qb00?oc=5
XELPMOC,Xelpmoc Design And Tech Limited,Xelpmoc Design Q3 FY26: Losses Deepen Despite Revenue Growth as Operational Challenges Persist - Markets Mojo,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNd2pSOTUyUjhkU19VVzNCR0xqZWdXdGZDcjN3V0NZQ2RENDhoOERnV0lqRHozbXhSWFQ0WU9aTm1QaHZQSFZtWHlwRVpyd05PTk5rZXJwUWxmZnBKWnpvdDJuREtpSUNSWnN4SXhFMlUyYWg1VVg2aV9nVW1IRDBnMHRkenZ3MGxHcFlyNVgtejJQc1k2VThUem1GN3cxNFoxTldIRkNSc0haajZFUmhIQ1BXMmZYOUM0VmV2U3RwWGxvNkRnM2RuSHpnTWNRNG5jX1VadXkwanFWZFBtMXVfQ084Y0I?oc=5"" target=""_blank"">Xelpmoc Design Q3 FY26: Losses Deepen Despite Revenue Growth as Operational Challenges Persist</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Markets Mojo</font>",2026-02-13 00:16:15,Markets Mojo,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNd2pSOTUyUjhkU19VVzNCR0xqZWdXdGZDcjN3V0NZQ2RENDhoOERnV0lqRHozbXhSWFQ0WU9aTm1QaHZQSFZtWHlwRVpyd05PTk5rZXJwUWxmZnBKWnpvdDJuREtpSUNSWnN4SXhFMlUyYWg1VVg2aV9nVW1IRDBnMHRkenZ3MGxHcFlyNVgtejJQc1k2VThUem1GN3cxNFoxTldIRkNSc0haajZFUmhIQ1BXMmZYOUM0VmV2U3RwWGxvNkRnM2RuSHpnTWNRNG5jX1VadXkwanFWZFBtMXVfQ084Y0I?oc=5
XELPMOC,Xelpmoc Design And Tech Limited,Xelpmoc’s tech solution to aid in focused reach | Media4Growth - Media4Growth,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNdDN3UTJNZnA3UlBqQmtFVUxidmlXWFhMdDdaM2Roc2Q5RjlXSkp4eDhoSzYyZkJfMi1aVHRoeVFFb2s5VlRnbXR2V3BPT1Z1b0V5ajdCdkw5Z0szMmVyNktJV2hIWHBzYjR0cVRlNFZjM3NnN2NnYVItOGxlOUdSSmtrSFo5NUt3MUdMNThxTTRjUmlIenMyQlRpd3d0YkpZU0lYdUpVSVhrTXVnY0pjbnVvQTVHZERWYmJLetIBxAFBVV95cUxPbjcyaEpid2ZPd2l6Yy1iSVJSem5JZ1N5cXdMUzMwcXVsMWI3b1BUZzg5ZEtQMno5cXRSVFJ5eVdPeTRudDZfaUx2cHRqejlnMXh5dnN0QnREY2hiN2VFYjJhZUdtWUNVTFFQSFFTbnJXcGRldXBCcWs2Ui1fVzdBdS0tdlJ6LWtDZGw2Q2lBQzFyLXRjelVzVXdDUThGQU85aVJvWVExbl9XOTdqaE5nZDBzbl9GRVM4WFkyX1VCcEJRcUVi?oc=5"" target=""_blank"">Xelpmoc’s tech solution to aid in focused reach | Media4Growth</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Media4Growth</font>",2019-11-21 08:00:00,Media4Growth,https://news.google.com/rss/articles/CBMivAFBVV95cUxNdDN3UTJNZnA3UlBqQmtFVUxidmlXWFhMdDdaM2Roc2Q5RjlXSkp4eDhoSzYyZkJfMi1aVHRoeVFFb2s5VlRnbXR2V3BPT1Z1b0V5ajdCdkw5Z0szMmVyNktJV2hIWHBzYjR0cVRlNFZjM3NnN2NnYVItOGxlOUdSSmtrSFo5NUt3MUdMNThxTTRjUmlIenMyQlRpd3d0YkpZU0lYdUpVSVhrTXVnY0pjbnVvQTVHZERWYmJLetIBxAFBVV95cUxPbjcyaEpid2ZPd2l6Yy1iSVJSem5JZ1N5cXdMUzMwcXVsMWI3b1BUZzg5ZEtQMno5cXRSVFJ5eVdPeTRudDZfaUx2cHRqejlnMXh5dnN0QnREY2hiN2VFYjJhZUdtWUNVTFFQSFFTbnJXcGRldXBCcWs2Ui1fVzdBdS0tdlJ6LWtDZGw2Q2lBQzFyLXRjelVzVXdDUThGQU85aVJvWVExbl9XOTdqaE5nZDBzbl9GRVM4WFkyX1VCcEJRcUVi?oc=5
